Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,35-Excepted Service - Schedule D,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,45-Excepted Service - Schedule D,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,All Appointments
"AF0D-U.S. AIR FORCES, EUROPE",924,210,11,0,0,0,71,0,0,0,1216,15,456,0,0,0,0,1,0,0,472,0,1688
AF0J-AIR EDUCATION AND TRAINING COMMAND,11386,2604,95,31,5,0,120,2,0,0,14243,425,172,24,0,11,0,3,0,0,635,0,14878
"AF0M-HEADQUARTERS, AIR FORCE RESERVE COMMAND",9853,2642,4,4,1,0,273,1,0,0,12778,74,0,2,0,0,0,0,0,0,76,0,12854
"AF0N-HEADQUARTERS, U.S. AIR FORCE",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AF0R-PACIFIC AIR FORCES,2141,643,52,1,0,0,46,0,0,0,2883,55,184,0,0,0,0,3,0,0,242,0,3125
"AF0U-AIR FORCE INTELLIGENCE, SURVEILLANCE, & RECONNAISSANCE AGENCY",0,0,0,0,0,0,2377,1,0,0,2378,0,0,0,0,0,0,9,0,0,9,0,2387
AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND,1115,274,2,0,1,0,127,1,0,0,1520,44,12,0,0,0,0,0,0,0,56,0,1576
AF12-AIR FORCE PUBLIC AFFAIRS AGENCY,37,3,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40
AF13-HQ USAF AND SUPPORT ELEMENTS,1428,287,78,1,1,0,73,73,3,0,1944,12,4,0,5,0,3,69,0,0,93,0,2037
AF15-AIR FORCE CIVIL ENGINEER CENTER,776,72,19,0,0,0,1,2,0,0,870,11,1,0,0,0,0,0,0,0,12,0,882
"AF1A-AIR FORCE C2 & INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AF1C-AIR COMBAT COMMAND,7901,1796,27,4,2,0,278,3,0,0,10011,296,14,0,0,0,0,13,0,0,323,0,10334
AF1L-AIR MOBILITY COMMAND,6844,1135,26,5,1,0,41,2,0,0,8054,143,18,2,0,2,0,3,0,0,168,0,8222
AF1M-AIR FORCE MATERIEL COMMAND,50787,7214,378,167,28,0,886,41,0,0,59501,627,23,26,0,6,0,2,0,0,684,0,60185
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,46,4,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50
"AF1S-HEADQUARTERS, AIR FORCE SPACE COMMAND",4953,1184,23,22,3,0,1169,3,0,0,7357,77,1,0,0,0,0,7,0,0,85,0,7442
AF1Y-AIR FORCE CIVILIAN CAREER TRAINING,586,526,200,135,233,0,82,0,0,0,1762,2,0,0,0,0,0,0,0,0,2,0,1764
AF20-AIR FORCE AGENCY FOR MODELING/SIMULATION,15,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16
AF2A-AIR FORCE COST ANALYSIS AGENCY,89,11,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,236,10,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,246
AF2E-AIR FORCE LEGAL OPERATIONS AGENCY,122,16,100,1,0,0,3,0,0,0,242,0,2,0,0,0,0,0,0,0,2,0,244
AF2F-AIR FORCE MEDICAL SUPPORT AGENCY,67,43,2,0,0,0,0,0,0,0,112,2,0,0,0,0,0,0,0,0,2,0,114
AF2H-AIR FORCE OPERATIONS GROUP,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,497,176,9,2,2,0,12,0,0,0,698,10,0,0,0,0,0,0,0,0,10,0,708
AF2K-AIR FORCE HISTORICAL RESEARCH AGENCY,46,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,46
AF2L-AIR FORCE TECHNICAL APPLICATIONS CENTER,0,0,0,0,0,0,392,0,0,0,392,0,0,0,0,0,0,8,0,0,8,0,400
AF2M-AIR FORCE REVIEW BOARDS AGENCY,40,15,4,1,1,0,0,1,0,0,62,14,0,1,0,0,0,0,0,0,15,0,77
"AF2Q-HEADQUARTERS, AIR FORCE WEATHER AGENCY",273,65,0,0,0,0,0,0,0,0,338,1,0,0,0,0,0,0,0,0,1,0,339
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,14,4,2,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22
AF2S-AIR FORCE ELEMENTS NORAD,70,30,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100
AF2T-AIR FORCE SAFETY CENTER,56,5,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,61
AF2U-AIR FORCE SERVICES AGENCY,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
AF2Z-AIR FORCE MEDICAL OPERATIONS AGENCY,117,47,0,0,1,0,0,0,0,0,165,1,0,0,0,0,0,0,0,0,1,0,166
AF34-AIR NATIONAL GUARD,502,104,0,2,0,0,4,0,0,0,612,7,1,2,0,1,0,0,0,0,11,0,623
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",254,144,4,0,0,0,16,3,0,0,421,11,3,0,0,0,0,1,0,0,15,0,436
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",740,189,7,1,0,0,17,7,0,0,961,8,0,0,0,0,0,2,0,0,10,0,971
"AF3N-AIR FORCE ELEMENTS, U.S. JOINT FORCES COMMAND",0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",1298,462,119,27,1,0,107,8,0,0,2022,15,3,0,0,0,0,4,0,0,22,0,2044
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",496,73,10,0,0,0,2,6,0,0,587,39,2,0,0,0,0,0,0,0,41,0,628
AF3V-AIR FORCE ELEMENTS,354,73,7,5,0,0,298,3,0,0,740,4,8,0,0,0,0,5,0,0,17,0,757
AF3W-AIR FORCE CENTER FOR ENGINEER & ENVIRONMENT,6,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,7
AF4D-U.S. NORTHERN COMMAND,458,207,3,0,0,0,29,4,0,0,701,29,1,0,0,0,0,22,0,0,52,0,753
AF4W-AIR FORCE DISTRICT OF WASHINGTON,827,110,6,4,0,0,7,0,0,0,954,16,0,0,0,0,0,0,0,0,16,0,970
AF5J-AIR FORCE FINANCIAL SERVICES,57,39,0,0,0,0,0,0,0,0,96,14,0,0,0,0,0,0,0,0,14,0,110
AF5K-AIR FORCE PETROLEUM AGENCY,58,2,0,0,0,0,0,0,0,0,60,0,1,0,0,0,0,0,0,0,1,0,61
AFGS-AIR FORCE GLOBAL STRIKE COMMAND,1898,495,3,3,0,0,26,2,0,0,2427,31,0,1,0,0,0,0,0,0,32,0,2459
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),259,79,0,0,0,1,18585,0,0,0,18924,14,1,0,0,0,0,3420,0,0,3435,0,22359
"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",1,1,0,0,0,0,170,0,0,0,172,0,0,0,0,0,0,78,0,0,78,0,250
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,15,4,0,0,0,0,1,3,26,0,49,3,4,3,28,0,11,3,3,0,55,0,104
AG02-AGRICULTURAL MARKETING SERVICE,1701,223,5,2,4,0,7,9,1,0,1952,0,2041,1,1,6,0,0,0,0,2049,0,4001
AG03-AGRICULTURAL RESEARCH SERVICE,5458,344,10,23,12,0,54,32,0,0,5933,364,995,285,0,309,0,14,0,0,1967,0,7900
AG07-RURAL HOUSING SERVICE,3950,256,7,12,6,0,14,8,0,1,4254,11,0,27,49,3,0,2,0,0,92,0,4346
AG08-RISK MANAGEMENT AGENCY,401,22,1,2,4,0,1,3,1,0,435,0,0,7,1,0,0,6,0,0,14,0,449
AG10-FOREIGN AGRICULTURAL SERVICE,400,23,1,3,2,0,127,4,2,0,562,3,1,244,2,1,0,60,0,0,311,0,873
AG11-FOREST SERVICE,25074,2865,127,214,53,0,258,49,0,0,28640,8727,50,296,0,161,0,220,0,0,9454,0,38094
AG13-OFFICE OF COMMUNICATIONS,64,2,0,0,0,0,0,1,1,0,68,0,3,0,5,0,0,0,0,0,8,0,76
AG14-OFFICE OF THE GENERAL COUNSEL,86,3,176,0,0,0,1,16,1,0,283,0,5,1,1,0,1,0,0,0,8,0,291
AG15-RURAL UTILITIES SERVICE,237,13,0,1,0,0,6,3,1,1,262,9,0,3,2,0,0,0,0,0,14,0,276
AG16-NATURAL RESOURCES CONSERVATION SERVICE,9327,1039,10,29,40,0,43,19,1,4,10512,169,175,31,6,22,0,24,0,0,427,0,10939
AG18-ECONOMIC RESEARCH SERVICE,274,32,0,1,0,0,1,6,0,0,314,1,0,4,0,9,0,0,0,0,14,0,328
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,795,49,3,3,83,0,3,10,0,0,946,351,2,1,0,15,0,0,0,0,369,0,1315
AG22-NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,289,31,3,2,4,0,3,7,0,0,339,0,46,3,1,10,1,2,0,0,63,0,402
AG23-OFFICE OF THE INSPECTOR GENERAL,478,6,9,2,0,0,9,9,0,0,513,0,0,0,0,0,1,0,0,0,1,0,514
AG30-FOOD AND NUTRITION SERVICE,1167,131,6,2,1,0,3,11,1,0,1322,3,2,13,2,0,0,0,2,0,22,0,1344
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,68,4,0,0,0,0,0,2,1,0,75,0,2,1,3,0,0,0,0,0,6,0,81
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,5050,335,22,16,6,0,52,38,0,0,5519,433,1822,0,0,94,0,8,0,0,2357,0,7876
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",531,106,3,0,2,0,4,2,2,0,650,3,95,0,0,0,0,0,0,0,98,0,748
AG37-FOOD SAFETY AND INSPECTION SERVICE,7935,886,10,7,3,0,4,22,0,0,8867,214,449,22,1,16,0,1,0,0,703,0,9570
AG38-OFFICE OF THE CHIEF ECONOMIST,42,2,0,0,0,0,0,5,0,0,49,1,0,0,0,0,0,0,0,0,1,0,50
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,36,2,0,0,0,0,0,5,0,0,43,0,4,0,0,0,0,0,0,0,4,0,47
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1003,271,21,1,0,0,30,8,0,0,1334,15,0,7,0,4,0,3,0,0,29,0,1363
AGAO-OFFICE OF ADVOCACY AND OUTREACH,36,5,0,0,0,0,0,1,0,0,42,2,0,0,0,0,0,2,0,0,4,0,46
AGCR-CIVIL RIGHTS,118,6,0,2,0,0,0,1,0,0,127,0,12,4,0,0,0,0,0,0,16,0,143
AGDA-DEPARTMENTAL ADMINISTRATION,347,39,4,4,0,0,12,6,1,0,413,2,16,10,0,1,0,6,0,0,35,0,448
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,13,4,0,1,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,19
AGFA-FARM SERVICE AGENCY,3758,344,9,4,0,0,10,9,4,0,4138,1,233,2,47,0,0,1,0,0,284,0,4422
AGHL-HOMELAND SECURITY STAFF,50,6,0,0,0,0,0,2,0,0,58,0,0,1,0,0,0,0,0,0,1,0,59
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,831,164,0,5,3,0,10,5,2,0,1020,0,0,0,1,0,0,2,0,0,3,0,1023
AGNA-NATIONAL APPEALS DIVISION,69,15,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,84
AH01-NATIONAL ENDOWMENT FOR THE ARTS,112,14,0,0,0,0,0,5,4,0,135,1,15,0,5,0,18,0,0,0,39,0,174
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,67,8,1,39,0,0,1,9,2,0,127,9,0,14,2,0,24,3,0,0,52,0,179
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,37,14,1,0,0,0,7,1,0,0,60,0,0,0,0,0,21,5,0,0,26,0,86
AM00-U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT,1128,249,38,7,43,0,1200,28,0,0,2693,51,13,10,0,18,8,1055,2,0,1157,0,3850
AN00-AFRICAN DEVELOPMENT FOUNDATION,14,10,0,0,0,0,2,0,0,0,26,2,1,0,0,0,0,1,0,0,4,0,30
AP00-APPALACHIAN REGIONAL COMMISSION,5,0,0,0,0,0,3,0,0,0,8,0,1,0,0,0,1,0,0,0,2,0,10
AR2A-UNITED STATES ARMY CYBER COMMAND,103,36,14,0,0,0,33,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,186
AR3A-U.S. ARMY CENTRAL,125,32,2,0,0,0,4,0,0,0,163,65,40,0,0,0,0,158,0,0,263,0,426
AR5A-U.S. ARMY NORTH,248,53,3,0,0,0,21,1,0,0,326,9,0,0,0,0,0,0,0,0,9,0,335
ARA1-US ARMY AFRICA/SOUTHERN EUROPEAN TASK FORCE (USAFRAF/SETAF),102,52,0,0,0,0,29,0,0,0,183,2,1,0,0,0,0,2,0,0,5,0,188
ARAA-U. S. ARMY ACCESSION COMMAND,2119,358,11,5,3,0,201,0,0,0,2697,42,0,0,0,0,0,0,0,0,42,0,2739
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,4296,529,8,12,1,0,72,16,0,0,4934,205,47,1,0,1,0,71,0,0,325,0,5259
ARAP-U. S. MILITARY ENTRANCE PROCESSING COMMAND,1594,871,5,0,0,0,156,0,0,0,2626,10,1,2,0,0,0,0,0,0,13,0,2639
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,0,0,0,0,0,0,3069,0,0,0,3069,0,0,0,0,0,0,98,0,0,98,0,3167
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,3495,311,10,5,1,0,86,4,0,0,3912,9,0,12,0,2,0,0,0,0,23,0,3935
ARBA-U.S. ARMY INSTALLATION MANAGEMENT COMMAND,21573,3177,224,29,6,0,738,7,0,0,25754,661,130,1,0,5,0,7,1,0,805,0,26559
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,551,96,5,0,0,0,17,0,0,0,669,85,53,0,0,0,0,11,0,0,149,0,818
ARCE-U.S. ARMY CORPS OF ENGINEERS,28309,2389,422,203,119,0,367,42,0,0,31851,2324,96,256,0,213,2,68,1,0,2960,0,34811
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,1147,87,16,0,0,0,219,23,0,0,1492,8,3,0,0,0,0,74,0,0,85,0,1577
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,681,147,25,0,0,0,74,2,0,0,929,26,36,0,0,0,0,2,0,0,64,0,993
ARE2-21ST THEATER SUSTAINMENT COMMAND (TSC),215,82,1,0,0,0,10,0,0,0,308,55,31,0,0,0,0,0,0,0,86,0,394
ARE5-U.S. ARMY V CORPS,1,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,5
AREN-SEVENTH ARMY TRAINING COMMAND,225,52,0,0,0,0,11,0,0,0,288,8,5,0,0,0,0,0,0,0,13,0,301
ARFC-U.S. ARMY FORCES COMMAND,1987,342,8,2,0,0,181,4,0,0,2524,118,14,0,0,0,0,54,0,0,186,0,2710
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,3670,841,10,3,2,0,171,2,0,0,4699,60,12,0,0,0,0,2,0,0,74,0,4773
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,559,122,2,0,0,0,11,0,0,0,694,10,0,0,0,0,0,0,0,0,10,0,704
ARHR-U.S. ARMY RESERVE COMMAND,6427,1399,10,0,0,0,630,0,0,0,8466,106,0,0,0,0,0,0,0,0,106,0,8572
ARJ1-U.S. ARMY ELEMENT SHAPE,102,25,0,0,0,0,27,0,0,0,154,8,4,0,0,0,0,0,0,0,12,0,166
ARJA-JOINT ACTIVITIES,1305,402,19,0,0,0,478,13,0,0,2217,69,20,0,0,0,0,52,0,0,141,0,2358
ARMA-U.S. MILITARY ACADEMY,386,48,36,0,0,0,12,0,0,0,482,7,185,0,0,0,0,7,0,0,199,0,681
ARMC-U.S. ARMY MEDICAL COMMAND,27945,9578,127,21,2,0,658,5,0,0,38336,1498,248,22,0,7,0,55,0,0,1830,0,40166
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,316,68,3,0,0,0,7,0,0,0,394,2,2,0,0,0,0,20,0,0,24,0,418
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1245,186,0,0,0,0,22930,0,0,0,24361,20,10,0,0,0,0,3308,0,0,3338,0,27699
"ARP1-U.S. ARMY, PACIFIC",1049,200,7,0,0,0,95,0,0,0,1351,18,14,0,0,0,0,5,0,0,37,0,1388
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,844,70,30,0,0,0,9,49,7,0,1009,4,2,0,8,0,7,51,0,0,72,0,1081
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,952,714,11,7,149,0,124,4,0,0,1961,15,15,1,0,1,0,1,0,0,33,0,1994
ARSC-U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND,672,129,15,2,0,0,59,4,0,0,881,4,0,0,0,0,0,4,0,0,8,0,889
ARSE-HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES,5328,565,62,21,8,0,144,7,0,0,6135,47,7,3,0,1,0,1,0,0,59,0,6194
ARSF-MISCELLANEOUS FIELD OPERATING AGENCIES,31,3,2,0,0,0,1,0,0,0,37,2,0,0,0,0,0,0,0,0,2,0,39
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",882,106,28,1,2,0,26,0,0,0,1045,2,196,2,0,0,1,16,0,0,217,0,1262
ARSO-U.S. ARMY SOUTH,231,18,5,0,0,0,24,0,0,0,278,25,1,0,0,0,0,0,0,0,26,0,304
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),1207,250,2,2,0,0,120,1,0,0,1582,56,4,0,0,0,0,15,0,0,75,0,1657
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,7254,923,660,14,0,0,787,14,0,0,9652,285,1323,7,0,0,0,445,1,0,2061,0,11713
ARTW-U.S. ARMY WAR COLLEGE,212,11,2,0,0,0,7,0,0,0,232,3,73,1,0,0,0,2,0,0,79,0,311
ARX1-U.S. ARMY MATERIAL COMMAND,21,4,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,26
"ARX2-HEADQUARTERS, AMC",652,81,19,2,1,0,28,13,0,0,796,2,1,0,0,0,0,2,0,0,5,0,801
"ARX4-TRAINING ACTIVITIES, AMC",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,7715,1006,53,19,4,0,290,5,0,0,9092,77,1,9,0,1,0,5,0,0,93,0,9185
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),9856,1111,93,11,4,0,304,2,0,0,11381,907,144,2,0,2,0,146,0,0,1201,0,12582
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,5990,419,49,39,0,0,118,3,0,0,6618,188,3,1,0,0,0,0,0,0,192,0,6810
ARXB-U.S. ARMY CHEMICAL MATERIALS ACTIVITY,477,54,3,0,0,0,22,0,0,0,556,8,0,0,0,0,0,0,0,0,8,0,564
ARXC-U.S. ARMY SUSTAINMENT COMMAND,3793,351,50,0,0,0,51,4,0,0,4249,231,18,1,0,1,0,133,0,0,384,0,4633
ARXD-U. S. ARMY CONTRACTING COMMAND,4485,451,44,22,7,0,28,7,0,0,5044,29,3,1,0,0,0,0,0,0,33,0,5077
ARXK-MATERIEL ACQUISITION ACTIVITIES,364,26,0,2,1,0,4,0,0,0,397,1,0,0,0,0,0,0,0,0,1,0,398
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,431,74,0,1,1,0,3,1,0,0,511,10,1,1,0,0,0,0,0,0,12,0,523
ARXQ-U.S. ARMY JOINT MUNITIONS COMMAND,4187,332,10,6,0,0,46,1,0,0,4582,714,7,0,0,0,0,0,0,0,721,0,5303
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",12490,949,43,36,4,0,223,33,0,0,13778,170,5,87,0,42,0,4,0,0,308,0,14086
ARXT-U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,1094,156,8,0,0,0,13,2,0,0,1273,14,2,0,0,0,0,0,0,0,16,0,1289
ARXX-MATERIEL READINESS ACTIVITIES,291,46,1,0,0,0,0,0,0,0,338,1,1,0,0,0,0,0,0,0,2,0,340
AU00-FEDERAL LABOR RELATIONS AUTHORITY,37,5,58,0,0,0,0,13,0,0,113,0,0,0,0,0,9,0,0,0,9,0,122
AW00-ARCTIC RESEARCH COMMISSION,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,7,0,9
BD00-MERIT SYSTEMS PROTECTION BOARD,79,2,79,0,0,0,15,9,4,0,188,0,0,0,3,0,3,0,0,0,6,0,194
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,17,2,9,0,0,0,69,8,0,0,105,0,0,0,0,0,5,0,0,0,5,0,110
BG00-PENSION BENEFIT GUARANTY CORPORATION,707,94,109,0,6,0,0,0,0,0,916,3,2,9,2,24,1,6,0,0,47,0,963
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
BO00-OFFICE OF MANAGEMENT AND BUDGET,302,30,10,2,5,0,0,57,12,0,418,1,7,1,14,2,5,3,1,0,34,0,452
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,21,2,5,0,0,0,0,1,0,0,29,0,0,0,0,0,13,0,0,0,13,0,42
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,3,0,0,0,0,0,7,1,0,0,11,0,0,0,0,0,11,0,0,0,11,0,22
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,7,1,0,0,8,0,10
CC00-COMMISSION ON CIVIL RIGHTS,21,0,3,0,0,0,0,0,1,0,25,0,0,0,8,1,2,6,0,0,17,0,42
CE00-COUNCIL OF ECONOMIC ADVISERS,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,19,0,0,22,0,25
CF00-COMMISSION OF FINE ARTS,9,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
CM51-OFFICE OF THE SECRETARY,459,57,158,2,2,0,1,31,9,0,719,5,12,1,39,1,3,4,0,0,65,0,784
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,107,25,9,1,0,0,0,9,2,0,153,8,1,2,3,1,0,1,0,0,16,0,169
CM53-BUREAU OF ECONOMIC ANALYSIS,396,44,0,2,0,0,1,12,0,0,455,0,0,5,0,0,0,0,0,0,5,0,460
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,10261,819,484,34,7,0,71,93,7,0,11776,121,13,17,4,8,2,34,0,0,199,0,11975
CM55-INTERNATIONAL TRADE ADMINISTRATION,1001,68,1,6,12,0,189,22,9,0,1308,4,1,1,19,1,3,89,0,0,118,0,1426
CM56-PATENT AND TRADEMARK OFFICE,8355,2549,653,2,4,0,100,67,1,0,11731,11,0,0,0,0,0,32,0,0,43,0,11774
CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2397,357,3,5,6,0,8,26,0,0,2802,133,115,0,0,83,1,4,0,0,336,0,3138
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,32,6,2,1,0,0,0,1,2,0,44,3,0,0,2,0,0,0,0,0,5,0,49
CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,194,24,21,1,0,0,1,10,0,0,251,14,9,6,1,1,1,13,2,0,47,0,298
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,91,9,0,0,0,0,0,1,0,0,101,0,0,0,0,0,0,0,0,0,0,0,101
CM63-BUREAU OF THE CENSUS,4901,925,7241,4,12,0,38,37,1,0,13159,117,2135,49,2,68,1,1,0,0,2373,0,15532
