Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AF1P-AIR FORCE REAL PROPERTY AGENCY,109,3,11,0,0,2,1,0,0,126,1,0,0,0,0,0,0,0,1,0,127
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,21,0,0,0,0,1,0,0,0,22,4,0,0,0,0,0,0,0,4,0,26
AF1S-SPACE COMMAND,4806,891,42,38,0,542,0,0,0,6319,124,60,59,0,0,8,0,0,251,0,6570
AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,88,13,2,0,0,1,0,0,0,104,12,0,1,0,0,0,0,0,13,0,117
AF1Y-AIR FORCE CIVILIAN CAREER TRAINING,335,309,36,847,0,45,0,0,0,1572,0,0,1,0,0,0,0,0,1,0,1573
AF21-AIR FORCE NUCLEAR WEAPONS AGENCY,13,4,0,0,0,1,1,0,0,19,0,0,0,0,0,0,0,0,0,0,19
AF24-HQ USAF DIRECT SUPPORT ELEMENT,206,38,0,2,0,20,1,0,0,267,0,0,5,0,0,65,0,0,70,0,337
AF25-AF-WIDE SUPPORT ELEMENT,132,35,7,4,0,74,0,0,0,252,9,21,5,0,0,2,1,0,38,0,290
AF27-AIR FORCE AGENCY FOR MODELING AND SIMULATION,12,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
AF29-AIR FORCE NATIONAL SECURITY EMERGENCY PREPAREDNESS,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
AF2A-AIR FORCE COST CENTER,29,7,0,0,0,1,0,0,0,37,3,0,0,0,0,0,0,0,3,0,40
AF2B-AIR FORCE DOCTRINE CENTER,15,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,47,30,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,77
AF2E-AIR FORCE LEGAL SERVICES CENTER,36,8,32,2,0,5,0,0,0,83,2,8,7,0,0,0,0,0,17,0,100
AF2F-AIR FORCE MEDICAL SERVICES CENTER,98,12,2,0,0,0,0,0,0,112,1,0,2,0,0,0,0,0,3,0,115
AF2G-AIR FORCE SERVICE INFORMATION AND NEWS CENTER,59,12,0,0,0,2,0,0,0,73,1,0,2,0,0,0,0,0,3,0,76
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,355,72,6,0,0,4,1,0,0,438,9,0,25,0,0,0,0,0,34,0,472
AF2K-U.S. AIR FORCE HISTORICAL RESEARCH CENTER,30,8,0,0,0,0,0,0,0,38,1,0,1,0,0,0,0,0,2,0,40
AF2M-AIR FORCE REVIEW BOARDS OFFICE,39,2,3,1,0,0,1,0,0,46,0,0,3,0,0,0,0,0,3,0,49
AF2N-AIR FORCE CENTER FOR STUDIES AND ANALYSES,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AF2Q-AIR WEATHER SERVICE,143,22,0,3,0,8,0,0,0,176,17,0,2,0,0,0,0,0,19,0,195
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,5,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,6
AF2S-HQ NORAD,17,6,0,0,0,15,0,0,0,38,1,0,0,0,0,0,0,0,1,0,39
AF2T-AIR FORCE SUPPLY CENTER,39,6,0,0,0,0,1,0,0,46,0,0,1,0,0,0,0,0,1,0,47
"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",167,6,6,0,0,1,0,0,0,180,1,0,0,0,0,0,0,0,1,0,181
AF2W-11TH WING,16,5,0,1,0,1,0,0,0,23,1,0,4,0,0,0,0,0,5,0,28
AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,82,13,0,0,0,2,0,0,0,97,0,0,0,0,0,0,0,0,0,0,97
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,5,1,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,8
AF34-AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5),617,101,0,2,0,18,0,0,0,738,12,0,6,0,0,0,0,0,18,0,756
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",52,38,1,0,0,165,2,0,0,258,5,6,0,0,0,12,0,0,23,0,281
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",316,94,1,2,0,127,3,0,0,543,34,0,0,0,0,1,0,0,35,0,578
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND",25,2,0,0,0,76,0,0,0,103,14,0,0,0,0,14,0,0,28,0,131
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",303,102,3,7,0,341,4,0,0,760,1,1,0,0,0,4,0,0,6,0,766
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",264,43,6,2,0,56,5,0,0,376,12,0,4,0,0,0,0,0,16,0,392
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",250,48,5,3,0,402,2,0,0,710,12,7,6,0,0,11,0,0,36,0,746
AF3W-AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE,326,18,6,0,0,2,1,0,0,353,15,7,0,0,0,0,0,0,22,0,375
AF3Y-AIR FORCE FREQUENCY MANAGEMENT AGENCY,13,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19
"AF4D-AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND",186,166,3,2,0,103,3,0,0,463,5,1,0,0,0,4,0,0,10,0,473
AF4W-AIR FORCE DISTRICT OF WASHINGTON,570,144,3,17,0,14,0,0,0,748,19,0,38,0,0,0,0,0,57,0,805
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),212,31,0,0,0,20321,0,0,0,20564,7,56,0,0,0,1756,0,0,1819,0,22383
"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",1,0,0,0,0,219,0,0,0,220,0,0,0,0,0,52,0,0,52,0,272
AG**-UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,16,2,0,0,0,0,1,19,0,38,0,1,2,30,11,0,0,1,45,0,83
AG02-AGRICULTURAL MARKETING SERVICE,1973,269,411,45,0,8,10,0,0,2716,3,2641,11,1,0,2,0,0,2658,0,5374
AG03-AGRICULTURAL RESEARCH SERVICE,6046,1194,8,79,0,28,39,0,0,7394,401,339,1046,0,0,22,0,0,1808,0,9202
AG07-RURAL HOUSING SERVICE,5115,698,16,46,0,17,6,1,3,5902,43,2,81,46,0,3,0,0,175,0,6077
AG08-RISK MANAGEMENT AGENCY,439,14,0,7,0,1,2,2,2,467,1,0,7,4,0,5,0,0,17,0,484
AG10-FOREIGN AGRICULTURAL SERVICE,426,30,1,12,1,136,3,2,0,611,1,7,181,4,0,39,0,0,232,0,843
AG11-FOREST SERVICE,25479,3091,66,700,0,483,54,0,0,29873,6924,97,1855,0,0,197,1,0,9074,1,38948
AG13-OFFICE OF COMMUNICATIONS,71,5,0,0,0,0,0,1,0,77,1,1,4,8,0,0,0,0,14,0,91
AG14-OFFICE OF THE GENERAL COUNSEL,88,8,206,0,0,1,20,0,0,323,0,4,4,0,1,0,0,0,9,0,332
AG15-RURAL UTILITIES SERVICE,272,46,0,3,0,3,3,1,1,329,0,0,13,5,1,0,0,0,19,0,348
AG16-NATURAL RESOURCES CONSERVATION SERVICE,9999,1315,9,347,0,38,25,4,2,11739,311,425,126,6,0,29,0,0,897,0,12636
AG18-ECONOMIC RESEARCH SERVICE,316,22,0,0,0,1,7,0,0,346,4,0,15,0,0,0,0,0,19,0,365
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,923,158,2,7,0,1,10,0,0,1101,0,0,10,0,0,0,0,0,10,0,1111
"AG22-COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE",279,58,0,1,0,1,9,0,0,348,2,44,7,0,0,3,0,0,56,0,404
AG23-OFFICE OF THE INSPECTOR GENERAL,488,29,9,46,0,8,8,0,0,588,1,1,1,0,1,0,0,0,4,0,592
AG30-FOOD AND NUTRITION SERVICE,1239,110,2,2,0,9,16,3,0,1381,2,1,3,4,0,0,0,0,10,0,1391
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,81,4,1,0,0,0,1,1,0,88,0,0,0,4,0,0,0,0,4,0,92
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,4396,1051,11,55,0,82,32,0,0,5627,515,1696,196,2,0,20,0,0,2429,0,8056
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",579,50,1,7,0,2,3,1,0,643,9,49,1,1,0,0,0,0,60,0,703
AG37-FOOD SAFETY AND INSPECTION SERVICE,7758,1256,22,30,0,6,21,0,0,9093,58,616,16,1,0,5,0,0,696,0,9789
AG38-OFFICE OF THE CHIEF ECONOMIST,47,4,1,0,0,0,5,0,0,57,0,1,3,0,0,0,0,0,4,0,61
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,41,7,0,0,0,0,6,0,0,54,0,0,4,0,0,0,0,0,4,0,58
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1216,38,0,0,0,1,9,0,0,1264,2,4,5,1,1,3,0,0,16,0,1280
AGCR-OFFICE OF CIVIL RIGHTS,128,10,0,0,0,0,2,0,0,140,0,0,3,0,0,0,0,0,3,0,143
AGDA-DEPARTMENTAL ADMINISTRATION,394,30,21,3,0,4,5,1,0,458,3,14,5,1,0,3,1,0,27,0,485
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,22,1,0,0,0,0,0,0,0,23,1,0,3,0,0,0,0,0,4,0,27
AGFA-FARM SERVICE AGENCY,4576,430,4,71,0,17,9,6,1,5114,5,229,17,57,0,1,0,0,309,0,5423
AGHS-HOMELAND SECURITY STAFF,5,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,1,0,7
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,889,56,0,8,0,5,7,1,0,966,1,1,8,1,0,0,0,0,11,0,977
AGNA-NATIONAL APPEALS DIVISION,85,17,0,0,0,0,0,0,0,102,1,0,0,0,0,0,0,0,1,0,103
AGSC-NATIONAL SHEEP INDUSTRY IMPROVEMENT CENTER,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AH01-NATIONAL ENDOWMENT FOR THE ARTS,95,24,0,0,0,0,2,3,0,124,3,20,0,4,13,7,0,0,47,0,171
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,82,4,4,41,0,2,8,1,0,142,2,0,2,4,23,1,0,0,32,0,174
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,34,14,2,1,0,5,0,0,0,56,1,0,0,0,16,4,0,0,21,0,77
AI00-U.S. INSTITUTE OF PEACE,0,0,0,0,0,8,0,0,0,8,0,0,0,0,7,117,0,0,124,0,132
AM00-AGENCY FOR INTERNATIONAL DEVELOPMENT,820,128,22,3,0,775,17,1,0,1766,6,26,0,0,8,605,0,0,645,2,2413
AN00-AFRICAN DEVELOPMENT FOUNDATION,13,4,1,0,0,2,0,0,0,20,1,1,0,0,0,3,0,0,5,0,25
AP00-APPALACHIAN REGIONAL COMMISSION,3,2,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,3,0,8
AR**-UNSPECIFIED,2,3,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
ARAC-U.S. ARMY CONTRACTING AGENCY,1396,160,24,34,0,27,4,0,0,1645,10,5,8,0,0,1,0,0,24,0,1669
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,3200,308,6,61,0,81,11,0,0,3667,31,50,52,0,0,3,1,0,137,0,3804
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,0,0,2,0,0,2067,0,0,0,2069,0,0,0,0,0,20,0,0,20,0,2089
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,3263,458,8,156,0,91,5,0,2,3983,50,1,35,0,0,5,0,0,91,0,4074
ARAU-U.S. ARMY AUDIT AGENCY,468,48,0,62,0,1,2,0,0,581,0,0,0,0,0,0,0,0,0,0,581
ARBA-U.S. ARMY INSTALLATION MANAGEMENT AGENCY,23884,5938,259,77,0,1971,7,0,0,32136,1641,1078,36,0,0,496,1,0,3252,0,35388
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,368,114,2,9,0,18,0,0,0,511,12,2,0,0,0,2,0,0,16,0,527
ARCE-U.S. ARMY CORPS OF ENGINEERS (EXCEPT CIVIL PROGRAM FINANCING),26407,1763,360,569,0,207,42,0,0,29348,1007,306,738,0,2,24,2,0,2079,0,31427
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,762,216,12,2,0,155,21,0,0,1168,7,0,7,0,0,3,0,0,17,0,1185
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,466,127,12,0,0,67,6,0,0,678,67,132,0,0,0,6,1,0,206,0,884
ARE2-21ST THEATER ARMY AREA COMMAND,219,102,6,2,0,17,0,0,0,346,25,87,0,0,0,0,0,0,112,0,458
ARE3-U.S. ARMY SOUTHERN EURPOEAN TASK FORCE,25,4,3,0,0,2,0,0,0,34,3,5,0,0,0,0,0,0,8,0,42
ARE5-U.S. ARMY V CORPS,158,54,7,0,0,22,0,0,0,241,28,90,0,0,0,1,0,0,119,0,360
AREB-1ST PERSONNEL COMMAND,193,70,0,0,0,40,0,0,0,303,16,131,0,0,0,0,0,0,147,0,450
AREN-SEVENTH ARMY TRAINING COMMAND,223,75,0,0,0,24,0,0,0,322,11,29,0,0,0,0,0,0,40,0,362
ARFC-U.S. ARMY FORCES COMMAND,1735,495,30,1,0,191,3,0,0,2455,262,49,0,0,0,139,0,0,450,0,2905
ARFL-U.S. ARMY SOUTH COMMAND,118,26,2,0,0,16,0,0,0,162,11,3,0,0,0,0,0,0,14,0,176
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,1517,300,5,1,0,94,1,0,0,1918,9,32,1,0,0,0,0,0,42,0,1960
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,315,63,2,1,0,7,0,0,0,388,3,0,2,0,0,0,0,0,5,0,393
ARHR-U.S. ARMY RESERVE COMMAND,5174,1403,5,0,0,587,1,0,0,7170,167,0,0,0,0,0,0,0,167,0,7337
ARJ1-U.S. ARMY ELEMENT SHAPE,25,14,0,0,0,17,0,0,0,56,1,19,0,0,0,0,0,0,20,0,76
ARJA-JOINT ACTIVITIES,500,181,5,0,0,487,3,0,0,1176,45,40,0,0,0,24,1,0,110,0,1286
ARMA-U.S. MILITARY ACADEMY,428,66,10,0,0,12,0,0,0,516,11,125,1,0,0,17,0,0,154,0,670
ARMC-U.S. ARMY MEDICAL COMMAND,19472,6449,68,11,0,730,6,0,0,26736,1266,574,64,0,0,201,0,0,2105,0,28841
ARMP-U.S. ARMY HUMAN RESOURCES COMMAND,1838,222,5,6,0,47,1,0,0,2119,22,2,5,0,0,0,0,0,29,0,2148
ARMT-MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,1148,138,9,5,0,39,1,0,0,1340,14,9,15,0,0,1,0,0,39,0,1379
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,314,126,3,0,0,28,1,0,0,472,6,3,0,0,0,0,0,0,9,0,481
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1376,158,2,0,0,20930,0,0,0,22466,20,1076,6,0,0,3818,0,0,4920,1,27387
"ARP1-U.S. ARMY, PACIFIC",660,275,6,0,0,129,0,0,0,1070,64,10,0,0,0,6,0,0,80,0,1150
ARP8-EIGHTH U.S. ARMY,345,115,1,0,0,24,0,0,0,485,13,38,0,0,0,6,0,0,57,0,542
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,552,73,16,1,0,9,37,11,0,699,7,0,4,14,7,25,4,0,61,0,760
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,2906,399,17,1303,0,164,3,0,0,4792,21,38,10,0,0,2,0,0,71,0,4863
ARSC-U.S. ARMY SPACE AND STRATEGIC DEFENSE COMMAND,735,82,11,16,0,53,7,0,0,904,31,0,4,0,0,8,0,0,43,0,947
ARSE-FIELD OPERATING AGENCIES OF THE ARMY STAFF RESOURCED THROUGH OA-22,921,163,53,14,0,21,3,0,0,1175,43,7,6,0,0,4,0,0,60,1,1236
ARSF-FIELD OPERATING AGENCIES OF THE ARMY STAFF,33,8,20,0,0,6,0,0,0,67,1,2,0,0,0,1,0,0,4,0,71
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",888,115,29,1,0,43,1,0,0,1077,6,99,11,0,0,38,0,0,154,0,1231
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),770,272,4,6,0,230,0,0,0,1282,182,5,27,0,0,27,0,0,241,0,1523
ARTA-U.S. ARMY ACCESSIONS COMMAND,1566,565,7,5,0,200,0,0,0,2343,65,0,1,0,0,0,0,0,66,0,2409
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,5966,2650,542,40,0,865,7,0,0,10070,340,1013,52,0,0,262,0,0,1667,0,11737
ARTM-U.S. MILITARY ENTRANCE PROCESSING COMMAND,1074,562,2,4,0,150,0,0,0,1792,23,0,3,0,0,0,0,0,26,0,1818
ARTW-U.S. ARMY WAR COLLEGE,164,45,0,4,0,20,0,0,0,233,3,59,2,0,0,11,0,0,75,0,308
"ARX2-HEADQUARTERS, AMC",501,53,15,1,0,4,12,0,0,586,6,1,2,0,0,0,0,0,9,0,595
"ARX3-HEADQUARTERS, STAFF SUPPORT ACTIVITIES, AMC",21,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25
"ARX4-TRAINING ACTIVITIES, AMC",141,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,141
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,6473,1351,40,211,0,194,6,0,0,8275,71,0,23,0,0,1,0,0,95,0,8370
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),8235,2229,57,441,0,346,3,0,0,11311,1311,574,106,0,0,96,0,0,2087,0,13398
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,5041,1401,42,341,0,131,4,0,1,6961,74,2,43,0,0,0,0,0,119,0,7080
ARXB-U.S. ARMY CHEMICAL MATERIALS AGENCY,1777,459,5,16,0,48,1,0,0,2306,174,91,1,0,0,1,0,0,267,0,2573
ARXK-MATERIEL ACQUISITION ACTIVITIES,62,12,0,2,0,21,0,0,0,97,0,0,0,0,0,1,0,0,1,0,98
ARXL-MATERIEL ACQUISITION PROJECT MANAGERS,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,370,27,0,5,0,4,1,0,0,407,25,1,1,0,0,0,0,0,27,0,434
ARXQ-U.S. ARMY OPERATIONS SUPPORT COMMAND,3779,880,42,74,0,124,3,0,0,4902,507,29,12,0,0,3,0,0,551,0,5453
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",10705,1307,37,855,0,184,37,0,3,13128,162,9,172,0,0,2,0,0,345,0,13473
ARXX-MATERIEL READINESS ACTIVITIES,382,24,0,3,0,2,0,0,0,411,1,0,1,0,0,1,0,0,3,0,414
AU00-FEDERAL LABOR RELATIONS AUTHORITY,63,0,59,0,0,1,8,0,0,131,0,0,0,0,9,1,0,0,10,0,141
AW00-ARCTIC RESEARCH COMMISSION,2,1,0,0,0,0,1,0,0,4,0,2,0,0,0,4,0,0,6,0,10
BD00-MERIT SYSTEMS PROTECTION BOARD,84,9,82,0,0,33,11,3,0,222,0,0,0,3,3,0,0,0,6,0,228
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,19,2,9,0,0,43,9,0,0,82,0,0,0,0,3,0,0,0,3,0,85
BG00-PENSION BENEFIT GUARANTY CORPORATION,541,168,94,1,0,2,0,0,0,806,2,2,34,2,0,1,0,0,41,0,847
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
BO00-OFFICE OF MANAGEMENT AND BUDGET,258,69,38,1,0,0,56,13,0,435,1,4,15,20,6,0,0,0,46,0,481
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,20,0,4,0,0,0,2,0,0,26,0,0,1,0,16,0,0,0,17,0,43
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,1,0,0,0,9,0,0,0,14,0,0,0,0,11,0,0,0,11,0,25
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,7,0,0,11,0,12
CC00-COMMISSION ON CIVIL RIGHTS,32,4,5,0,0,0,1,1,0,43,1,0,0,4,4,3,0,0,12,0,55
CE00-COUNCIL OF ECONOMIC ADVISERS,5,0,0,0,0,1,1,0,0,7,0,0,0,3,3,11,0,0,17,0,24
CF00-COMMISSION OF FINE ARTS,7,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,8
CM33-TECHNOLOGY ADMINISTRATION,8,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,9
CM51-OFFICE OF THE SECRETARY,491,67,138,5,0,2,26,8,0,737,2,9,15,44,6,2,0,0,78,0,815
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,130,9,12,1,0,1,6,3,0,162,5,1,5,3,1,15,0,0,30,0,192
CM53-BUREAU OF ECONOMIC ANALYSIS,361,130,1,6,0,1,10,0,0,509,1,2,5,0,0,2,0,0,10,0,519
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,10324,1204,380,65,0,71,106,8,0,12158,139,53,98,10,2,33,0,0,335,0,12493
CM55-INTERNATIONAL TRADE ADMINISTRATION,1086,154,18,8,0,184,20,12,0,1482,12,8,6,36,5,68,0,0,135,0,1617
CM56-PATENT AND TRADEMARK OFFICE,5193,1620,558,530,0,161,46,1,0,8109,1,3,47,5,1,15,0,0,72,0,8181
CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2194,283,1,6,0,1,31,0,0,2516,87,135,125,0,1,3,0,0,351,0,2867
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,75,8,0,0,0,0,1,2,0,86,5,0,0,1,0,0,0,0,6,0,92
CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,194,26,12,1,0,0,8,2,0,243,1,2,12,2,0,0,0,0,17,0,260
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,130,6,0,0,0,0,2,0,0,138,0,0,0,0,0,0,0,0,0,0,138
CM63-BUREAU OF THE CENSUS,4809,1354,6220,3,0,41,36,1,0,12464,47,262,36,4,1,5,0,0,355,0,12819
CM64-OFFICE OF THE INSPECTOR GENERAL,94,14,5,0,0,0,7,0,0,120,0,1,1,0,1,0,0,0,3,0,123
