,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
AF0U-HQ AIR INTELLIGENCE AGENCY,1,0,1,2,0,1936,0,0,0,1940,0,1,0,0,0,55,0,0,56,0,1996
AF10-AF CTR FOR QUALITY AND MGMT INNOVATION,72,1,0,0,0,2,0,0,0,75,2,0,0,0,0,0,0,0,2,0,77
AF1C-AIR COMBAT COMMAND,7409,1037,22,25,0,383,1,0,0,8877,470,123,74,0,0,56,0,0,723,0,9600
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,18,1,0,0,0,0,0,0,0,19,3,0,1,0,0,0,0,0,4,0,23
AF1L-AIR MOBILITY COMMAND,6311,955,21,8,0,191,1,0,0,7487,223,154,100,0,0,10,0,0,487,0,7974
AF1M-AIR FORCE MATERIEL COMMAND,45697,7701,353,480,0,867,67,1,0,55166,941,181,744,0,0,40,0,0,1906,0,57072
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,23,5,0,0,0,1,0,0,0,29,5,0,0,0,0,0,0,0,5,0,34
AF1S-SPACE COMMAND,4902,902,38,28,0,214,4,0,0,6088,119,23,113,0,0,5,0,0,260,0,6348
AF1W-AF ENGINEERING AND SERVICES CTR,101,5,1,0,0,1,0,0,0,108,9,0,0,0,0,0,0,0,9,0,117
AF27-AF AGENCY FOR MODELING AND SIMULATION,12,1,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,14
AF29-AF NAT SECURITY EMERGENCY PREPAREDNESS,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
AF2A-AIR FORCE COST CENTER,25,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
AF2B-AIR FORCE DOCTRINE CENTER,9,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
AF2D-AIR FORCE PERSONNNEL OPERATIONS AGENCY,5,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,6
AF2E-AIR FORCE LEGAL SERVICES CENTER,50,3,34,0,0,1,0,0,0,88,5,6,10,0,0,1,0,0,22,0,110
AF2F-AIR FORCE MEDICAL SERVICES CENTER,29,2,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,31
AF2G-AF SERVICE INFORMATION AND NEWS CENTER,57,10,0,0,0,0,0,0,0,67,2,0,0,0,0,0,0,0,2,0,69
AF2H-AIR FORCE COMBAT OPERATIONS STAFF,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,369,23,7,0,0,4,1,0,0,404,13,1,22,0,0,0,0,0,36,0,440
AF2K-USAF HISTORICAL RESEARCH CTR,31,2,0,0,0,0,0,0,0,33,17,0,1,0,0,0,0,0,18,0,51
AF2M-AIR FORCE REVIEW BOARDS OFFICE,29,4,1,0,0,0,1,0,0,35,2,0,3,0,0,0,0,0,5,0,40
AF2N-AF CTR FOR STUDIES AND ANALYSES,19,1,0,0,0,0,1,0,0,21,1,0,0,0,0,0,0,0,1,0,22
AF2Q-AIR WEATHER SERVICE,145,14,0,0,0,12,0,0,0,171,29,0,3,0,0,0,0,0,32,0,203
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,7,2,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,11
AF2S-HQ NORAD,30,6,0,0,0,8,0,0,0,44,1,0,0,0,0,0,0,0,1,0,45
AF2T-AIR FORCE SUPPLY CENTER,49,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50
"AF2U-AIR FORCE MORALE, WELFARE & REC CENTER",148,7,6,0,0,1,0,0,0,162,0,0,0,0,0,0,0,0,0,0,162
AF2V-AIR FORCE DISPOSAL AGENCY,175,2,7,1,0,2,1,0,0,188,1,0,1,0,0,0,0,0,2,0,190
AF2W-AIR FORCE DISTRICT OF WASHINGTON,828,106,5,7,0,89,1,0,0,1036,110,13,68,0,0,46,0,0,237,0,1273
AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,212,13,3,3,0,1,0,0,0,232,0,0,3,0,0,0,0,0,3,0,235
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,39,7,0,0,0,0,0,0,0,46,1,0,1,0,0,0,0,0,2,0,48
AF34-AIR NAT GUARD UNITS (MOBIL) (TITLE 5),645,98,0,2,0,23,0,0,0,768,18,6,1,0,0,2,0,0,27,0,795
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",49,11,1,0,0,80,0,0,0,141,6,9,0,0,0,2,0,0,17,0,158
"AF3D-AIR FORCE ELEMENTS, U.S. SPEC OPER CMD",236,33,1,3,0,54,1,0,0,328,20,14,0,0,0,1,0,0,35,0,363
"AF3G-AIR FORCE ELEMENTS, EUROPE",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2
AF3L-CENTER FOR AIR FORCE HISTORY,18,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,7,0,25
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC CMD",20,4,0,0,0,68,0,0,0,92,1,0,0,0,0,17,0,0,18,0,110
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC CMD",216,36,0,5,0,144,1,0,0,402,2,0,1,0,0,1,0,0,4,0,406
"AF3S-HDQTRS, U.S. SPACE COMMAND AND NORAD",57,11,1,0,0,124,1,0,0,194,2,5,0,0,0,2,0,1,10,0,204
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTN CMD",243,19,5,0,0,51,3,0,0,321,10,0,2,0,0,0,0,0,12,0,333
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",232,26,4,2,0,300,1,0,0,565,12,11,2,0,0,2,0,0,27,0,592
AF3W-AIR FORCE CTR FOR ENVIRONMNTL EXCELLENCE,321,5,5,0,0,1,1,0,0,333,30,2,7,0,0,0,0,0,39,0,372
AF3Y-AIR FORCE FREQUENCY MANAGEMENT CENTER,13,5,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,1,0,19
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),231,5,0,0,0,19114,0,0,0,19350,15,18,0,0,0,1746,0,0,1779,0,21129
"AFZG-U.S. SPEC OPERATIONS CMD (ANG, TITLE 32)",1,0,0,0,0,217,0,0,0,218,0,0,0,0,0,33,0,0,33,0,251
AFZS-U.S. SPEC. OPERATIONS COMMAND (AIR FORCE,459,96,10,0,0,29,0,0,0,594,37,24,15,0,0,0,0,0,76,0,670
AG**-UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,18,0,0,0,0,0,2,14,0,34,0,0,0,18,11,1,0,0,30,0,64
AG02-AGRICULTURAL MARKETING SERVICE,2121,362,465,7,0,7,10,1,0,2973,7,3009,14,0,0,8,0,0,3038,0,6011
AG03-AGRICULTURAL RESEARCH SERVICE,5673,1339,12,46,0,17,40,0,0,7127,386,357,1129,1,0,10,0,0,1883,0,9010
AG07-RURAL HOUSING SERVICE,5605,459,17,32,0,33,5,1,3,6155,135,6,100,49,0,6,0,0,296,0,6451
AG08-RISK MANAGEMENT AGENCY,475,32,0,6,0,1,1,2,4,521,0,0,3,1,0,6,0,0,10,0,531
AG10-FOREIGN AGRICULTURAL SERVICE,423,66,0,24,9,151,5,2,1,681,3,0,158,3,0,14,0,0,178,0,859
AG11-FOREST SERVICE,25164,5373,86,562,0,318,55,0,2,31560,9909,105,2509,0,0,95,0,0,12618,1,44179
AG13-OFFICE OF COMMUNICATIONS,86,4,0,2,0,0,0,1,0,93,0,2,1,6,0,0,0,0,9,0,102
AG14-OFFICE OF THE GENERAL COUNSEL,95,4,202,0,0,2,16,0,0,319,0,3,3,0,1,0,0,0,7,0,326
AG15-RURAL UTILITIES SERVICE,292,56,0,0,0,0,3,1,5,357,0,0,6,4,1,0,0,0,11,0,368
AG16-NATURAL RESOURCES CONSERVATION SERVICE,10089,1236,13,292,0,43,27,1,31,11732,301,726,211,1,0,30,0,0,1269,0,13001
AG18-ECONOMIC RESEARCH SERVICE,379,27,1,0,0,0,7,0,0,414,28,0,16,0,0,0,0,0,44,0,458
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,951,101,2,9,0,1,10,0,0,1074,3,0,0,0,0,1,0,0,4,0,1078
"AG22-COOP STATE RESEARCH, EDUC, & EXTEN SERV",254,69,0,2,0,1,10,0,0,336,10,54,15,0,0,3,0,0,82,0,418
AG23-OFFICE  OF THE INSPECTOR GENERAL,542,31,1,25,0,36,8,0,0,643,1,5,2,0,0,0,0,0,8,0,651
AG30-FOOD AND NUTRITION SERVICE,1366,119,1,5,0,12,15,4,0,1522,7,6,31,1,0,1,1,0,47,0,1569
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,93,3,1,1,0,0,2,2,0,102,0,0,1,2,0,0,0,0,3,0,105
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERV,4689,1747,21,15,0,95,23,0,1,6591,503,1719,225,2,0,51,0,0,2500,0,9091
"AG36-GRAIN INSPEC, PACKERS & STOCKYARDS ADMIN",640,96,1,2,0,2,4,1,0,746,2,42,7,0,0,0,0,0,51,0,797
AG37-FOOD SAFETY AND INSPECTION SERVICE,7722,1434,32,2,0,8,21,1,0,9220,67,983,44,0,0,5,0,0,1099,0,10319
AG38-OFFICE OF THE CHIEF ECONOMIST,43,1,0,1,0,0,4,0,0,49,0,1,5,0,0,0,0,0,6,0,55
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,52,7,0,0,0,0,5,0,0,64,0,0,3,0,0,0,0,0,3,0,67
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1501,136,6,1,0,7,7,0,0,1658,13,15,27,1,1,7,0,0,64,0,1722
AGDA-DEPARTMENTAL ADMINISTRATION,546,63,22,7,0,6,9,1,0,654,10,16,14,3,0,3,0,0,46,0,700
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,17,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,1,0,18
AGFA-FARM SERVICE AGENCY,5076,696,6,24,0,13,10,5,1,5831,14,232,47,52,0,0,0,0,345,0,6176
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,266,31,0,3,0,8,6,1,0,315,2,0,0,0,0,0,1,0,3,0,318
AGNA-NATIONAL APPEALS DIVISION,116,4,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,120
AGSC-NAT SHEEP INDUSTRY IMPROVEMENT CENTER,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AH-NAT FOUNDATION ON ARTS AND HUMANITIES,211,25,5,50,0,6,12,5,0,314,8,19,2,6,40,9,0,0,84,0,398
AI-U.S. INSTITUTE OF PEACE,0,0,0,0,0,13,0,0,0,13,0,0,0,0,6,62,0,0,68,0,81
AM-AGENCY FOR INTERNATIONAL DEVELOPMENT,827,80,11,2,0,791,24,1,0,1736,11,31,0,3,10,364,0,0,419,0,2155
AN-AFRICAN DEVELOPMENT FOUNDATION,16,4,0,0,0,3,0,0,0,23,1,1,0,0,0,3,0,0,5,0,28
AP-APPALACHIAN REGIONAL COMMISSION,7,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,2,0,9
AR**-UNSPECIFIED,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
ARAE-ACQUISITION EXECUTIVE SUPPORT AGENCY,2109,76,3,25,0,12,11,0,0,2236,20,1,24,0,0,0,0,0,45,0,2281
ARAS-US ARMY INTELLIGENCE AND SECURITY CMD,7,2,1,0,0,1722,0,0,0,1732,0,3,0,0,0,21,0,0,24,0,1756
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,4029,466,10,155,0,112,7,0,0,4779,140,4,25,0,0,9,0,0,178,0,4957
ARAU-U.S. ARMY AUDIT AGENCY,473,133,0,4,0,0,4,0,0,614,0,2,2,0,0,0,0,0,4,0,618
ARBA-U.S. ARMY INSTALLATION MANAGEMENT AGENCY,16,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,334,74,1,2,0,14,0,0,0,425,5,3,3,0,0,1,0,0,12,0,437
ARCE-US ARMY CORPS OF ENG (EXC CIV PRG FIN),28390,3032,354,793,0,243,38,0,0,32850,615,192,1260,0,2,25,0,0,2094,0,34944
ARCS-IMMEDIATE OFC OF CHIEF OF STAFF OF ARMY,572,31,2,0,0,123,16,0,0,744,1,5,11,0,0,2,0,1,20,1,765
ARE1-IMM OFC CMD-IN-CH US ARMY EUR & SEV ARMY,2142,627,27,0,0,281,7,0,0,3084,150,992,0,0,0,4,0,0,1146,1,4231
ARE2-21ST THEATER ARMY AREA COMMAND,235,54,7,0,0,29,0,0,0,325,22,41,0,0,0,0,0,0,63,0,388
ARE3-U.S. ARMY SOUTHERN EUROPEAN TASK FORCE,135,45,5,0,0,15,0,0,0,200,9,52,0,0,0,0,0,0,61,0,261
ARE5-U.S. ARMY V CORPS,183,51,11,0,0,20,0,0,0,265,20,85,0,0,0,0,0,0,105,0,370
AREB-1ST PERSONNEL COMMAND,166,76,1,0,0,52,0,0,0,295,17,124,0,0,0,2,0,0,143,0,438
AREN-SEVENTH ARMY TRAINING COMMAND,362,136,1,0,0,57,0,0,0,556,18,163,0,0,0,1,0,0,182,0,738
ARFC-U.S. ARMY FORCES COMMAND,12361,1261,59,7,0,569,4,0,0,14261,926,234,52,0,0,14,0,0,1226,0,15487
ARG6-U.S. ARMY NETCOM/9TH ARMY SIGNAL COMMAND,25,6,0,0,0,3,0,0,0,34,1,0,0,0,0,0,0,0,1,0,35
ARGB-OFC OF CHIEF OF NAT GUARD BUREAU,328,39,2,0,0,6,1,0,0,376,8,2,2,0,0,0,0,0,12,0,388
ARHR-U.S. ARMY RESERVE COMMAND,7130,1754,8,0,0,507,0,0,0,9399,353,9,8,0,0,0,0,0,370,0,9769
ARJ1-U.S. ARMY ELEMENT SHAPE,24,9,2,0,0,11,0,0,0,46,3,30,0,0,0,0,0,0,33,0,79
ARJA-JOINT ACTIVITIES,615,174,5,1,0,380,2,0,0,1177,71,68,16,0,0,196,0,0,351,0,1528
ARMA-U.S. MILITARY ACADEMY,1438,337,14,0,0,36,0,0,0,1825,39,110,15,0,0,29,0,0,193,0,2018
ARMC-U.S. ARMY MEDICAL COMMAND,19655,5047,82,9,0,793,9,0,0,25595,703,663,94,0,0,157,0,0,1617,0,27212
ARMP-U.S. TOTAL ARMY PERSONNEL COMMAND,1632,87,1,1,0,120,2,0,0,1843,19,1,13,0,0,0,0,0,33,0,1876
ARMT-MILITARY TRAFFIC MANAGEMENT COMMAND,1309,71,11,3,0,34,2,0,0,1430,37,5,18,0,0,0,0,0,60,0,1490
ARMW-US ARMY MIL DISTRICT OF WASHINGTON,2184,176,18,0,0,55,2,0,0,2435,64,4,16,0,0,1,0,0,85,0,2520
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1569,44,2,0,0,21167,0,0,1,22783,32,7,0,0,0,2529,0,0,2568,2,25353
"ARP1-U.S. ARMY, PACIFIC",2573,298,41,0,0,106,0,0,0,3018,326,89,4,0,0,1,0,0,420,0,3438
ARP8-EIGHTH U.S. ARMY,847,139,5,0,0,79,0,0,0,1070,55,19,0,0,0,78,0,0,152,0,1222
ARPC-MILITARY ENTRANCE PROCESSING COMMAND,1006,192,1,1,0,46,0,0,0,1246,17,1,0,0,0,0,0,0,18,0,1264
ARRC-U.S. ARMY RECRUITING COMMAND,994,139,5,1,0,44,0,0,0,1183,22,0,2,0,0,1,0,0,25,0,1208
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,478,11,12,0,0,4,35,13,0,553,3,3,1,9,7,93,3,0,119,0,672
ARSB-FLD OPERATING OFC OF OFC OF SEC OF ARMY,2013,834,12,40,0,105,1,0,0,3005,23,13,16,0,0,1,0,0,53,0,3058
ARSC-US ARMY SPACE AND STRATEGIC DEFENSE CMD,960,86,6,3,0,60,7,0,0,1122,50,0,3,0,0,1,0,0,54,0,1176
ARSE-FLD OP AG OF ARMY STAFF RESOURCED OA-22,893,50,39,0,0,19,3,0,0,1004,16,3,14,0,0,8,0,0,41,0,1045
ARSF-FLD OPERATING AGENCIES OF THE ARMY STAFF,937,77,15,0,0,27,2,0,0,1058,18,43,3,0,0,22,0,0,86,0,1144
"ARSJ-JT SERV & ACT SUP BY OFC, SEC OF ARMY",947,42,41,3,0,48,1,1,0,1083,4,4,13,0,0,1,0,0,22,0,1105
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),800,93,5,1,0,152,0,0,0,1051,76,8,5,0,0,15,0,0,104,0,1155
"ARSS-STAFF SUP AGENCIES OF CHF OF STAFF, ARMY",60,2,0,2,0,0,1,0,0,65,0,0,1,0,0,0,0,0,1,0,66
ARSU-U.S. ARMY SOUTHERN COMMAND,472,111,4,2,0,93,0,0,0,682,18,5,3,0,0,1,0,0,27,0,709
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,13285,1485,654,28,0,752,9,0,0,16213,1375,500,58,0,0,77,0,0,2010,0,18223
"ARX2-HEADQUARTERS, AMC",648,14,16,1,0,6,11,0,0,696,5,12,4,0,0,1,0,0,22,0,718
"ARX3-HQ, STAFF SUPPORT ACTIVITIES, AMC",84,1,0,0,0,0,0,0,0,85,1,0,0,0,0,0,0,0,1,0,86
"ARX4-TRAINING ACTIVITIES, AMC",26,29,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,55
"ARX5-U.S. ARMY MATERIEL COMMAND, ALL OTHERS",263,22,0,24,0,3,2,0,0,314,0,0,2,0,0,1,0,0,3,0,317
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,9448,858,45,130,0,142,14,0,0,10637,75,8,53,0,0,2,0,0,138,0,10775
ARX7-U.S. ARMY TANK-AUTOMOTIVE & ARMAMENT CMD,10331,858,51,273,0,95,13,0,0,11621,616,19,60,0,0,2,0,0,697,0,12318
ARX8-US ARMY COMMUNICATIONS ELECTRONICS CMD,7940,972,35,123,0,104,10,0,0,9184,47,4,39,0,0,0,0,0,90,0,9274
"ARX9-U.S. ARMY SIMUL, TRAING AND INSTRUM CMD",381,8,2,2,0,41,0,0,0,434,4,0,7,0,0,0,0,0,11,0,445
ARXA-US ARMY CHEMICAL AND BIOLOGICAL DEF CMD,4966,607,19,38,0,59,6,0,0,5695,182,0,54,0,0,9,0,0,245,0,5940
ARXD-U.S. ARMY RESEARCH LABORATORY COMMAND,1755,156,12,12,0,28,11,0,0,1974,1,1,23,0,0,1,0,0,26,0,2000
ARXK-MATERIEL ACQUISITION ACTIVITIES,92,12,2,5,0,12,0,0,0,123,1,0,0,0,0,0,0,0,1,0,124
ARXL-MATERIEL ACQUISITION PROJECT MANAGERS,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,432,24,0,0,0,3,1,0,0,460,29,2,2,0,0,0,0,0,33,0,493
ARXQ-U.S. ARMY INDUSTRIAL OPERATIONS COMMAND,5881,433,42,9,0,46,2,0,0,6413,372,12,5,0,0,1,0,0,390,0,6803
ARXX-MATERIEL READINESS ACTIVITIES,408,26,0,0,0,2,0,0,0,436,1,1,3,0,0,1,0,0,6,0,442
AU-FEDERAL LABOR RELATIONS AUTHORITY,82,8,82,1,0,0,14,0,0,187,0,1,3,0,11,4,0,0,19,0,206
AW-ARCTIC RESEARCH COMMISSION,3,1,0,0,0,0,1,0,0,5,0,0,0,0,1,6,0,0,7,0,12
BD-MERIT SYSTEMS PROTECTION BOARD,84,11,65,0,0,50,11,2,0,223,0,3,0,2,2,0,0,0,7,0,230
BF-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,24,1,10,0,0,46,10,0,0,91,1,0,0,0,2,1,0,0,4,0,95
BG-PENSION BENEFIT GUARANTY CORPORATION,530,115,81,0,0,1,0,0,0,727,1,4,41,3,0,0,0,0,49,0,776
BK-JAMES MADISON MEMORIAL FELLOWSHIP FOUND,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
BO-OFFICE OF MANAGEMENT AND BUDGET,288,79,21,1,0,3,55,13,0,460,1,1,9,24,5,3,1,0,44,0,504
BT-ARCHITECTL & TRANS BARRIER COMPLIANCE BD,23,1,4,0,0,0,0,0,0,28,0,0,1,0,9,4,0,0,14,0,42
BW-NUCLEAR WASTE TECHNICAL REVIEW BOARD,3,1,0,0,0,8,0,0,0,12,0,0,0,0,4,10,0,0,14,0,26
BZ-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATN,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,13,0,0,16,0,17
CC-COMMISSION ON CIVIL RIGHTS,41,9,9,0,0,0,1,1,0,61,0,0,0,9,5,4,0,0,18,0,79
CE-COUNCIL OF ECONOMIC ADVISERS,5,0,0,0,0,19,1,0,0,25,0,0,0,3,3,3,0,0,9,0,34
CF-COMMISSION OF FINE ARTS,5,2,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,8
CM33-TECHNOLOGY ADMINISTRATION,33,3,0,0,0,0,2,2,0,40,0,0,1,2,2,0,0,0,5,0,45
CM51-OFFICE OF THE SECRETARY,545,73,123,1,0,5,23,10,0,780,24,23,11,39,5,0,3,0,105,0,885
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,203,2,11,1,0,0,9,2,0,228,10,10,2,5,1,0,0,0,28,0,256
CM53-BUREAU OF ECONOMIC ANALYSIS,344,67,0,1,0,1,11,0,0,424,4,0,2,0,0,0,0,0,6,0,430
CM54-NAT OCEANIC AND ATMOSPHERIC ADMIN,10039,1261,256,80,0,103,103,7,0,11849,131,190,161,12,2,20,0,0,516,0,12365
CM55-INTERNATIONAL TRADE ADMINISTRATION,1122,296,22,24,0,173,23,11,0,1671,29,14,13,25,5,82,0,0,168,0,1839
CM56-PATENT AND TRADEMARK OFFICE,4790,1448,503,1,0,26,47,0,0,6815,44,2,32,1,1,21,0,0,101,0,6916
CM57-NATL INSTITUTE OF STANDARDS AND TECH,2401,370,3,12,0,1,37,0,0,2824,116,115,195,0,1,10,0,0,437,0,3261
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,78,11,0,0,0,0,1,2,0,92,1,1,0,2,0,0,0,0,4,0,96
CM61-NAT TELECOMMUNICATIONS AND INFO ADMIN,188,25,16,0,0,0,8,1,0,238,1,5,13,2,1,2,0,0,24,0,262
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,177,6,0,0,0,0,3,0,0,186,1,0,0,0,0,0,0,0,1,0,187
CM63-BUREAU OF THE CENSUS,4559,1348,4240,5,0,45,34,1,0,10232,303,641,41,2,1,5,0,0,993,0,11225
CM64-OFFICE OF THE INSPECTOR GENERAL,113,9,5,0,0,0,7,0,0,134,0,0,0,0,1,0,0,0,1,0,135
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,51,6,0,0,0,0,5,1,0,63,2,0,0,2,1,0,0,0,5,0,68
CM67-BUREAU OF INDUSTRY AND SECURITY,311,34,1,0,0,2,10,1,0,359,2,16,2,5,3,0,2,0,30,0,389
CT-COMMODITY FUTURES TRADING COMMISSION,297,17,142,0,0,0,11,4,0,471,2,4,35,4,5,0,1,0,51,0,522
CU-NATIONAL CREDIT UNION ADMINISTRATION,796,102,15,0,2,5,0,0,0,920,3,0,3,5,3,0,0,0,14,0,934
CX-NAT CMSN ON LIBRARIES AND INFO SCIENCE,0,0,0,0,0,2,0,1,0,3,0,0,0,0,2,8,0,0,10,0,13
DA-DELTA REGIONAL AUTHORITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
DD**-UNSPECIFIED,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
DD01-OFFICE OF THE SECRETARY OF DEFENSE,824,79,53,55,0,5,181,60,0,1257,25,1,0,60,17,168,5,2,278,1,1536
DD02-JOINT STAFF,160,29,0,0,0,1,3,0,0,193,4,0,0,3,0,1,0,0,8,0,201
DD04-DEFENSE INFORMATION SYSTEMS AGENCY,5217,539,21,67,0,23,31,0,0,5898,23,0,80,0,0,8,0,0,111,0,6009
