Department,Sub-Department,Sub-Sub-Department,Location,Position,Name,Apt_Type,Pay_Plan,Lvl_grade_pay,Tenure,Expiration,Additional_Note,Additional_Note_2,Additional_Note3,,,,
LIBRARY OF CONGRESS,AMERICAN FOLKLIFE CENTER,None,Do......................,Trustee Member........,Susan Hildreth.......................,PA,WC,..........,5 Years,................,,,,,,,
LIBRARY OF CONGRESS,AMERICAN FOLKLIFE CENTER,None,Do......................,......do..............,Robert G. Stanton....................,PA,WC,..........,5 Years,................,,,,,,,
LIBRARY OF CONGRESS,AMERICAN FOLKLIFE CENTER,None,Do......................,"Ex Officio Member,",Rocco Landesman......................,XS,WC,..........,5 Years,................,"Chairman, National",Endowment for the,Arts.,,,,
LIBRARY OF CONGRESS,AMERICAN FOLKLIFE CENTER,None,Do......................,"Ex Officio Member,",James A. Leach.......................,XS,WC,..........,5 Years,................,"Chairman, National",Endowment for the,Humanities.,,,,
LIBRARY OF CONGRESS,AMERICAN FOLKLIFE CENTER,None,Do......................,Trustee Member........,Vacant...............................,PA,WC,..........,..........,................,,,,,,,
LIBRARY OF CONGRESS,AMERICAN FOLKLIFE CENTER,None,Do......................,......do..............,......do.............................,PA,WC,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,"Washington, DC..............",Assistant to the,Jacob J. Lew.........................,PA,AD,..........,..........,................,President and Chief,of Staff.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,John O. Brennan......................,PA,AD,..........,..........,................,President for,Homeland Security and,Counterterrorism.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,James F. Carney......................,PA,AD,..........,..........,................,President and Press,Secretary.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Mark B. Childress....................,PA,AD,..........,..........,................,President and Deputy,Chief of Staff for,Planning.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Nancy-Ann M. DeParle.................,PA,AD,..........,..........,................,President and Deputy,Chief of Staff for,Policy.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Thomas E. Donilon....................,PA,AD,..........,..........,................,President and,National Security,Advisor.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Jonathan E. Favreau..................,PA,AD,..........,..........,................,President and,Director of,Speechwriting.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Michael B. Froman....................,PA,AD,..........,..........,................,President and Deputy,National Security,Advisor for International Economics.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Senior Advisor and,Valerie B. Jarrett...................,PA,AD,..........,..........,................,Assistant to the,President for,Intergovernmental Affairs and Public Engagement.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Christopher P. Lu....................,PA,AD,..........,..........,................,President and Cabinet,Secretary.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Alyssa M. Mastromonaco...............,PA,AD,..........,..........,................,President and Deputy,Chief of Staff for,Operations.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Denis R. McDonough...................,PA,AD,..........,..........,................,President and Deputy,National Security,Advisor.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Cecilia Munoz........................,PA,AD,..........,..........,................,President and,Director of the,Domestic Policy Council.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Robert L. Nabors II..................,PA,AD,..........,..........,................,President and,"Director, Office of",Legislative Affairs.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Howard D. Pfeiffer...................,PA,AD,..........,..........,................,President and,Director of,Communications.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,David A. Plouffe.....................,PA,AD,..........,..........,................,President and Senior,Advisor.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Counselor to the,Peter M. Rouse.......................,PA,AD,..........,..........,................,President.,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Kathryn H. Ruemmler..................,PA,AD,..........,..........,................,President and Counsel,to the President.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Eugene B. Sperling...................,PA,AD,..........,..........,................,President for,Economic Policy and,Director of the National Economic Council.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Christina M. Tchen...................,PA,AD,..........,..........,................,President and Chief,of Staff to the First,Lady.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Nancy D. Hogan.......................,PA,AD,..........,..........,................,President and,Director of,Presidential Personnel.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant to the,Bradley J. Kiley.....................,PA,AD,..........,..........,................,President for,Management and,Administration.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Caroline K. Cheng....................,PA,AD,..........,..........,................,the President and,Principal Deputy,Counsel to the President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Steven P. Croley.....................,PA,AD,..........,..........,................,the President and,Deputy Counsel to the,President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Avril D. Haines......................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Leslie B. Kiernan....................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Douglas J. Kramer....................,PA,AD,..........,..........,................,the President and,Staff Secretary.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Jeanne M. Lambrew....................,PA,AD,..........,..........,................,the President for,Health Policy.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Jules E. Pagano......................,PA,AD,..........,..........,................,the President for,Legislative Affairs,and Senate Liaison.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Jennifer M. Palmieri.................,PA,AD,..........,..........,................,the President and,Deputy Director of,Communications.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Jonathan D. Samuels..................,PA,AD,..........,..........,................,the President for,Legislative Affairs,and House Liaison.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,David P. Agnew.......................,PA,AD,..........,..........,................,the President and,Director of,Intergovernmental Affairs.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Jonathan K. Carson...................,PA,AD,..........,..........,................,the President and,Director of the,Office of Public Engagement,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,"Washington, DC..............",Deputy Assistant to,Katy A. Kale.........................,PA,AD,..........,..........,................,the President for,Management and,Administration.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Benjamin J. Rhodes...................,PA,AD,..........,..........,................,"the President, Deputy",National Security,Advisor for Strategic Communications and Speechwriting.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Michael A. Strautmanis...............,PA,AD,..........,..........,................,the President and,Counselor to the,Senior Advisor for Strategic Engagement.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Director of Records,Philip C. Droege.....................,XS,AD,..........,..........,................,Management.,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Executive Clerk.......,David E. Kalbaugh....................,XS,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Danielle M. Crutchfield..............,PA,AD,..........,..........,................,the President and,Director of,Scheduling and Advance,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Jocelyn C. Frye......................,PA,AD,..........,..........,................,the President and,Director of Policy,and Projects for the First Lady.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Heather R. Zichal....................,PA,AD,..........,..........,................,the President for,Energy and Climate,Change.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Christopher D. Kang..................,PA,AD,..........,..........,................,the President and,Senior Counsel to the,President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Brian J. Egan........................,PA,AD,..........,..........,................,the President and,Associate Counsel to,the President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Layth S. Elhassani...................,PA,AD,..........,..........,................,the President for,Legislative Affairs.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Zulima L. Espinel....................,PA,AD,..........,..........,................,the President and,Associate Counsel to,the President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Michael J. Gottlieb..................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Kathleen R. Hartnett.................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Luis A. Jimenez......................,PA,AD,..........,..........,................,the President for,Legislative Affairs.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Alejandro Perez......................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Miguel E. Rodriguez..................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Edward N. Siskel.....................,PA,AD,..........,..........,................,the President and,Special Counsel to,the President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Anne K. Small........................,PA,AD,..........,..........,................,the President and,Associate Counsel to,the President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Chun-Wei J. Su.......................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Anne E. Wall.........................,PA,AD,..........,..........,................,the President for,Legislative Affairs.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Andrew M. Wright.....................,PA,AD,..........,..........,................,the President and,Associate Counsel to,the President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Emmett S. Beliveau...................,PA,AD,..........,..........,................,the President and,"Director, Office of",the Chief of Staff.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Rachana Bhowmik......................,PA,AD,..........,..........,................,the President and,Deputy Cabinet,Secretary.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Jonathan D. McBride..................,PA,AD,..........,..........,................,the President and,Deputy Director of,Presidential Personnel.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,"Marvin D. Nicholson, Jr..............",PA,AD,..........,..........,................,"the President, Trip",Director and Personal,Aide to the President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Peter A. Selfridge...................,PA,AD,..........,..........,................,the President and,Director of Advance,and Operations.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Assistant to,Jessica N. Wright....................,PA,AD,..........,..........,................,the President and,Director of,Scheduling.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Joshua R. Earnest....................,PA,AD,..........,..........,................,the President and,Principal Deputy,Press Secretary.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Margaret T. McLaughlin...............,PA,AD,..........,..........,................,the President and,Chief of Staff for,Presidential Personnel.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Melissa E. Winter....................,PA,AD,..........,..........,................,the President and,Deputy Chief of Staff,and Director of Operations for the First Lady. ,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Jeremy M. Bernard....................,PA,AD,..........,..........,................,the President and,White House Social,Secretary.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Nicole M. Isaac......................,PA,AD,..........,..........,................,the President for,Legislative Affairs.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Jessica A. Maher.....................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Robert M. Phillips III...............,PA,AD,..........,..........,................,the President and,Director of Digital,Strategy.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Brian H. Fletcher....................,PA,AD,..........,..........,................,the President and,Associate Counsel to,the President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Jason G. Green.......................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Kristina K. Schake...................,PA,AD,..........,..........,................,the President and,Director of,Communications for the First Lady.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Deputy Director of,Paul S. Raizk........................,XS,AD,..........,..........,................,Records Management.,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Teresa R. Chaurand...................,PA,AD,..........,..........,................,the President for,Presidential,Personnel.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Collin T. McMahon....................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,Amanda D. Moose......................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,......do..............,David L. Noble.......................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,"Washington, DC..............",Special Assistant to,Kamala M. Vasagam....................,PA,AD,..........,..........,................,the President for,Presidential,Personnel.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Supervisor of Search,Wandra E. Stone......................,XS,AD,..........,..........,................,and File.,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Jamie E. Smith.......................,PA,AD,..........,..........,................,the President and,Deputy Press,Secretary.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Special Assistant to,Elizabeth H. Olson...................,PA,AD,..........,..........,................,the President and,Director of,Presidential Correspondence.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,None,Do......................,Assistant Executive,William W. McCathran.................,XS,AD,..........,..........,................,Clerk.,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Assistant to the,Bruce N. Reed........................,PA,AD,..........,..........,................,President and Chief,of Staff.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Deputy Assistant to,Alan L. Hoffman......................,PA,AD,..........,..........,................,the President and,Deputy Chief of Staff.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Deputy Assistant to,Antony J. Blinken....................,PA,AD,..........,..........,................,the President and,National Security,Advisor.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Counselor to the Vice,Steven J. Ricchetti..................,PA,AD,..........,..........,................,President.,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Deputy Assistant to,Sarah A. Bianchi.....................,PA,AD,..........,..........,................,the President for,Economic Policy.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Deputy Assistant to,Jose Cerda...........................,PA,AD,..........,..........,................,the President and,Senior Advisor to the,Vice President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Deputy Assistant to,Cynthia C. Hogan.....................,PA,AD,..........,..........,................,the President and,Counsel to the Vice,President.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Special Assistant to,Shailagh J. Murray...................,PA,AD,..........,..........,................,the President and,Assistant to the Vice,President for Communications,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Deputy Assistant to,Catherine M. Russell.................,PA,AD,..........,..........,................,the President and,Chief of Staff to Dr.,Jill Biden.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Director of Operations,Elisabeth A. Hire....................,XS,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Deputy Assistant to,Julianne C. Smith....................,XS,AD,..........,..........,................,the Vice President,for National Security,Affairs.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Special Assistant to,Evan M. Ryan.........................,PA,AD,..........,..........,................,the President and,Assistant to the Vice,"President for Intergovernmental Affairs, Public Engagement, and Correspondence",,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE VICE PRESIDENT,None,Do......................,Senior Advisor for,Jonathan J. Finer....................,XS,AD,..........,..........,................,Middle East Affairs.,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Deputy Assistant to,Mark Zuckerman.......................,PA,AD,..........,..........,................,the President and,Deputy Director of,the Domestic Policy Council,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Deputy Assistant to,Brian C. Deese.......................,PA,AD,..........,..........,................,the President and,"Deputy Director,",National Economic Council,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Assistant to the,Jason L. Furman......................,PA,AD,..........,..........,................,President and,Principal Deputy,Director of the National Economic Council,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Deputy Assistant to,Danielle C. Gray.....................,PA,AD,..........,..........,................,the President and,"Deputy Director,",National Economic Council,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Special Assistant to,Aviva R. Aron-Dine...................,PA,AD,..........,..........,................,the President for,Economic Policy.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Special Assistant to,Caroline M. Atkinson.................,PA,AD,..........,..........,................,the President for,International,Economic Affairs.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Special Assistant to,Elizabeth J. Fowler..................,PA,AD,..........,..........,................,the President for,Healthcare and,Economic Policy.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Special Assistant to,Michael J. Pyle......................,PA,AD,..........,..........,................,the President for,Economic Policy.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,......do..............,Matthew A. Vogel.....................,PA,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Special Assistant to,Jonathan A. Greenblatt...............,PA,AD,..........,..........,................,the President and,"Director, Office of",Social Innovation and Civic Participation,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Special Assistant to,Jason S. Miller......................,PA,AD,..........,..........,................,the President for,Manufacturing Policy.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Special Assistant to,"Carlos A. Monje, Jr..................",PA,AD,..........,..........,................,the President and,Chief of Staff of the,Domestic Policy,Council.,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Chief of Staff of the,Gregory S. Nelson....................,XS,AD,..........,..........,................,National Economic,Council.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Special Assistant to,Roberto J. Rodriguez.................,PA,AD,..........,..........,................,the President for,Education Policy.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Deputy Assistant to,Racquel S. Russell...................,PA,AD,..........,..........,................,the President for,Urban Affairs and,Economic Mobility.,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,None,Do......................,Director..............,Rory A. MacFarquhar..................,XS,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF ADMINISTRATION,None,,,,,,,,,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF ADMINISTRATION,None,Do......................,Special Assistant to,Elizabeth A. Jones...................,PA,AD,..........,..........,................,the President and,Director.,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF ADMINISTRATION,None,Do......................,General Counsel.......,Angela Ohm...........................,XS,AD,..........,..........,................,,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF ADMINISTRATION,None,Do......................,Chief Information,Brook Mickey Colangelo...............,XS,AD,..........,..........,................,Officer.,,,,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF ADMINISTRATION,None,Do......................,Chief of Operation,Erica De Vos.........................,XS,AD,..........,..........,................,Services.,,,,,,
