Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AF1S-SPACE COMMAND,5295,979,61,59,0,986,1,0,0,7381,196,66,58,0,0,19,0,0,339,0,7720
AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,85,15,3,0,0,0,0,0,0,103,13,0,1,0,0,0,0,0,14,0,117
AF1Y-AIR FORCE CIVILIAN CAREER TRAINING,490,159,42,1100,0,51,0,0,0,1842,6,0,0,0,0,3,0,0,9,0,1851
AF21-AIR FORCE NUCLEAR WEAPONS AGENCY,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
AF24-HQ USAF DIRECT SUPPORT ELEMENT,300,53,1,1,0,18,3,0,0,376,1,0,0,0,0,104,0,0,105,0,481
AF25-AF-WIDE SUPPORT ELEMENT,185,34,23,2,0,132,1,0,0,377,6,14,2,0,0,11,1,0,34,0,411
AF2A-AIR FORCE COST CENTER,64,26,0,13,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,37,5,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42
AF2E-AIR FORCE LEGAL SERVICES CENTER,105,24,88,0,0,8,0,0,0,225,2,4,0,0,0,1,0,0,7,0,232
AF2F-AIR FORCE MEDICAL SERVICES CENTER,57,5,1,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,63
AF2G-AIR FORCE SERVICE INFORMATION AND NEWS CENTER,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,374,132,7,2,0,8,1,0,0,524,29,0,16,0,0,0,0,0,45,0,569
AF2K-U.S. AIR FORCE HISTORICAL RESEARCH CENTER,42,12,0,1,0,2,0,0,0,57,0,0,0,0,0,0,0,0,0,0,57
AF2L-AIR FORCE TECHNICAL APPLICATIONS CENTER,0,0,0,0,0,291,0,0,0,291,0,0,0,0,0,12,0,0,12,0,303
AF2M-AIR FORCE REVIEW BOARDS OFFICE,33,7,3,0,0,2,1,0,0,46,0,0,2,0,0,0,0,0,2,0,48
AF2N-AIR FORCE CENTER FOR STUDIES AND ANALYSES,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2Q-AIR WEATHER SERVICE,141,32,0,7,0,2,0,0,0,182,3,0,2,0,0,0,0,0,5,0,187
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,10,6,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,18
AF2S-HQ NORAD,21,20,0,0,0,0,0,0,0,41,5,0,0,0,0,0,0,0,5,0,46
AF2T-AIR FORCE SUPPLY CENTER,41,20,1,0,0,0,1,0,0,63,0,0,10,0,0,0,0,0,10,0,73
"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",144,10,6,0,0,1,0,0,0,161,1,0,0,0,0,0,0,0,1,0,162
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,89,17,0,0,0,0,0,0,0,106,1,0,3,0,0,0,0,0,4,0,110
AF34-AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5),546,96,0,4,0,11,0,0,0,657,17,0,11,0,0,0,0,0,28,0,685
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",101,54,2,0,0,8,2,0,0,167,26,5,0,0,0,3,0,0,34,0,201
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",509,191,5,2,0,65,5,0,0,777,42,0,0,0,0,10,0,0,52,0,829
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND",24,3,0,0,0,98,0,0,0,125,17,1,0,0,0,2,0,0,20,0,145
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",562,184,2,13,0,173,4,0,0,938,37,1,25,0,0,12,0,0,75,0,1013
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",349,75,11,5,0,3,4,0,0,447,11,1,3,0,0,1,0,0,16,0,463
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",285,38,3,4,0,97,3,0,0,430,14,13,12,0,0,15,0,0,54,0,484
AF3W-AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE,412,32,6,2,0,3,1,0,0,456,11,5,0,0,0,0,0,0,16,0,472
"AF4D-AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND",318,106,3,1,0,32,4,0,0,464,38,0,0,0,0,3,0,0,41,0,505
AF4W-AIR FORCE DISTRICT OF WASHINGTON,1049,207,11,10,0,21,0,0,0,1298,18,30,15,0,0,0,0,0,63,0,1361
AF5J-AIR FORCE FINANCIAL SERVICES,12,33,0,0,0,3,0,0,0,48,2,0,0,0,0,0,0,0,2,0,50
AF5K-AIR FORCE PETROLEUM AGENCY,39,4,0,1,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,44
AFGS-AIR FORCE GLOBAL STRIKE COMMAND,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),212,101,0,0,1,19297,0,0,0,19611,2,68,0,0,0,2630,0,0,2700,0,22311
"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",1,0,0,0,0,185,0,0,0,186,0,1,0,0,0,73,0,0,74,0,260
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,19,3,0,0,0,0,2,19,0,43,0,0,4,32,9,2,0,2,49,0,92
AG02-AGRICULTURAL MARKETING SERVICE,1841,282,4,41,0,12,10,1,0,2191,2,2019,4,1,0,0,0,0,2026,0,4217
AG03-AGRICULTURAL RESEARCH SERVICE,6041,799,7,76,0,18,32,0,0,6973,418,387,1171,0,0,12,0,0,1988,0,8961
AG07-RURAL HOUSING SERVICE,4830,481,8,45,0,16,8,1,4,5393,46,47,76,43,0,0,0,0,212,0,5605
AG08-RISK MANAGEMENT AGENCY,409,51,0,21,0,6,2,0,0,489,0,0,9,3,0,6,0,0,18,0,507
AG10-FOREIGN AGRICULTURAL SERVICE,392,60,0,3,1,135,4,2,0,597,2,5,203,3,0,41,0,0,254,0,851
AG11-FOREST SERVICE,24310,4428,105,655,0,359,54,0,0,29911,9167,48,2973,0,0,130,0,0,12318,0,42229
AG13-OFFICE OF COMMUNICATIONS,66,9,0,0,0,0,0,1,0,76,0,1,4,11,0,0,1,0,17,0,93
AG14-OFFICE OF THE GENERAL COUNSEL,80,4,210,0,0,1,18,1,0,314,0,1,2,0,0,0,0,0,3,0,317
AG15-RURAL UTILITIES SERVICE,271,28,0,2,0,6,3,1,1,312,10,0,26,4,1,1,0,0,42,0,354
AG16-NATURAL RESOURCES CONSERVATION SERVICE,9809,832,10,255,0,35,19,2,4,10966,201,288,121,6,0,22,0,0,638,0,11604
AG18-ECONOMIC RESEARCH SERVICE,300,50,1,3,0,3,7,0,0,364,0,0,22,0,0,0,0,0,22,0,386
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,934,63,0,54,0,3,10,0,0,1064,1,0,11,0,0,0,0,0,12,0,1076
"AG22-COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE",272,41,1,2,0,1,9,0,0,326,0,41,10,0,0,3,0,0,54,0,380
AG23-OFFICE OF THE INSPECTOR GENERAL,502,9,8,37,0,4,8,0,0,568,1,0,1,0,1,1,0,0,4,0,572
AG30-FOOD AND NUTRITION SERVICE,1104,133,6,27,0,2,14,3,0,1289,1,2,14,3,0,13,0,0,33,0,1322
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,75,4,0,2,0,0,2,2,0,85,0,0,4,1,0,0,0,0,5,0,90
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,4915,1027,18,48,0,71,36,0,0,6115,622,1790,193,2,0,15,0,0,2622,0,8737
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",513,134,1,8,0,2,3,1,0,662,10,125,6,0,0,0,0,0,141,0,803
AG37-FOOD SAFETY AND INSPECTION SERVICE,7764,1432,16,71,0,6,23,0,0,9312,58,574,30,0,0,1,1,0,664,0,9976
AG38-OFFICE OF THE CHIEF ECONOMIST,48,1,0,0,0,0,5,0,0,54,0,1,1,0,0,0,0,0,2,0,56
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,39,2,0,0,0,0,5,0,0,46,0,0,2,0,0,0,0,0,2,0,48
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1033,118,19,1,0,15,7,0,0,1193,9,0,3,1,1,3,0,0,17,0,1210
AGCR-CIVIL RIGHTS,112,15,0,3,0,0,2,0,0,132,0,0,40,0,0,0,0,0,40,0,172
AGDA-DEPARTMENTAL ADMINISTRATION,414,39,3,1,0,16,5,1,0,479,6,8,23,0,0,9,0,0,46,0,525
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,14,1,2,2,0,0,0,0,0,19,0,0,2,0,0,0,0,0,2,0,21
AGFA-FARM SERVICE AGENCY,4293,515,3,119,0,18,7,4,1,4960,7,0,26,45,0,0,1,0,79,1,5040
AGHL-HOMELAND SECURITY STAFF,8,10,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,19
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,847,77,1,4,0,6,7,0,0,942,1,0,3,0,0,0,0,0,4,0,946
AGNA-NATIONAL APPEALS DIVISION,79,9,0,0,0,0,0,0,0,88,1,0,0,0,0,0,0,0,1,0,89
AH01-NATIONAL ENDOWMENT FOR THE ARTS,113,22,0,0,0,1,4,3,0,143,0,15,0,4,14,4,0,0,37,0,180
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,72,13,1,48,0,1,11,1,0,147,1,1,2,2,23,2,0,0,31,0,178
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,36,14,1,0,0,7,3,0,0,61,1,0,0,0,22,5,0,0,28,0,89
AM00-AGENCY FOR INTERNATIONAL DEVELOPMENT,866,153,72,2,0,855,30,0,0,1978,45,14,9,0,1,766,0,0,835,0,2813
AN00-AFRICAN DEVELOPMENT FOUNDATION,14,2,0,0,0,1,0,0,0,17,3,4,1,0,0,3,0,0,11,0,28
AP00-APPALACHIAN REGIONAL COMMISSION,6,1,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,2,0,9
AR**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AR3A-U.S. ARMY CENTRAL,153,61,3,0,0,9,0,0,0,226,26,15,0,0,0,3,0,0,44,0,270
AR5A-U.S. ARMY NORTH,183,59,3,0,0,14,0,0,0,259,43,0,0,0,0,1,0,0,44,0,303
ARAC-U.S. ARMY CONTRACTING AGENCY,12,5,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,3379,409,7,142,0,85,12,0,0,4034,69,70,69,0,0,3,0,0,211,1,4246
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,0,0,0,0,0,2348,0,0,0,2348,0,0,0,0,0,27,0,0,27,0,2375
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,3338,506,8,280,0,92,6,0,0,4230,81,0,41,0,0,14,0,0,136,0,4366
ARBA-U.S. ARMY INSTALLATION MANAGEMENT COMMAND,26008,6205,307,153,0,2132,7,0,0,34812,1871,584,129,0,0,709,0,0,3293,0,38105
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,436,78,3,19,0,48,0,0,0,584,66,21,0,0,0,1,0,0,88,0,672
ARCE-U.S. ARMY CORPS OF ENGINEERS,25726,3709,420,2079,0,467,43,0,0,32444,2263,510,938,0,1,37,0,0,3749,0,36193
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,953,368,10,3,0,222,27,0,0,1583,18,1,13,0,0,24,0,0,56,0,1639
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,773,165,30,0,0,148,7,0,0,1123,66,188,0,0,0,6,0,0,260,0,1383
ARE2-21ST THEATER ARMY AREA COMMAND,178,57,0,1,0,11,0,0,0,247,13,57,0,0,0,0,0,0,70,0,317
ARE5-U.S. ARMY V CORPS,30,1,0,0,0,2,0,0,0,33,1,24,0,0,0,0,0,0,25,0,58
AREN-SEVENTH ARMY TRAINING COMMAND,233,37,0,0,0,17,0,0,0,287,19,20,0,0,0,0,0,0,39,0,326
ARFC-U.S. ARMY FORCES COMMAND,1594,598,31,3,0,257,4,0,0,2487,399,206,0,0,0,269,0,0,874,0,3361
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,1617,342,7,4,0,162,2,0,0,2134,32,27,17,0,0,3,0,0,79,0,2213
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,312,65,1,0,0,7,0,0,0,385,9,0,1,0,0,0,0,0,10,0,395
ARHR-U.S. ARMY RESERVE COMMAND,5196,1993,7,35,0,1119,1,0,0,8351,208,0,0,0,0,2,0,0,210,0,8561
ARJ1-U.S. ARMY ELEMENT SHAPE,81,31,0,0,0,26,0,0,0,138,0,23,0,0,0,1,0,0,24,0,162
ARJA-JOINT ACTIVITIES,860,403,13,1,0,457,9,0,0,1743,75,64,3,0,0,55,0,0,197,0,1940
ARMA-U.S. MILITARY ACADEMY,408,39,34,2,0,9,0,0,0,492,54,202,4,0,0,10,0,0,270,0,762
ARMC-U.S. ARMY MEDICAL COMMAND,21900,12565,95,44,0,1190,4,0,0,35798,1987,644,80,0,0,163,0,0,2874,0,38672
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,291,88,5,1,0,13,1,0,0,399,10,0,0,0,0,2,0,0,12,0,411
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1310,244,0,0,0,20260,0,0,0,21814,46,1735,14,0,0,6258,0,0,8053,0,29867
"ARP1-U.S. ARMY, PACIFIC",513,99,4,3,0,85,0,0,0,704,63,10,1,0,0,7,0,0,81,0,785
ARP8-EIGHTH U.S. ARMY,374,154,1,1,0,20,0,0,0,550,8,76,0,0,0,2,0,0,86,0,636
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,754,105,28,0,0,11,42,5,0,945,11,0,10,2,4,124,1,0,152,0,1097
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,834,366,18,1960,0,46,6,0,0,3230,12,4,5,0,0,2,0,0,23,0,3253
ARSC-U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND,678,79,8,21,0,60,8,0,0,854,20,1,8,0,0,7,0,0,36,0,890
ARSE-FIELD OPERATING AGENCIES OF THE ARMY STAFF RESOURCED THROUGH OA-22,5267,766,73,244,0,134,5,0,0,6489,122,27,115,0,0,9,0,0,273,0,6762
ARSF-FIELD OPERATING AGENCIES OF THE ARMY STAFF,29,4,2,0,0,0,0,0,0,35,1,0,2,0,0,0,0,0,3,0,38
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",781,91,25,2,0,31,0,0,0,930,8,98,21,0,1,131,0,0,259,0,1189
ARSO-U.S. ARMY SOUTH,165,53,3,0,0,38,0,0,0,259,19,0,0,0,0,0,0,0,19,0,278
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),901,301,3,5,0,179,0,0,0,1389,159,18,36,0,0,40,0,0,253,1,1643
ARTA-U.S. ARMY ACCESSIONS COMMAND,1844,351,12,16,0,168,0,0,0,2391,414,0,9,0,0,3,0,0,426,0,2817
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,7037,1636,812,70,0,814,12,0,0,10381,1006,1014,162,0,0,505,0,0,2687,0,13068
ARTM-U.S. MILITARY ENTRANCE PROCESSING COMMAND,1289,644,1,3,0,167,0,0,0,2104,41,0,4,0,0,0,0,0,45,0,2149
ARTW-U.S. ARMY WAR COLLEGE,203,78,0,3,0,12,0,0,0,296,3,64,0,0,0,12,0,0,79,0,375
"ARX2-HEADQUARTERS, AMC",520,71,19,1,0,33,12,0,0,656,11,2,4,0,0,3,0,0,20,0,676
"ARX3-HEADQUARTERS, STAFF SUPPORT ACTIVITIES, AMC",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"ARX4-TRAINING ACTIVITIES, AMC",150,52,0,0,0,9,0,0,0,211,0,0,0,0,0,0,0,0,0,0,211
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,6658,1486,52,306,0,253,5,0,0,8760,56,66,29,0,0,2,0,0,153,0,8913
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),8598,2424,63,521,0,534,3,0,0,12143,1025,1871,110,0,0,22,0,0,3028,1,15172
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,5583,1526,59,578,0,278,3,0,0,8027,244,10,89,0,0,0,0,0,343,0,8370
ARXB-U.S. ARMY CHEMICAL MATERIALS AGENCY,1090,274,4,0,0,45,1,0,0,1414,21,0,1,0,0,0,0,0,22,0,1436
ARXC-U.S. ARMY SUSTAINMENT COMMAND,740,87,29,0,0,22,3,0,0,881,93,146,11,0,0,23,1,0,274,0,1155
ARXD-U. S. ARMY CONTRACTING COMMAND,3530,477,40,411,0,82,8,0,0,4548,50,9,31,0,0,0,0,0,90,0,4638
ARXK-MATERIEL ACQUISITION ACTIVITIES,99,18,0,0,0,3,1,0,0,121,0,0,0,0,0,0,0,0,0,0,121
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,366,45,1,7,0,7,1,0,0,427,4,2,13,0,0,0,0,0,19,0,446
ARXQ-U.S. ARMY JOINT MUNITIONS COMMAND,4102,918,23,52,0,234,1,0,0,5330,340,805,20,0,0,0,0,0,1165,0,6495
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",11062,1541,37,1073,0,223,34,0,0,13970,260,10,337,0,0,1,0,0,608,0,14578
ARXT-U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,988,248,8,7,0,27,1,0,0,1279,13,3,13,0,0,2,0,0,31,0,1310
ARXX-MATERIEL READINESS ACTIVITIES,321,10,0,1,0,0,0,0,0,332,0,2,0,0,0,0,0,0,2,0,334
AU00-FEDERAL LABOR RELATIONS AUTHORITY,46,4,58,0,0,0,8,0,0,116,1,0,0,0,4,0,0,0,5,0,121
AW00-ARCTIC RESEARCH COMMISSION,2,0,0,0,0,0,1,0,0,3,0,0,0,0,6,1,0,0,7,0,10
BD00-MERIT SYSTEMS PROTECTION BOARD,80,13,76,0,0,25,12,3,0,209,0,0,0,2,2,0,0,0,4,0,213
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,19,2,8,0,0,58,10,0,0,97,0,0,0,0,4,0,0,0,4,0,101
BG00-PENSION BENEFIT GUARANTY CORPORATION,633,114,95,23,0,2,0,0,0,867,2,7,34,0,0,6,0,0,49,0,916
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
BO00-OFFICE OF MANAGEMENT AND BUDGET,280,100,21,0,0,0,57,15,0,473,0,9,13,21,4,2,2,0,51,0,524
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,23,0,4,0,0,0,1,0,0,28,0,0,0,0,12,1,0,0,13,0,41
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,0,0,0,0,5,0,0,0,9,0,0,0,0,11,3,0,0,14,0,23
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7,0,0,8,0,9
CC00-COMMISSION ON CIVIL RIGHTS,24,3,5,0,0,0,1,1,0,34,0,0,2,8,4,4,0,0,18,0,52
CE00-COUNCIL OF ECONOMIC ADVISERS,4,0,0,0,0,1,1,0,0,6,0,0,0,2,3,14,0,0,19,0,25
CF00-COMMISSION OF FINE ARTS,5,4,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,10
CM51-OFFICE OF THE SECRETARY,520,63,141,11,0,5,30,13,0,783,11,11,10,38,4,0,2,0,76,0,859
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,111,23,14,1,0,2,9,1,0,161,15,3,5,1,1,1,0,0,26,0,187
CM53-BUREAU OF ECONOMIC ANALYSIS,376,107,0,16,0,1,11,0,0,511,0,0,21,0,0,1,0,0,22,0,533
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,10396,1355,515,116,0,57,114,4,0,12557,166,37,122,4,2,32,0,0,363,0,12920
CM55-INTERNATIONAL TRADE ADMINISTRATION,1022,181,10,3,0,174,24,3,0,1417,3,3,7,16,0,81,1,0,111,0,1528
CM56-PATENT AND TRADEMARK OFFICE,6372,945,606,1660,0,34,55,0,0,9672,1,1,0,2,1,16,0,0,21,1,9694
CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2203,449,0,5,0,0,31,0,0,2688,122,165,149,0,0,2,0,0,438,0,3126
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,61,16,0,0,0,0,1,1,0,79,4,0,1,1,0,3,0,0,9,0,88
CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,200,20,27,2,0,1,7,1,0,258,2,15,9,6,1,4,1,0,38,0,296
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,113,7,0,0,0,0,2,0,0,122,0,0,0,0,0,0,0,0,0,0,122
CM63-BUREAU OF THE CENSUS,4832,1265,6102,10,0,33,36,1,0,12279,1984,5113,150,3,1,5,12,0,7268,0,19547
CM64-OFFICE OF THE INSPECTOR GENERAL,89,15,5,18,0,0,7,0,0,134,3,6,0,0,1,2,0,0,12,0,146
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,36,0,0,0,0,0,3,2,0,41,1,0,1,0,1,0,0,0,3,0,44
CM67-BUREAU OF INDUSTRY AND SECURITY,296,13,0,1,0,1,10,0,0,321,1,0,2,0,0,0,0,0,3,0,324
