Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
"AF2U-AIR FORCE MORALE, WELFARE & REC CENTER",154,10,6,0,0,0,0,0,0,170,11,0,0,0,0,0,0,0,11,0,181
AF2V-AIR FORCE DISPOSAL AGENCY,202,1,10,1,0,2,1,0,0,217,3,0,2,0,0,0,0,0,5,0,222
AF2W-AIR FORCE DISTRICT OF WASHINGTON,765,106,13,5,0,60,0,0,0,949,115,28,42,0,0,68,1,0,254,0,1203
AF2X-AIR FORCE REAL ESTATE AGENCY,10,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,215,11,4,4,0,1,0,0,0,235,2,0,1,0,0,0,0,0,3,0,238
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,43,9,0,0,0,1,0,0,0,53,1,2,2,0,0,0,0,0,5,0,58
AF34-AIR NAT GUARD UNITS (MOBIL) (TITLE 5),678,88,0,2,0,36,0,0,0,804,36,0,1,0,0,1,0,0,38,0,842
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",48,9,0,0,0,68,0,0,0,125,7,9,0,0,0,5,0,0,21,0,146
"AF3D-AIR FORCE ELEMENTS, U.S. SPEC OPER CMD",236,17,1,3,0,59,1,0,0,317,20,0,0,0,0,0,0,0,20,0,337
"AF3G-AIR FORCE ELEMENTS, EUROPE",4,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,6
AF3L-CENTER FOR AIR FORCE HISTORY,18,0,0,0,0,0,0,0,0,18,6,0,1,0,0,0,0,0,7,0,25
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC CMD",15,3,0,0,0,73,0,0,0,91,0,0,0,0,0,4,0,0,4,0,95
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC CMD",215,35,0,1,0,112,2,0,0,365,5,0,6,0,0,0,0,0,11,0,376
"AF3S-HDQTRS, U.S. SPACE COMMAND AND NORAD",65,14,1,0,0,102,1,0,0,183,2,0,0,0,0,4,0,0,6,0,189
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTN CMD",251,15,4,0,0,53,3,0,0,326,3,0,9,0,0,0,0,0,12,0,338
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",267,19,5,1,0,286,2,0,0,580,11,4,1,0,0,0,0,0,16,0,596
AF3W-AIR FORCE CTR FOR ENVIRONMNTL EXCELLENCE,334,6,5,0,0,1,1,0,0,347,33,2,4,0,0,0,0,0,39,0,386
AF3Y-AIR FORCE FREQUENCY MANAGEMENT CENTER,17,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),247,1,0,0,0,20835,0,0,0,21083,0,0,0,0,0,1645,0,0,1645,0,22728
"AFZG-U.S. SPEC OPERATIONS CMD (ANG, TITLE 32)",1,0,0,0,0,219,0,0,0,220,0,0,0,0,0,39,0,0,39,0,259
AFZS-U.S. SPEC. OPERATIONS COMMAND (AIR FORCE,467,52,12,0,0,21,0,0,0,552,48,12,6,0,0,0,0,0,66,0,618
AG**-UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,14,0,0,0,0,0,0,5,0,19,1,1,0,28,8,4,1,0,43,0,62
AG02-AGRICULTURAL MARKETING SERVICE,2092,359,460,12,0,5,10,0,0,2938,10,2958,19,0,0,46,0,0,3033,0,5971
AG03-AGRICULTURAL RESEARCH SERVICE,5615,1235,8,51,0,19,38,0,0,6966,340,281,1090,0,0,11,0,0,1722,0,8688
AG07-RURAL HOUSING SERVICE,5640,479,19,20,0,35,5,0,2,6200,133,9,88,46,0,6,0,0,282,0,6482
AG08-RISK MANAGEMENT AGENCY,466,28,0,4,0,2,1,0,3,504,0,0,2,1,0,2,0,0,5,0,509
AG10-FOREIGN AGRICULTURAL SERVICE,411,49,1,17,9,152,5,0,1,645,5,0,154,0,0,9,0,0,168,0,813
AG11-FOREST SERVICE,25143,4251,81,478,0,300,52,0,1,30306,9736,183,2349,0,0,79,0,0,12347,0,42653
AG13-OFFICE OF COMMUNICATIONS,90,5,0,1,0,0,0,0,0,96,0,2,0,3,0,0,1,0,6,0,102
AG14-OFFICE OF THE GENERAL COUNSEL,99,5,195,0,0,2,17,0,0,318,0,4,2,0,0,1,0,0,7,0,325
AG15-RURAL UTILITIES SERVICE,288,43,0,0,0,0,2,0,13,346,0,0,4,0,0,0,0,0,4,0,350
AG16-NATURAL RESOURCES CONSERVATION SERVICE,10132,885,12,129,0,18,27,0,28,11231,262,541,142,0,0,12,0,0,957,0,12188
AG18-ECONOMIC RESEARCH SERVICE,390,25,1,1,0,1,7,0,0,425,39,0,16,0,0,0,0,0,55,0,480
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,952,84,2,5,0,1,10,0,0,1054,5,1,0,0,0,0,0,0,6,0,1060
"AG22-COOP STATE RESEARCH, EDUC, & EXTEN SERV",248,58,0,0,0,1,10,0,0,317,9,75,12,0,0,2,0,0,98,0,415
AG23-OFFICE  OF THE INSPECTOR GENERAL,573,31,1,4,0,19,6,0,0,634,1,6,2,0,1,0,0,0,10,0,644
AG30-FOOD AND NUTRITION SERVICE,1368,128,1,8,0,12,14,0,0,1531,10,2,27,0,0,0,0,0,39,0,1570
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,97,8,1,3,0,0,2,0,0,111,0,0,0,1,0,0,0,0,1,0,112
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERV,4553,1182,14,21,0,86,20,0,1,5877,382,1576,170,1,0,57,0,0,2186,0,8063
"AG36-GRAIN INSPEC, PACKERS & STOCKYARDS ADMIN",639,111,1,5,0,1,4,0,0,761,3,47,14,0,0,0,0,0,64,0,825
AG37-FOOD SAFETY AND INSPECTION SERVICE,7809,1503,34,3,0,9,22,0,0,9380,78,968,47,0,0,8,0,0,1101,0,10481
AG38-OFFICE OF THE CHIEF ECONOMIST,43,4,0,0,0,0,4,0,0,51,0,1,3,0,0,0,0,0,4,0,55
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,48,7,0,0,0,0,5,0,0,60,0,0,3,0,0,0,0,0,3,0,63
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1519,95,4,2,0,5,8,0,0,1633,14,16,28,0,0,2,1,0,61,0,1694
AGDA-DEPARTMENTAL ADMINISTRATION,521,49,23,6,0,7,9,0,0,615,12,17,14,0,0,3,1,0,47,0,662
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,19,1,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,2,0,22
AGFA-FARM SERVICE AGENCY,5018,688,6,8,0,9,7,0,0,5736,19,197,31,50,0,1,0,0,298,0,6034
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,257,23,0,3,0,8,5,0,0,296,4,0,1,0,0,0,0,1,6,0,302
AGNA-NATIONAL APPEALS DIVISION,120,2,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,122
AGSC-NAT SHEEP INDUSTRY IMPROVEMENT CENTER,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AH-NAT FOUNDATION ON ARTS AND HUMANITIES,201,43,4,56,0,5,10,4,0,323,5,20,6,4,38,18,0,0,91,0,414
AI-U.S. INSTITUTE OF PEACE,0,0,0,0,0,12,0,0,0,12,0,0,0,0,5,58,0,0,63,0,75
AM-AGENCY FOR INTERNATIONAL DEVELOPMENT,829,55,11,1,0,824,25,0,0,1745,10,28,0,3,2,357,0,0,400,0,2145
AN-AFRICAN DEVELOPMENT FOUNDATION,16,5,0,0,0,2,0,0,0,23,0,0,0,0,0,1,0,0,1,0,24
AP-APPALACHIAN REGIONAL COMMISSION,7,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,0,0,3,0,10
AR**-UNSPECIFIED,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,3
ARAE-ACQUISITION EXECUTIVE SUPPORT AGENCY,2000,53,4,22,0,15,12,0,0,2106,21,0,23,0,0,0,0,0,44,0,2150
ARAS-US ARMY INTELLIGENCE AND SECURITY CMD,2,1,1,0,0,1665,0,0,0,1669,0,0,0,0,0,24,0,0,24,0,1693
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,4100,297,13,37,0,125,7,0,0,4579,211,2,16,0,0,4,0,0,233,0,4812
ARAU-U.S. ARMY AUDIT AGENCY,478,129,1,8,0,2,4,0,0,622,0,2,0,0,0,0,0,0,2,0,624
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,328,58,1,0,0,24,0,0,0,411,8,5,5,0,0,0,0,0,18,0,429
ARCE-US ARMY CORPS OF ENG (EXC CIV PRG FIN),28499,2647,356,625,0,297,37,0,0,32461,592,127,1162,0,2,22,0,0,1905,1,34367
ARCS-IMMEDIATE OFC OF CHIEF OF STAFF OF ARMY,572,21,2,0,0,126,12,0,0,733,1,0,0,0,0,0,0,0,1,0,734
ARE1-IMM OFC CMD-IN-CH US ARMY EUR & SEV ARMY,2103,637,27,0,0,358,7,0,0,3132,155,948,0,0,0,6,0,0,1109,1,4242
ARE2-21ST THEATER ARMY AREA COMMAND,242,44,8,0,0,25,0,0,0,319,32,47,0,0,0,0,0,0,79,0,398
ARE3-U.S. ARMY SOUTHERN EUROPEAN TASK FORCE,129,45,5,0,0,24,0,0,0,203,8,44,0,0,0,0,0,0,52,0,255
ARE5-U.S. ARMY V CORPS,179,65,14,0,0,30,0,0,0,288,30,65,0,0,0,0,0,0,95,0,383
AREB-1ST PERSONNEL COMMAND,169,76,0,0,0,78,0,0,0,323,24,115,0,0,0,0,0,0,139,0,462
AREN-SEVENTH ARMY TRAINING COMMAND,329,99,1,0,0,62,0,0,0,491,21,142,12,0,0,0,0,0,175,0,666
ARFC-U.S. ARMY FORCES COMMAND,12595,1052,62,8,0,669,4,0,0,14390,868,65,50,0,0,17,0,0,1000,0,15390
ARGB-OFC OF CHIEF OF NAT GUARD BUREAU,327,37,3,0,0,10,1,0,0,378,8,0,1,0,0,0,0,0,9,0,387
ARHR-U.S. ARMY RESERVE COMMAND,7447,1370,10,0,0,717,0,0,0,9544,283,5,8,0,0,1,0,0,297,0,9841
ARJ1-U.S. ARMY ELEMENT SHAPE,25,10,2,0,0,5,0,0,0,42,3,23,0,0,0,0,0,0,26,0,68
ARJA-JOINT ACTIVITIES,563,126,5,1,0,393,1,0,0,1089,72,59,13,0,0,175,0,0,319,0,1408
ARMA-U.S. MILITARY ACADEMY,1463,269,13,0,0,29,0,0,0,1774,76,94,3,0,0,40,0,0,213,0,1987
ARMC-U.S. ARMY MEDICAL COMMAND,19428,4061,98,10,0,852,9,0,0,24458,764,588,62,0,0,122,0,0,1536,0,25994
ARMP-U.S. TOTAL ARMY PERSONNEL COMMAND,1671,94,2,1,0,127,3,0,0,1898,23,0,1,0,0,0,0,0,24,0,1922
ARMT-MILITARY TRAFFIC MANAGEMENT COMMAND,1358,105,12,3,0,53,2,0,0,1533,21,2,14,0,0,0,0,0,37,0,1570
ARMW-US ARMY MIL DISTRICT OF WASHINGTON,2299,143,25,1,0,63,2,0,0,2533,82,5,12,0,0,0,0,0,99,0,2632
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1629,4,3,0,0,21199,0,0,0,22835,5,0,0,0,0,2287,0,0,2292,0,25127
"ARP1-U.S. ARMY, PACIFIC",2706,221,29,1,0,104,0,0,0,3061,178,66,1,0,0,6,0,0,251,1,3313
ARP8-EIGHTH U.S. ARMY,871,146,8,1,0,112,0,0,0,1138,62,28,0,0,0,69,0,0,159,0,1297
ARPC-MILITARY ENTRANCE PROCESSING COMMAND,1022,189,1,0,0,51,0,0,0,1263,22,0,0,0,0,0,0,0,22,0,1285
ARRC-U.S. ARMY RECRUITING COMMAND,1009,122,6,3,0,52,0,0,0,1192,23,0,2,0,0,0,0,0,25,0,1217
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,524,15,9,0,0,3,38,9,0,598,4,1,2,5,1,19,2,0,34,0,632
ARSB-FLD OPERATING OFC OF OFC OF SEC OF ARMY,2140,829,20,64,0,136,0,0,0,3189,44,6,19,1,0,2,0,0,72,0,3261
ARSC-US ARMY SPACE AND STRATEGIC DEFENSE CMD,971,56,5,5,0,71,7,0,0,1115,51,4,8,0,0,1,0,0,64,0,1179
ARSE-FLD OP AG OF ARMY STAFF RESOURCED OA-22,920,56,38,0,0,27,3,0,0,1044,12,2,5,0,0,2,0,0,21,0,1065
ARSF-FLD OPERATING AGENCIES OF THE ARMY STAFF,989,73,17,1,0,33,2,0,0,1115,17,32,0,0,0,21,0,0,70,0,1185
"ARSJ-JT SERV & ACT SUP BY OFC, SEC OF ARMY",1021,41,35,4,0,53,1,0,0,1155,5,3,8,0,0,1,0,0,17,0,1172
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),796,90,8,1,0,152,0,0,0,1047,40,0,0,0,0,6,0,0,46,0,1093
"ARSS-STAFF SUP AGENCIES OF CHF OF STAFF, ARMY",63,1,0,0,0,0,0,0,0,64,1,0,0,0,0,0,0,0,1,0,65
ARSU-U.S. ARMY SOUTHERN COMMAND,426,136,6,2,0,102,0,0,0,672,13,0,0,0,0,1,0,0,14,0,686
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,13864,917,670,28,0,661,10,0,0,16150,971,311,42,0,0,51,0,0,1375,0,17525
"ARX2-HEADQUARTERS, AMC",724,10,19,1,0,9,12,0,0,775,6,0,5,0,0,5,0,0,16,0,791
"ARX3-HQ, STAFF SUPPORT ACTIVITIES, AMC",90,1,0,0,0,0,0,0,0,91,1,0,1,0,0,0,0,0,2,0,93
"ARX4-TRAINING ACTIVITIES, AMC",20,31,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,51
"ARX5-U.S. ARMY MATERIEL COMMAND, ALL OTHERS",272,13,0,8,0,3,2,0,0,298,0,0,4,0,0,0,0,0,4,0,302
ARX6-U.S. ARMY MISSILE COMMAND,9827,728,49,94,0,150,15,0,0,10863,39,2,23,0,0,5,0,0,69,0,10932
ARX7-U.S. ARMY TANK-AUTOMOTIVE & ARMAMENT CMD,10478,636,49,128,0,73,14,0,0,11378,239,11,41,0,0,1,0,0,292,0,11670
ARX8-US ARMY COMMUNICATIONS ELECTRONICS CMD,8245,814,42,80,0,129,12,0,0,9322,34,2,33,0,0,0,0,0,69,0,9391
"ARX9-U.S. ARMY SIMUL, TRAING AND INSTRUM CMD",397,10,2,1,0,35,1,0,0,446,5,0,11,0,0,0,0,0,16,0,462
ARXA-US ARMY CHEMICAL AND BIOLOGICAL DEF CMD,5050,336,20,1,0,62,5,0,0,5474,142,0,40,0,0,2,0,0,184,0,5658
ARXD-U.S. ARMY RESEARCH LABORATORY COMMAND,1810,92,13,8,0,31,11,0,0,1965,0,1,8,0,0,1,0,0,10,0,1975
ARXK-MATERIEL ACQUISITION ACTIVITIES,88,6,2,1,0,14,0,0,0,111,1,1,0,0,0,0,0,0,2,0,113
ARXL-MATERIEL ACQUISITION PROJECT MANAGERS,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,443,34,2,0,0,4,1,0,0,484,10,1,0,0,0,0,0,0,11,0,495
ARXQ-U.S. ARMY INDUSTRIAL OPERATIONS COMMAND,6011,354,44,4,0,45,2,0,0,6460,266,8,9,0,0,1,0,0,284,0,6744
ARXX-MATERIEL READINESS ACTIVITIES,428,22,0,1,0,2,0,0,0,453,2,0,6,0,0,0,0,0,8,0,461
AU-FEDERAL LABOR RELATIONS AUTHORITY,84,6,86,1,0,0,14,0,0,191,1,0,6,0,11,5,0,0,23,0,214
AW-ARCTIC RESEARCH COMMISSION,2,1,0,0,0,0,1,0,0,4,0,0,0,0,2,5,0,0,7,0,11
BD-MERIT SYSTEMS PROTECTION BOARD,84,13,62,0,0,51,10,4,0,224,0,2,0,2,3,3,0,0,10,0,234
BF-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,23,2,11,0,0,46,7,0,0,89,1,0,0,0,3,1,0,0,5,0,94
BG-PENSION BENEFIT GUARANTY CORPORATION,537,100,73,0,0,1,0,0,0,711,3,7,34,0,0,0,0,0,44,0,755
BK-JAMES MADISON MEMORIAL FELLOWSHIP FOUND,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
BO-OFFICE OF MANAGEMENT AND BUDGET,300,79,37,4,0,2,54,10,0,486,0,2,8,13,4,2,1,0,30,0,516
BT-ARCHITECTL & TRANS BARRIER COMPLIANCE BD,24,1,4,0,0,0,0,0,0,29,0,0,1,0,6,7,0,0,14,0,43
BW-NUCLEAR WASTE TECHNICAL REVIEW BOARD,3,1,0,0,0,8,0,0,0,12,0,0,0,0,3,12,0,0,15,0,27
BZ-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATN,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,12,0,0,13,0,14
CC-COMMISSION ON CIVIL RIGHTS,43,6,11,0,0,0,1,1,0,62,0,1,0,10,4,5,0,0,20,0,82
CE-COUNCIL OF ECONOMIC ADVISERS,6,0,0,0,0,18,1,0,0,25,0,0,0,4,2,3,0,0,9,0,34
CF-COMMISSION OF FINE ARTS,6,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,7
CG-NATIONAL EDUCATION GOALS PANEL,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
CM33-TECHNOLOGY ADMINISTRATION,30,6,1,0,0,0,3,0,0,40,0,0,1,2,1,0,2,0,6,0,46
CM51-OFFICE OF THE SECRETARY,560,61,124,0,0,11,24,9,0,789,22,22,24,36,5,2,3,0,114,0,903
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,211,3,13,1,0,0,10,1,0,239,9,6,3,7,1,0,0,0,26,0,265
CM53-BUREAU OF ECONOMIC ANALYSIS,342,64,0,3,0,1,12,0,0,422,4,0,4,0,0,0,0,0,8,0,430
CM54-NAT OCEANIC AND ATMOSPHERIC ADMIN,9800,1201,248,71,0,93,97,2,0,11512,177,138,130,2,0,20,1,0,468,0,11980
CM55-INTERNATIONAL TRADE ADMINISTRATION,1074,255,28,28,0,173,22,2,0,1582,30,5,17,12,5,86,2,0,157,0,1739
CM56-PATENT AND TRADEMARK OFFICE,4446,1275,508,1,0,28,39,0,0,6297,85,6,25,0,0,20,0,0,136,0,6433
CM57-NATL INSTITUTE OF STANDARDS AND TECH,2377,349,3,9,0,1,42,0,0,2781,69,120,199,0,0,6,0,0,394,0,3175
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,73,10,1,0,0,0,1,1,0,86,2,0,0,1,0,0,0,0,3,0,89
CM61-NAT TELECOMMUNICATIONS AND INFO ADMIN,196,21,18,0,0,0,7,0,0,242,0,3,8,1,1,2,0,0,15,0,257
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,183,3,0,0,0,0,3,0,0,189,1,0,2,0,0,0,0,0,3,0,192
CM63-BUREAU OF THE CENSUS,4563,1443,4162,4,0,59,34,0,0,10265,1045,2564,82,1,0,6,1,0,3699,0,13964
CM64-OFFICE OF THE INSPECTOR GENERAL,118,5,7,0,0,0,4,0,0,134,0,0,1,0,1,0,0,0,2,0,136
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,52,7,0,0,0,0,7,0,0,66,2,0,0,1,1,0,0,0,4,0,70
CM67-BUREAU OF EXPORT ADMINSTRATION,319,33,0,0,0,3,9,0,0,364,3,12,4,4,3,0,1,0,27,0,391
CT-COMMODITY FUTURES TRADING COMMISSION,319,20,140,0,0,0,15,0,0,494,0,3,31,5,4,0,4,1,48,0,542
CU-NATIONAL CREDIT UNION ADMINISTRATION,738,159,14,0,0,2,0,0,0,913,42,1,8,3,3,6,0,0,63,0,976
CX-NAT CMSN ON LIBRARIES AND INFO SCIENCE,0,0,0,0,0,3,0,1,0,4,0,0,0,0,2,8,0,0,10,0,14
DD01-OFFICE OF THE SECRETARY OF DEFENSE,881,78,56,52,0,7,193,39,0,1306,1,0,3,36,18,55,7,0,120,0,1426
DD02-JOINT STAFF,163,17,0,0,0,2,3,0,0,185,2,0,0,1,0,1,0,0,4,0,189
DD04-DEFENSE INFORMATION SYSTEMS AGENCY,5308,538,22,57,0,45,30,0,0,6000,31,4,71,0,0,0,0,0,106,0,6106
DD06-DEFENSE SECURITY COOPERATION AGENCY,114,10,2,0,0,0,5,0,0,131,3,0,0,0,0,0,0,0,3,0,134
DD07-DEFENSE LOGISTICS AGENCY,21187,988,164,50,0,243,19,0,0,22651,268,36,134,0,0,21,0,0,459,0,23110
DD08-US COURT APLS ARMED FORCES,13,0,9,0,1,19,2,0,0,44,0,0,0,0,3,4,0,0,7,0,51
