Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,All Appointments
AG10-FOREIGN AGRICULTURAL SERVICE,396,38,1,14,9,160,4,3,0,625,6,1,146,8,0,13,0,0,174,0,799
AG11-FOREST SERVICE,25347,2291,81,229,0,264,53,0,1,28266,9492,155,1578,2,0,74,1,0,11302,0,39568
AG13-OFFICE OF COMMUNICATIONS,89,1,1,1,0,1,0,2,0,95,1,1,1,9,0,0,0,0,12,0,107
AG14-OFFICE OF THE GENERAL COUNSEL,103,3,193,0,0,3,16,1,0,319,0,4,3,0,1,1,0,0,9,0,328
AG15-RURAL UTILITIES SERVICE,298,25,0,0,0,0,2,0,0,325,0,0,5,13,1,0,0,0,19,0,344
AG16-NATURAL RESOURCES CONSERVATION SERVICE,10201,765,12,83,0,13,30,1,0,11105,303,800,113,9,0,15,0,0,1240,0,12345
AG18-ECONOMIC RESEARCH SERVICE,402,14,3,2,0,1,6,0,0,428,31,0,15,0,0,0,0,0,46,0,474
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,957,116,2,19,0,1,10,0,0,1105,11,3,4,0,0,2,0,0,20,0,1125
"AG22-COOP STATE RESEARCH, EDUC, & EXTEN SERV",254,53,1,1,0,1,9,0,0,319,7,56,17,0,0,2,0,0,82,0,401
AG23-OFFICE  OF THE INSPECTOR GENERAL,596,42,1,10,0,4,8,0,0,661,1,5,0,0,1,0,0,0,7,0,668
AG30-FOOD AND NUTRITION SERVICE,1387,113,2,5,0,13,13,6,0,1539,8,11,37,5,0,2,0,0,63,0,1602
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,92,7,1,0,0,0,2,2,0,104,0,0,7,15,0,1,0,0,23,0,127
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERV,4468,814,14,21,0,78,18,1,1,5415,229,1303,167,4,0,48,0,0,1751,1,7167
"AG36-GRAIN INSPEC, PACKERS & STOCKYARDS ADMIN",646,111,1,4,0,1,4,1,0,768,4,68,12,3,0,0,0,0,87,0,855
AG37-FOOD SAFETY AND INSPECTION SERVICE,7819,1363,37,2,0,10,20,0,0,9251,85,941,47,3,0,5,0,0,1081,0,10332
AG38-OFFICE OF THE CHIEF ECONOMIST,42,4,0,0,0,0,4,0,0,50,0,0,3,0,0,0,0,0,3,0,53
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,48,4,0,0,0,0,4,0,0,56,0,0,2,0,0,0,0,0,2,0,58
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1518,62,2,0,0,10,9,0,0,1601,48,15,35,0,1,0,1,0,100,0,1701
AGDA-DEPARTMENTAL ADMINISTRATION,507,31,33,4,0,8,7,2,0,592,14,9,15,5,0,1,2,2,48,0,640
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,18,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,1,0,19
AGFA-FARM SERVICE AGENCY,4992,691,8,12,0,7,6,8,0,5724,25,231,25,50,0,10,1,0,342,0,6066
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,241,12,0,2,0,9,6,1,0,271,4,0,1,2,0,0,0,1,8,0,279
AGNA-NATIONAL APPEALS DIVISION,122,2,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,124
AGSC-NAT SHEEP INDUSTRY IMPROVEMENT CENTER,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AH-NAT FOUNDATION ON ARTS AND HUMANITIES,203,43,2,54,0,2,10,6,0,320,6,21,6,7,40,16,0,0,96,0,416
AI-U.S. INSTITUTE OF PEACE,0,0,0,0,0,14,0,0,0,14,0,0,0,0,2,54,0,0,56,0,70
AM-AGENCY FOR INTERNATIONAL DEVELOPMENT,860,43,27,0,0,887,25,8,0,1850,9,15,1,0,8,258,0,0,291,0,2141
AN-AFRICAN DEVELOPMENT FOUNDATION,22,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24
AP-APPALACHIAN REGIONAL COMMISSION,7,0,0,0,0,0,0,0,0,7,0,0,0,2,2,0,0,0,4,0,11
AR**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ARAE-ACQUISITION EXECUTIVE SUPPORT AGENCY,1959,28,5,16,0,16,12,0,0,2036,27,2,19,0,0,0,0,0,48,0,2084
ARAS-US ARMY INTELLIGENCE AND SECURITY CMD,1,0,2,0,0,1681,0,0,0,1684,0,1,0,0,0,24,0,0,25,0,1709
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,4250,192,16,21,0,132,7,0,0,4618,192,2,28,0,0,7,0,0,229,0,4847
ARAU-U.S. ARMY AUDIT AGENCY,489,95,1,9,0,4,4,0,0,602,0,2,0,0,0,0,0,0,2,0,604
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,335,52,3,0,0,38,0,0,0,428,2,6,1,0,0,0,0,0,9,0,437
ARCE-US ARMY CORPS OF ENG (EXC CIV PRG FIN),29051,1949,355,531,0,376,37,0,0,32299,835,113,1139,0,2,24,0,0,2113,0,34412
ARCS-IMMEDIATE OFC OF CHIEF OF STAFF OF ARMY,584,14,3,0,0,122,10,0,0,733,1,0,3,0,0,0,0,0,4,0,737
ARE1-IMM OFC CMD-IN-CH US ARMY EUR & SEV ARMY,2031,511,28,2,0,557,7,0,0,3136,225,1048,1,0,0,1,0,0,1275,1,4412
ARE2-21ST THEATER ARMY AREA COMMAND,223,46,10,0,0,26,0,0,0,305,25,38,0,0,0,0,0,0,63,0,368
ARE3-U.S. ARMY SOUTHERN EUROPEAN TASK FORCE,127,36,5,0,0,37,0,0,0,205,7,43,0,0,0,0,0,0,50,0,255
ARE5-U.S. ARMY V CORPS,169,45,14,0,0,51,0,0,0,279,56,76,0,0,0,0,0,0,132,0,411
AREB-1ST PERSONNEL COMMAND,158,56,0,0,0,100,0,0,0,314,48,114,0,0,0,0,0,0,162,0,476
AREN-SEVENTH ARMY TRAINING COMMAND,302,90,1,0,0,71,0,0,0,464,34,178,9,0,0,2,0,0,223,0,687
ARFC-U.S. ARMY FORCES COMMAND,13489,882,72,8,0,753,4,0,0,15208,1205,66,58,0,0,13,0,0,1342,0,16550
ARGB-OFC OF CHIEF OF NAT GUARD BUREAU,328,32,4,0,0,13,1,0,0,378,21,0,5,0,0,0,0,0,26,0,404
ARHR-U.S. ARMY RESERVE COMMAND,7187,1134,13,2,0,647,0,0,0,8983,429,3,4,0,0,1,0,0,437,0,9420
ARJ1-U.S. ARMY ELEMENT SHAPE,22,4,2,0,0,8,0,0,0,36,2,27,0,0,0,0,0,0,29,0,65
ARJA-JOINT ACTIVITIES,554,95,6,2,0,376,2,1,0,1036,88,65,13,0,0,163,0,0,329,0,1365
ARMA-U.S. MILITARY ACADEMY,1483,232,14,0,0,28,0,0,0,1757,37,83,4,0,0,34,0,0,158,0,1915
ARMC-U.S. ARMY MEDICAL COMMAND,19528,3247,117,11,0,991,10,0,0,23904,750,600,68,0,0,169,0,0,1587,0,25491
ARMP-U.S. TOTAL ARMY PERSONNEL COMMAND,1706,56,2,1,0,136,3,0,0,1904,32,0,2,0,0,0,0,0,34,0,1938
ARMT-MILITARY TRAFFIC MANAGEMENT COMMAND,1460,96,13,3,0,76,2,0,0,1650,37,2,23,0,0,0,0,0,62,0,1712
ARMW-US ARMY MIL DISTRICT OF WASHINGTON,2404,146,28,1,0,82,2,0,0,2663,92,2,26,0,0,0,0,0,120,0,2783
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1738,2,3,0,0,20503,0,0,0,22246,1,0,0,0,0,2300,0,0,2301,0,24547
"ARP1-U.S. ARMY, PACIFIC",2945,148,26,1,0,159,0,0,0,3279,199,56,5,0,0,4,0,0,264,0,3543
ARP8-EIGHTH U.S. ARMY,851,83,8,4,0,140,0,0,0,1086,62,57,0,0,0,35,0,0,154,0,1240
ARPC-MILITARY ENTRANCE PROCESSING COMMAND,1018,142,4,0,0,69,0,0,0,1233,13,0,0,0,0,0,0,0,13,0,1246
ARRC-U.S. ARMY RECRUITING COMMAND,1031,91,8,3,0,52,0,0,0,1185,26,0,3,0,0,1,0,0,30,0,1215
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,516,9,11,0,0,5,42,7,0,590,8,1,6,7,8,57,5,0,92,0,682
ARSB-FLD OPERATING OFC OF OFC OF SEC OF ARMY,2164,584,24,60,0,171,1,0,0,3004,18,7,47,1,0,1,0,0,74,0,3078
ARSC-US ARMY SPACE AND STRATEGIC DEFENSE CMD,954,29,4,2,0,78,6,0,0,1073,52,0,11,0,0,3,0,0,66,0,1139
ARSE-FLD OP AG OF ARMY STAFF RESOURCED OA-22,933,35,34,1,0,37,3,0,0,1043,21,1,6,0,0,7,0,0,35,0,1078
ARSF-FLD OPERATING AGENCIES OF THE ARMY STAFF,1000,61,13,4,0,41,2,0,0,1121,19,24,0,0,0,38,0,0,81,0,1202
"ARSJ-JT SERV & ACT SUP BY OFC, SEC OF ARMY",1040,21,36,4,0,54,3,1,0,1159,7,5,17,0,0,1,0,0,30,0,1189
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),815,67,8,1,0,167,0,0,0,1058,49,0,0,0,0,2,0,0,51,0,1109
"ARSS-STAFF SUP AGENCIES OF CHF OF STAFF, ARMY",64,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,65
ARSU-U.S. ARMY SOUTHERN COMMAND,415,116,3,2,0,109,1,0,0,646,59,0,1,0,0,2,0,0,62,0,708
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,15097,845,692,35,0,740,8,0,0,17417,1163,248,63,0,0,35,0,0,1509,0,18926
"ARX2-HEADQUARTERS, AMC",742,5,26,1,0,4,12,0,0,790,6,0,3,0,0,7,0,0,16,0,806
"ARX3-HQ, STAFF SUPPORT ACTIVITIES, AMC",93,2,0,0,0,0,0,0,0,95,1,0,2,0,0,0,0,0,3,0,98
"ARX4-TRAINING ACTIVITIES, AMC",18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18
"ARX5-U.S. ARMY MATERIEL COMMAND, ALL OTHERS",281,4,0,10,0,3,2,0,0,300,0,0,2,0,0,0,0,0,2,0,302
ARX6-U.S. ARMY MISSILE COMMAND,10084,200,55,19,0,138,12,0,0,10508,102,3,22,0,0,6,0,0,133,0,10641
ARX7-U.S. ARMY TANK-AUTOMOTIVE & ARMAMENT CMD,10770,315,51,72,0,69,15,0,0,11292,93,5,7,0,0,0,0,0,105,0,11397
ARX8-US ARMY COMMUNICATIONS ELECTRONICS CMD,8366,540,43,62,0,134,9,0,0,9154,35,0,17,0,0,0,0,0,52,0,9206
"ARX9-U.S. ARMY SIMUL, TRAING AND INSTRUM CMD",405,3,1,2,0,39,1,0,0,451,10,0,10,0,0,0,0,0,20,0,471
ARXA-US ARMY CHEMICAL AND BIOLOGICAL DEF CMD,4511,125,20,0,0,54,5,0,0,4715,87,0,17,0,0,0,0,0,104,0,4819
ARXC-U.S. ARMY SOLDIERS SYSTEM COMMAND (SSC),3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
ARXD-U.S. ARMY RESEARCH LABORATORY COMMAND,1907,80,15,11,0,34,11,0,0,2058,2,1,4,0,0,0,0,0,7,0,2065
ARXK-MATERIEL ACQUISITION ACTIVITIES,92,2,2,1,0,18,0,0,0,115,1,0,0,0,0,0,0,0,1,0,116
ARXL-MATERIEL ACQUISITION PROJECT MANAGERS,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,417,46,4,0,0,3,1,0,0,471,8,0,1,0,0,0,0,0,9,0,480
ARXQ-U.S. ARMY INDUSTRIAL OPERATIONS COMMAND,6873,360,57,0,0,52,2,0,0,7344,375,8,7,0,0,0,0,0,390,0,7734
ARXX-MATERIEL READINESS ACTIVITIES,633,19,1,4,0,2,0,0,0,659,4,3,2,0,0,1,0,0,10,0,669
AU-FEDERAL LABOR RELATIONS AUTHORITY,86,7,86,0,0,4,14,0,0,197,3,1,7,1,12,3,0,0,27,0,224
AW-ARCTIC RESEARCH COMMISSION,2,0,0,0,0,0,1,0,0,3,0,0,0,0,2,5,0,0,7,0,10
BD-MERIT SYSTEMS PROTECTION BOARD,76,11,54,0,0,57,10,3,0,211,0,6,0,0,2,4,0,0,12,0,223
BF-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,25,1,10,0,0,45,7,0,0,88,0,0,0,0,4,1,0,0,5,0,93
BG-PENSION BENEFIT GUARANTY CORPORATION,538,87,78,0,0,1,0,0,0,704,3,3,31,4,0,0,0,0,41,0,745
BK-JAMES MADISON MEMORIAL FELLOWSHIP FOUND,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
BO-OFFICE OF MANAGEMENT AND BUDGET,300,73,41,1,0,2,54,8,0,479,1,5,8,8,5,5,2,0,34,0,513
BT-ARCHITECTL & TRANS BARRIER COMPLIANCE BD,24,1,4,0,0,0,0,0,0,29,0,0,1,0,5,8,0,0,14,0,43
BW-NUCLEAR WASTE TECHNICAL REVIEW BOARD,3,1,0,0,0,7,0,0,0,11,0,0,0,0,3,12,0,0,15,0,26
BZ-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATN,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,9,0,10
CC-COMMISSION ON CIVIL RIGHTS,46,7,12,0,0,0,1,2,0,68,0,0,0,7,4,4,0,0,15,0,83
CE-COUNCIL OF ECONOMIC ADVISERS,6,0,0,0,0,18,1,0,0,25,0,0,0,4,1,0,0,0,5,0,30
CF-COMMISSION OF FINE ARTS,6,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,7
CG-NATIONAL EDUCATION GOALS PANEL,3,3,0,0,0,1,0,0,0,7,0,0,0,0,0,2,0,0,2,0,9
CM33-TECHNOLOGY ADMINISTRATION,23,5,0,0,0,0,3,0,0,31,0,0,3,2,2,0,0,0,7,0,38
CM51-OFFICE OF THE SECRETARY,574,76,129,1,0,16,19,16,0,831,48,23,37,29,5,6,2,0,150,0,981
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,208,17,11,0,0,1,8,2,0,247,8,4,0,3,1,0,0,0,16,0,263
CM53-BUREAU OF ECONOMIC ANALYSIS,350,49,0,0,0,1,10,0,0,410,3,0,2,0,0,0,0,0,5,0,415
CM54-NAT OCEANIC AND ATMOSPHERIC ADMIN,10232,1200,249,81,0,134,94,9,0,11999,193,134,111,6,1,18,1,0,464,0,12463
CM55-INTERNATIONAL TRADE ADMINISTRATION,1036,255,24,27,0,167,20,11,2,1542,31,6,12,6,3,90,0,0,148,0,1690
CM56-PATENT AND TRADEMARK OFFICE,4153,1446,477,1,0,29,35,0,0,6141,109,13,10,3,1,20,1,0,157,0,6298
CM57-NATL INSTITUTE OF STANDARDS AND TECH,2431,332,4,10,0,6,43,0,0,2826,75,129,188,0,1,20,1,0,414,0,3240
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,76,11,1,1,0,0,1,2,0,92,3,0,0,2,0,0,0,1,6,0,98
CM61-NAT TELECOMMUNICATIONS AND INFO ADMIN,191,25,16,0,0,1,8,0,0,241,2,1,12,0,1,4,0,0,20,0,261
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,197,4,0,0,0,0,3,0,0,204,1,0,0,0,0,0,0,0,1,0,205
CM63-BUREAU OF THE CENSUS,4509,918,3483,2,0,43,33,1,0,8989,2717,4769,90,2,1,2,12,0,7593,0,16582
CM64-OFFICE OF THE INSPECTOR GENERAL,125,9,5,0,0,0,5,0,0,144,1,0,2,0,1,0,0,0,4,0,148
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,49,12,0,0,0,0,5,1,0,67,1,0,0,0,1,0,0,0,2,0,69
CM67-BUREAU OF EXPORT ADMINSTRATION,316,52,0,2,0,4,8,0,0,382,1,14,4,3,3,0,1,0,26,0,408
CT-COMMODITY FUTURES TRADING COMMISSION,328,25,146,0,0,0,15,3,0,517,1,3,34,6,5,0,2,2,53,0,570
CU-NATIONAL CREDIT UNION ADMINISTRATION,739,175,14,0,0,2,0,0,0,930,39,1,10,3,5,6,0,0,64,0,994
CX-NAT CMSN ON LIBRARIES AND INFO SCIENCE,1,0,0,0,0,4,0,1,0,6,0,0,0,0,5,5,0,0,10,0,16
DD**-UNSPECIFIED,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DD01-OFFICE OF THE SECRETARY OF DEFENSE,844,49,58,55,0,7,215,48,0,1276,5,2,6,62,18,348,6,0,447,0,1723
DD02-JOINT STAFF,165,7,0,1,0,2,3,0,0,178,2,0,0,1,0,1,0,0,4,0,182
DD04-DEFENSE INFORMATION SYSTEMS AGENCY,5442,397,18,62,0,89,34,0,0,6042,58,4,85,1,0,2,1,0,151,0,6193
DD06-DEFENSE SECURITY COOPERATION AGENCY,118,8,2,0,0,1,5,0,0,134,2,0,0,0,0,0,0,0,2,0,136
