Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AG03-AGRICULTURAL RESEARCH SERVICE,5933,616,6,52,0,36,34,0,0,6677,423,568,1197,0,0,12,0,0,2200,0,8877
AG07-RURAL HOUSING SERVICE,4654,490,7,47,0,22,9,1,4,5234,48,13,123,50,0,2,0,0,236,0,5470
AG08-RISK MANAGEMENT AGENCY,396,77,0,2,0,4,4,1,0,484,0,0,6,2,0,6,0,0,14,0,498
AG10-FOREIGN AGRICULTURAL SERVICE,395,63,2,8,0,134,4,1,0,607,1,10,315,2,0,35,0,0,363,0,970
AG11-FOREST SERVICE,24882,5172,150,393,0,363,51,0,0,31011,7617,27,1788,0,0,137,0,0,9569,0,40580
AG13-OFFICE OF COMMUNICATIONS,62,5,0,0,0,0,1,1,0,69,0,5,1,9,0,0,0,0,15,0,84
AG14-OFFICE OF THE GENERAL COUNSEL,68,6,197,0,0,1,14,1,0,287,0,2,3,1,1,0,0,0,7,0,294
AG15-RURAL UTILITIES SERVICE,259,25,0,0,0,6,4,1,1,296,16,0,10,1,1,1,0,0,29,0,325
AG16-NATURAL RESOURCES CONSERVATION SERVICE,9300,1666,8,87,0,75,20,2,4,11162,259,323,154,5,0,51,0,0,792,0,11954
AG18-ECONOMIC RESEARCH SERVICE,295,53,0,2,0,2,5,0,0,357,3,0,21,0,0,0,0,0,24,0,381
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,884,107,0,5,0,0,10,0,0,1006,10,0,10,0,0,0,0,0,20,0,1026
AG22-NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,276,63,4,2,0,2,8,0,0,355,0,47,6,2,0,12,0,0,67,0,422
AG23-OFFICE OF THE INSPECTOR GENERAL,474,84,11,2,0,10,9,0,0,590,1,0,7,0,1,0,1,0,10,0,600
AG30-FOOD AND NUTRITION SERVICE,1116,192,4,10,0,0,15,3,0,1340,5,0,6,2,0,2,0,0,15,0,1355
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,71,4,0,0,0,0,3,2,0,80,0,2,5,2,0,0,0,0,9,0,89
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,5147,721,26,33,0,62,35,0,0,6024,537,1992,181,0,0,12,0,0,2722,0,8746
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",523,151,5,1,0,3,2,1,0,686,14,88,0,0,0,0,0,0,102,0,788
AG37-FOOD SAFETY AND INSPECTION SERVICE,7994,1285,15,11,0,5,19,0,0,9329,62,536,29,1,0,2,0,0,630,0,9959
AG38-OFFICE OF THE CHIEF ECONOMIST,43,3,0,0,0,1,5,0,0,52,0,0,2,0,0,0,0,0,2,0,54
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,36,5,0,0,0,0,4,0,0,45,0,4,1,0,0,0,0,0,5,0,50
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1004,208,22,1,0,24,7,0,0,1266,27,1,6,0,0,2,0,0,36,0,1302
AGAO-OFFICE OF ADVOCACY AND OUTREACH,28,10,0,3,0,0,0,0,0,41,3,0,4,0,0,0,0,0,7,0,48
AGCR-CIVIL RIGHTS,104,14,0,0,0,0,2,0,0,120,0,10,18,0,0,0,0,0,28,0,148
AGDA-DEPARTMENTAL ADMINISTRATION,441,83,7,3,0,13,9,2,0,558,3,18,66,0,0,9,0,0,96,0,654
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,14,5,0,1,0,3,0,0,0,23,1,3,5,0,0,0,0,0,9,0,32
AGFA-FARM SERVICE AGENCY,4096,570,6,15,0,27,6,3,0,4723,7,226,5,51,0,1,1,0,291,0,5014
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,827,159,1,10,0,8,7,0,0,1012,0,0,7,0,0,3,0,0,10,0,1022
AGNA-NATIONAL APPEALS DIVISION,66,21,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,87
AH01-NATIONAL ENDOWMENT FOR THE ARTS,122,12,0,0,0,0,5,4,0,143,0,16,0,6,15,0,0,0,37,0,180
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,77,9,2,47,0,1,9,1,0,146,4,1,6,4,25,4,0,0,44,0,190
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,41,15,1,1,0,4,3,0,0,65,0,0,0,0,21,4,0,0,25,0,90
AM00-U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT,934,327,56,15,0,876,31,3,0,2242,90,25,10,0,10,1517,0,0,1652,0,3894
AN00-AFRICAN DEVELOPMENT FOUNDATION,14,6,1,0,0,1,0,0,0,22,4,1,0,0,0,4,0,0,9,0,31
AP00-APPALACHIAN REGIONAL COMMISSION,6,0,0,0,0,3,0,0,0,9,0,0,0,1,1,0,0,0,2,0,11
AR2A-UNITED STATES ARMY CYBER COMMAND,69,41,5,0,0,21,0,0,0,136,0,0,0,0,0,0,0,0,0,0,136
AR3A-U.S. ARMY CENTRAL,118,59,3,0,0,11,0,0,0,191,41,140,0,0,0,3,0,0,184,0,375
AR5A-U.S. ARMY NORTH,203,51,3,0,0,15,0,0,0,272,42,0,0,0,0,3,0,0,45,0,317
ARAA-U. S. ARMY ACCESSION COMMAND,1831,578,9,18,0,452,0,0,0,2888,60,1,2,0,0,1,0,0,64,0,2952
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,3663,1327,9,56,0,102,15,0,1,5173,77,134,40,0,0,2,0,0,253,2,5428
ARAP-U. S. MILITARY ENTRANCE PROCESSING COMMAND,1528,772,1,5,0,99,0,0,0,2405,18,0,4,0,0,0,0,0,22,0,2427
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,0,0,0,0,0,3077,0,0,1,3078,0,0,1,0,0,110,0,0,111,0,3189
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,3286,818,6,30,0,107,4,0,0,4251,51,0,8,0,0,7,0,0,66,0,4317
ARBA-U.S. ARMY INSTALLATION MANAGEMENT COMMAND,23439,7542,261,92,0,2035,9,0,0,33378,1433,386,100,0,0,672,1,0,2592,0,35970
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,485,147,3,0,0,31,0,0,0,666,26,96,0,0,0,15,0,0,137,0,803
ARCE-U.S. ARMY CORPS OF ENGINEERS,26294,6287,447,604,1,403,39,0,0,34075,2651,354,899,0,1,30,0,0,3935,0,38010
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,1077,316,14,0,0,240,24,0,0,1671,10,1,6,0,0,23,0,0,40,0,1711
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,757,343,29,0,0,145,6,0,0,1280,34,98,0,0,0,4,0,0,136,0,1416
ARE2-21ST THEATER ARMY AREA COMMAND,176,72,0,1,0,11,0,0,0,260,14,72,0,0,0,1,0,0,87,0,347
ARE5-U.S. ARMY V CORPS,12,6,0,0,0,0,0,0,0,18,0,14,0,0,0,0,0,0,14,0,32
AREN-SEVENTH ARMY TRAINING COMMAND,225,61,0,0,0,26,0,0,0,312,9,12,0,0,0,0,0,0,21,0,333
ARFC-U.S. ARMY FORCES COMMAND,1558,885,8,1,0,254,4,0,0,2710,438,38,5,0,0,255,0,0,736,0,3446
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,3161,1094,7,13,0,305,2,0,0,4582,91,15,2,0,0,2,0,0,110,0,4692
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,376,278,1,0,0,10,0,0,0,665,15,1,24,0,0,0,0,0,40,0,705
ARHR-U.S. ARMY RESERVE COMMAND,5663,2017,10,0,0,1008,1,0,0,8699,168,0,0,0,0,2,0,0,170,0,8869
ARJ1-U.S. ARMY ELEMENT SHAPE,98,34,0,0,0,32,0,0,0,164,8,4,0,0,0,1,0,0,13,0,177
ARJA-JOINT ACTIVITIES,1051,567,18,1,0,472,10,0,0,2119,102,38,32,0,0,92,1,0,265,0,2384
ARMA-U.S. MILITARY ACADEMY,398,66,40,0,0,18,0,0,0,522,13,189,0,0,0,8,0,0,210,0,732
ARMC-U.S. ARMY MEDICAL COMMAND,23676,13582,97,61,0,959,4,0,0,38379,2065,519,78,0,0,179,0,0,2841,0,41220
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,297,85,5,0,0,14,1,0,0,402,54,0,21,0,0,0,0,0,75,0,477
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1322,223,0,0,0,21318,0,0,0,22863,40,365,0,0,0,3384,0,0,3789,2,26654
"ARP1-U.S. ARMY, PACIFIC",706,214,7,1,0,118,0,0,0,1046,18,4,0,0,0,13,0,0,35,0,1081
ARP8-EIGHTH U.S. ARMY,293,84,0,0,0,8,0,0,0,385,5,25,0,0,0,1,0,0,31,0,416
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,816,140,28,0,0,9,55,7,0,1055,9,0,7,11,6,53,0,0,86,0,1141
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,885,1279,11,21,0,87,5,0,0,2288,30,42,8,0,0,0,0,0,80,0,2368
ARSC-U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND,695,199,15,7,0,71,7,0,0,994,18,1,11,0,0,6,0,0,36,0,1030
ARSE-HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES,4847,1378,71,77,0,333,5,0,0,6711,121,21,43,0,0,4,0,0,189,0,6900
ARSF-MISCELLANEOUS FIELD OPERATING AGENCIES,31,7,2,0,0,0,0,0,0,40,4,0,0,0,0,1,0,0,5,0,45
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",801,105,29,3,0,38,0,0,0,976,1,138,28,0,0,171,0,0,338,0,1314
ARSO-U.S. ARMY SOUTH,188,65,4,0,0,23,0,0,0,280,21,0,0,0,0,1,0,0,22,0,302
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),978,444,2,5,0,161,0,0,0,1590,119,11,14,0,0,42,0,0,186,0,1776
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,6834,2472,746,34,0,1024,16,0,0,11126,828,1434,63,0,0,735,1,0,3061,0,14187
ARTM-U.S. MILITARY ENTRANCE PROCESSING COMMAND,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ARTW-U.S. ARMY WAR COLLEGE,214,65,1,5,0,10,0,0,0,295,6,80,1,0,0,1,0,0,88,0,383
"ARX2-HEADQUARTERS, AMC",568,154,16,3,0,39,13,0,0,793,3,3,1,0,0,4,0,0,11,0,804
"ARX4-TRAINING ACTIVITIES, AMC",98,53,0,0,0,5,0,0,0,156,0,0,0,0,0,0,0,0,0,0,156
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,7129,1906,56,90,0,443,5,0,0,9629,114,42,59,0,0,10,0,0,225,0,9854
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),8671,2536,64,117,0,428,3,0,3,11822,595,1449,47,0,0,399,0,0,2490,1,14313
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,5721,1708,75,97,0,207,3,0,0,7811,218,9,47,0,0,0,0,0,274,0,8085
ARXB-U.S. ARMY CHEMICAL MATERIALS AGENCY,989,207,4,0,0,61,1,0,0,1262,60,0,4,0,0,0,0,0,64,0,1326
ARXC-U.S. ARMY SUSTAINMENT COMMAND,835,279,32,1,0,47,4,0,0,1198,66,214,36,0,0,13,0,0,329,0,1527
ARXD-U. S. ARMY CONTRACTING COMMAND,3871,1438,47,87,0,89,5,0,0,5537,57,11,24,0,0,0,0,0,92,0,5629
ARXK-MATERIEL ACQUISITION ACTIVITIES,132,19,0,0,0,0,0,0,0,151,1,0,0,0,0,0,0,0,1,0,152
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,381,76,1,5,0,4,1,0,0,468,6,1,13,0,0,0,0,0,20,0,488
ARXQ-U.S. ARMY JOINT MUNITIONS COMMAND,4235,876,15,18,0,100,2,0,0,5246,135,903,22,0,0,1,0,0,1061,0,6307
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",11619,2881,42,156,0,211,32,0,2,14943,128,9,285,0,0,5,0,0,427,0,15370
ARXT-U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,1032,269,5,4,0,27,2,0,0,1339,29,2,22,0,0,0,0,0,53,0,1392
ARXX-MATERIEL READINESS ACTIVITIES,283,83,0,1,0,0,0,0,0,367,2,2,0,0,0,0,0,0,4,0,371
AU00-FEDERAL LABOR RELATIONS AUTHORITY,47,4,63,0,0,0,13,0,0,127,0,0,0,0,13,0,0,0,13,0,140
AW00-ARCTIC RESEARCH COMMISSION,1,0,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,6,0,8
BD00-MERIT SYSTEMS PROTECTION BOARD,86,7,80,0,0,20,12,4,0,209,0,0,0,2,3,2,0,0,7,0,216
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,20,2,7,0,0,68,10,0,0,107,0,0,0,0,4,0,0,0,4,0,111
BG00-PENSION BENEFIT GUARANTY CORPORATION,685,119,109,9,0,1,0,0,0,923,3,4,40,3,1,4,0,0,55,0,978
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
BO00-OFFICE OF MANAGEMENT AND BUDGET,296,84,31,2,0,0,53,14,0,480,1,11,9,16,6,2,2,0,47,0,527
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,22,2,4,0,0,0,1,0,0,29,0,0,0,0,13,1,0,0,14,0,43
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,0,0,0,0,6,1,0,0,11,0,0,0,0,11,1,0,0,12,0,23
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,3,0,0,4,0,6
CC00-COMMISSION ON CIVIL RIGHTS,23,1,3,0,0,0,0,0,0,27,1,0,1,6,2,6,0,1,17,0,44
CE00-COUNCIL OF ECONOMIC ADVISERS,3,0,0,0,0,0,1,0,0,4,0,0,0,0,2,17,0,0,19,0,23
CF00-COMMISSION OF FINE ARTS,9,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,0,11
CM51-OFFICE OF THE SECRETARY,511,74,150,6,0,8,30,10,0,789,9,13,7,35,3,2,1,0,70,0,859
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,121,37,15,1,0,2,8,2,0,186,15,3,10,5,1,2,0,0,36,0,222
CM53-BUREAU OF ECONOMIC ANALYSIS,395,89,1,10,0,1,9,0,0,505,0,0,12,0,0,0,0,0,12,0,517
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,10384,1438,504,110,0,66,107,9,0,12618,183,32,138,7,3,31,0,0,394,0,13012
CM55-INTERNATIONAL TRADE ADMINISTRATION,1041,150,10,5,0,178,24,7,0,1415,10,0,10,19,4,78,0,0,121,0,1536
CM56-PATENT AND TRADEMARK OFFICE,8011,1486,568,2,0,25,58,1,0,10151,21,1,0,1,1,29,1,0,54,0,10205
CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2333,440,2,7,0,3,31,0,0,2816,106,92,115,0,1,8,0,0,322,0,3138
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,59,7,0,0,0,0,1,2,0,69,7,0,5,1,0,3,0,0,16,0,85
CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,195,15,15,0,0,1,9,1,0,236,14,18,17,3,1,1,1,0,55,0,291
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,97,13,0,0,0,0,1,0,0,111,0,1,0,0,0,0,0,0,1,0,112
CM63-BUREAU OF THE CENSUS,4992,1215,6987,15,0,33,35,1,0,13278,582,3087,135,2,1,0,0,0,3807,0,17085
CM64-OFFICE OF THE INSPECTOR GENERAL,97,35,10,1,0,0,7,0,0,150,10,2,0,0,1,0,0,0,13,0,163
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,24,2,0,0,0,0,3,2,0,31,3,0,3,1,1,0,0,0,8,0,39
CM67-BUREAU OF INDUSTRY AND SECURITY,305,25,2,11,0,1,10,0,0,354,1,1,0,3,3,0,0,0,8,0,362
