Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,19,2,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,2,0,23
AF1L-AIR MOBILITY COMMAND,6202,1278,20,21,0,266,1,0,0,7788,278,386,112,0,0,1,0,0,777,0,8565
AF1M-AIR FORCE MATERIEL COMMAND,46579,6129,407,1055,0,1054,57,0,0,55281,512,213,673,0,0,37,0,0,1435,0,56716
AF1P-AIR FORCE REAL PROPERTY AGENCY,129,3,10,0,0,2,1,0,0,145,0,0,0,0,0,0,0,0,0,0,145
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,28,5,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,5,0,38
AF1S-SPACE COMMAND,4832,838,41,28,0,525,0,0,0,6264,106,40,88,0,0,8,0,0,242,0,6506
AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,83,11,2,0,0,0,0,0,0,96,12,0,2,0,0,0,0,0,14,0,110
AF1Y-AIR FORCE CIVILIAN CAREER TRAINING,347,437,27,639,0,76,0,0,0,1526,0,0,0,0,0,0,0,0,0,0,1526
AF21-AIR FORCE NUCLEAR WEAPONS AGENCY,11,5,0,0,0,1,1,0,0,18,0,0,0,0,0,0,0,0,0,0,18
AF24-HQ USAF DIRECT SUPPORT ELEMENT,181,32,0,3,0,18,2,0,0,236,1,0,16,0,0,53,0,0,70,0,306
AF25-AF-WIDE SUPPORT ELEMENT,132,35,4,0,0,70,0,0,0,241,2,26,8,0,0,3,0,0,39,0,280
AF27-AIR FORCE AGENCY FOR MODELING AND SIMULATION,11,3,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1,0,15
AF29-AIR FORCE NATIONAL SECURITY EMERGENCY PREPAREDNESS,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
AF2A-AIR FORCE COST CENTER,27,7,0,0,0,1,0,0,0,35,4,0,0,0,0,0,0,0,4,0,39
AF2B-AIR FORCE DOCTRINE CENTER,13,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,28,28,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,1,0,57
AF2E-AIR FORCE LEGAL SERVICES CENTER,40,7,33,1,0,3,0,0,0,84,4,10,8,0,0,0,0,0,22,0,106
AF2F-AIR FORCE MEDICAL SERVICES CENTER,83,8,1,0,0,0,0,0,0,92,0,0,4,0,0,0,0,0,4,0,96
AF2G-AIR FORCE SERVICE INFORMATION AND NEWS CENTER,57,10,0,0,0,2,0,0,0,69,1,0,3,0,0,0,0,0,4,0,73
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,356,67,7,1,0,4,1,0,0,436,10,0,38,0,0,0,0,0,48,0,484
AF2K-U.S. AIR FORCE HISTORICAL RESEARCH CENTER,50,6,0,0,0,1,0,0,0,57,2,0,2,0,0,0,0,0,4,0,61
AF2M-AIR FORCE REVIEW BOARDS OFFICE,35,6,2,1,0,0,1,0,0,45,1,0,4,0,0,0,0,0,5,0,50
AF2N-AIR FORCE CENTER FOR STUDIES AND ANALYSES,20,8,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,29
AF2Q-AIR WEATHER SERVICE,146,15,0,8,0,6,0,0,0,175,25,0,3,0,0,0,0,0,28,0,203
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,5,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,8
AF2S-HQ NORAD,16,5,0,0,0,14,0,0,0,35,0,0,0,0,0,0,0,0,0,0,35
AF2T-AIR FORCE SUPPLY CENTER,40,6,1,0,0,1,1,0,0,49,0,0,1,0,0,0,0,0,1,0,50
"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",161,9,6,0,0,1,0,0,0,177,1,0,1,0,0,0,0,0,2,0,179
AF2V-AIR FORCE DISPOSAL AGENCY,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2W-11TH WING,498,87,3,23,0,8,0,0,0,619,40,0,52,0,0,0,0,0,92,0,711
AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,95,12,0,0,0,2,0,0,0,109,0,0,0,0,0,0,0,0,0,0,109
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,6,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
AF34-AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5),621,103,1,2,0,17,0,0,0,744,10,0,7,0,0,0,0,0,17,0,761
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",55,23,1,0,0,163,1,0,0,243,5,11,0,0,0,13,0,0,29,0,272
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",265,65,1,2,0,122,2,0,0,457,28,2,0,0,0,1,0,0,31,0,488
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND",19,4,1,0,0,68,0,0,0,92,12,0,0,0,0,12,0,0,24,0,116
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",286,110,3,5,0,333,2,0,0,739,4,1,1,0,0,4,0,0,10,0,749
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",265,24,5,1,0,57,5,0,0,357,10,0,7,0,0,0,0,0,17,0,374
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",253,43,6,5,0,372,2,0,0,681,9,3,8,0,0,7,0,0,27,0,708
AF3W-AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE,315,8,5,0,0,3,1,0,0,332,19,5,2,0,0,0,0,0,26,0,358
AF3Y-AIR FORCE FREQUENCY MANAGEMENT AGENCY,15,9,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,1,0,25
"AF4D-AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND",159,178,5,1,0,96,2,0,0,441,3,3,0,0,0,5,0,0,11,0,452
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),225,8,0,0,0,20265,0,0,0,20498,7,30,0,0,0,1940,0,0,1977,0,22475
"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",1,0,0,0,0,220,0,0,0,221,0,0,0,0,0,65,0,0,65,0,286
AG**-UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,18,0,0,0,0,0,2,17,0,37,0,1,2,31,10,1,0,0,45,0,82
AG02-AGRICULTURAL MARKETING SERVICE,2010,298,430,62,0,9,10,0,0,2819,4,2356,14,1,0,3,0,0,2378,0,5197
AG03-AGRICULTURAL RESEARCH SERVICE,5959,1250,10,68,0,29,37,0,0,7353,453,373,1180,0,0,33,0,0,2039,0,9392
AG07-RURAL HOUSING SERVICE,5186,704,15,32,0,24,6,2,3,5972,61,5,85,50,0,1,0,0,202,0,6174
AG08-RISK MANAGEMENT AGENCY,453,20,0,6,0,1,1,2,3,486,2,0,4,6,0,7,0,0,19,0,505
AG10-FOREIGN AGRICULTURAL SERVICE,415,43,0,11,1,148,4,2,0,624,0,2,195,5,0,33,0,0,235,0,859
AG11-FOREST SERVICE,25821,3685,66,664,0,477,53,0,0,30766,8006,114,2354,0,0,248,1,0,10723,1,41490
AG13-OFFICE OF COMMUNICATIONS,78,2,0,0,0,1,0,1,0,82,1,1,2,9,0,0,0,0,13,0,95
AG14-OFFICE OF THE GENERAL COUNSEL,89,3,205,0,0,1,19,0,0,317,0,1,4,0,0,0,0,0,5,0,322
AG15-RURAL UTILITIES SERVICE,274,49,0,4,0,2,2,1,2,334,0,0,2,6,0,0,0,0,8,0,342
AG16-NATURAL RESOURCES CONSERVATION SERVICE,9932,1418,13,471,0,50,19,4,2,11909,291,494,213,7,0,25,0,0,1030,0,12939
AG18-ECONOMIC RESEARCH SERVICE,338,31,0,2,0,1,7,0,0,379,6,0,17,0,0,0,0,0,23,0,402
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,932,142,3,8,0,1,10,0,0,1096,1,0,4,0,0,0,0,0,5,0,1101
"AG22-COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE",280,72,0,1,0,1,9,0,0,363,4,58,9,0,0,4,0,0,75,0,438
AG23-OFFICE OF THE INSPECTOR GENERAL,484,30,10,42,0,12,7,0,0,585,2,1,2,0,1,0,0,0,6,0,591
AG30-FOOD AND NUTRITION SERVICE,1268,145,4,5,0,15,15,4,0,1456,10,3,24,3,0,3,0,0,43,0,1499
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,85,4,1,1,0,0,2,2,0,95,0,0,0,5,0,1,0,0,6,0,101
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,4153,1126,17,62,0,91,30,0,0,5479,602,1571,257,2,0,23,0,0,2455,0,7934
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",601,70,1,9,0,1,4,0,0,686,10,40,1,1,0,0,0,0,52,0,738
AG37-FOOD SAFETY AND INSPECTION SERVICE,7771,1376,23,24,0,6,20,0,0,9220,67,697,63,1,0,11,0,0,839,0,10059
AG38-OFFICE OF THE CHIEF ECONOMIST,39,5,1,1,0,0,5,0,0,51,1,1,2,0,0,0,0,0,4,0,55
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,44,5,0,0,0,0,4,0,0,53,0,0,3,0,0,0,0,0,3,0,56
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1407,45,0,0,0,1,8,0,0,1461,10,1,8,0,0,6,0,0,25,0,1486
AGCR-OFFICE OF CIVIL RIGHTS,131,13,0,0,0,0,3,0,0,147,0,0,16,0,0,0,0,0,16,0,163
AGDA-DEPARTMENTAL ADMINISTRATION,398,27,18,2,0,7,5,1,0,458,4,13,8,0,0,5,1,0,31,0,489
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,23,2,0,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,3,0,28
AGFA-FARM SERVICE AGENCY,4768,513,6,76,0,11,7,6,1,5388,8,242,40,61,0,1,0,0,352,0,5740
AGHS-HOMELAND SECURITY STAFF,4,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,6
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,887,45,0,3,0,5,7,0,0,947,4,0,3,1,0,0,0,0,8,0,955
AGNA-NATIONAL APPEALS DIVISION,95,8,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103
AGSC-NATIONAL SHEEP INDUSTRY IMPROVEMENT CENTER,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AH01-NATIONAL ENDOWMENT FOR THE ARTS,99,22,0,0,0,0,2,3,0,126,0,24,0,5,13,2,0,0,44,0,170
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,84,7,1,46,0,2,7,1,0,148,2,0,3,4,24,1,0,0,34,0,182
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,31,16,2,3,0,3,0,0,0,55,1,0,0,0,21,2,0,0,24,0,79
AI00-U.S. INSTITUTE OF PEACE,0,0,0,0,0,9,0,0,0,9,0,0,0,0,7,98,0,0,105,0,114
AM00-AGENCY FOR INTERNATIONAL DEVELOPMENT,841,124,24,7,0,775,21,0,0,1792,16,55,0,0,8,518,0,0,597,0,2389
AN00-AFRICAN DEVELOPMENT FOUNDATION,13,3,1,0,0,2,0,0,0,19,0,0,0,0,0,6,0,0,6,0,25
AP00-APPALACHIAN REGIONAL COMMISSION,3,3,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,4,0,10
AR**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ARAC-U.S. ARMY CONTRACTING AGENCY,1399,153,23,40,0,29,3,0,0,1647,16,10,13,0,0,1,0,0,40,0,1687
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,3108,292,8,48,0,70,9,0,0,3535,26,47,56,0,0,14,1,0,144,0,3679
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,0,0,2,0,0,1921,0,0,0,1923,0,1,0,0,0,18,0,0,19,0,1942
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,3158,522,8,193,0,88,6,0,2,3977,71,1,18,0,0,8,0,0,98,0,4075
ARAU-U.S. ARMY AUDIT AGENCY,456,58,0,98,0,2,3,0,0,617,0,0,0,0,0,0,0,0,0,0,617
ARBA-U.S. ARMY INSTALLATION MANAGEMENT AGENCY,24090,5938,240,76,0,2138,8,0,0,32490,2137,2058,109,0,0,132,1,0,4437,0,36927
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,347,114,2,8,0,16,0,0,0,487,18,1,0,0,0,1,0,0,20,0,507
ARCE-U.S. ARMY CORPS OF ENGINEERS (EXCEPT CIVIL PROGRAM FINANCING),26664,2442,366,605,0,203,36,0,0,30316,744,194,757,0,3,30,2,0,1730,0,32046
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,752,191,8,1,0,137,16,0,0,1105,10,0,12,0,0,6,0,0,28,0,1133
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,469,130,8,0,0,74,7,0,0,688,59,125,0,0,0,10,1,0,195,0,883
ARE2-21ST THEATER ARMY AREA COMMAND,220,81,8,0,0,14,0,0,0,323,34,48,0,0,0,1,0,0,83,0,406
ARE3-U.S. ARMY SOUTHERN EURPOEAN TASK FORCE,20,8,2,0,0,2,0,0,0,32,3,10,0,0,0,0,0,0,13,0,45
ARE5-U.S. ARMY V CORPS,196,66,10,0,0,27,0,0,0,299,28,107,0,0,0,1,0,0,136,0,435
AREB-1ST PERSONNEL COMMAND,193,78,0,0,0,42,0,0,0,313,25,110,0,0,0,0,0,0,135,0,448
AREN-SEVENTH ARMY TRAINING COMMAND,213,80,0,0,0,21,0,0,0,314,10,36,0,0,0,0,0,0,46,0,360
ARFC-U.S. ARMY FORCES COMMAND,1688,421,23,1,0,171,3,0,0,2307,241,39,0,0,0,78,0,0,358,0,2665
ARFL-U.S. ARMY SOUTH COMMAND,110,24,2,0,0,18,0,0,0,154,13,1,0,0,0,0,0,0,14,0,168
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,1627,395,7,2,0,134,2,0,0,2167,26,59,2,0,0,0,0,0,87,0,2254
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,299,59,2,0,0,11,1,0,0,372,4,0,6,0,0,0,0,0,10,0,382
ARHR-U.S. ARMY RESERVE COMMAND,5176,1249,5,0,0,724,1,0,0,7155,262,0,0,0,0,0,0,0,262,0,7417
ARJ1-U.S. ARMY ELEMENT SHAPE,24,13,0,0,0,14,0,0,0,51,2,22,0,0,0,1,0,0,25,0,76
ARJA-JOINT ACTIVITIES,522,181,5,0,0,464,2,0,0,1174,40,69,0,0,0,36,0,0,145,0,1319
ARMA-U.S. MILITARY ACADEMY,453,37,12,0,0,10,0,0,0,512,15,132,1,0,0,11,0,0,159,0,671
ARMC-U.S. ARMY MEDICAL COMMAND,19192,5668,68,10,0,566,4,0,0,25508,1139,602,68,0,1,171,0,0,1981,1,27490
ARMP-U.S. ARMY HUMAN RESOURCES COMMAND,1847,225,5,2,0,41,2,0,0,2122,12,0,27,0,0,0,0,0,39,0,2161
ARMT-MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,1185,131,7,1,0,37,1,0,0,1362,24,10,18,0,0,1,0,0,53,0,1415
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,328,111,2,0,0,25,1,0,0,467,9,2,1,0,0,0,0,0,12,0,479
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1414,116,2,0,0,19751,0,0,1,21284,34,1073,15,0,0,2889,0,0,4011,1,25296
"ARP1-U.S. ARMY, PACIFIC",674,286,7,0,0,125,0,0,0,1092,65,9,1,0,0,10,0,0,85,0,1177
ARP8-EIGHTH U.S. ARMY,387,129,1,0,0,23,0,0,0,540,18,32,0,0,0,9,0,0,59,0,599
ARPC-MILITARY ENTRANCE PROCESSING COMMAND,895,331,3,2,0,69,0,0,0,1300,9,1,0,0,0,1,0,0,11,0,1311
ARRC-U.S. ARMY RECRUITING COMMAND,775,244,5,1,0,72,0,0,0,1097,48,0,0,0,0,0,0,0,48,0,1145
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,522,73,16,0,0,7,42,8,0,668,7,1,6,15,5,26,8,0,68,0,736
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,423,140,2,100,0,14,2,0,0,681,2,14,2,0,0,0,0,0,18,0,699
ARSC-U.S. ARMY SPACE AND STRATEGIC DEFENSE COMMAND,829,85,11,19,0,64,8,0,0,1016,32,0,8,0,0,5,0,0,45,0,1061
ARSE-FIELD OPERATING AGENCIES OF THE ARMY STAFF RESOURCED THROUGH OA-22,3231,795,63,865,0,202,6,0,0,5162,58,41,43,0,0,5,0,0,147,1,5310
ARSF-FIELD OPERATING AGENCIES OF THE ARMY STAFF,37,7,20,0,0,6,0,0,0,70,0,1,0,0,0,1,0,0,2,0,72
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",902,119,35,1,0,44,1,0,0,1102,6,71,7,0,0,1,0,0,85,0,1187
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),743,210,5,5,0,197,0,0,0,1160,205,8,13,0,0,27,0,0,253,0,1413
"ARSS-STAFF SUPPORT AGENCIES OF THE CHIEF OF STAFF, ARMY",21,8,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30
ARSU-U.S. ARMY SOUTHERN COMMAND,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ARTA-U.S. ARMY ACCESSIONS COMMAND,107,35,2,0,0,8,0,0,0,152,4,0,0,0,0,0,0,0,4,0,156
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,6659,2777,522,42,0,1100,8,0,0,11108,361,818,55,0,0,218,0,0,1452,0,12560
ARTM-U.S. MILITARY ENTRANCE PROCESSING COMMAND,112,60,0,0,0,14,0,0,0,186,2,0,0,0,0,0,0,0,2,0,188
ARTW-U.S. ARMY WAR COLLEGE,12,7,0,2,0,3,0,0,0,24,0,4,0,0,0,0,0,0,4,0,28
"ARX2-HEADQUARTERS, AMC",497,63,17,1,0,6,13,0,0,597,5,2,3,0,0,0,0,0,10,0,607
"ARX3-HEADQUARTERS, STAFF SUPPORT ACTIVITIES, AMC",19,5,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,1,0,25
"ARX4-TRAINING ACTIVITIES, AMC",61,80,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,141
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,6378,1157,36,267,0,174,6,0,0,8018,87,0,53,0,0,3,0,0,143,0,8161
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),8019,2375,50,513,0,226,2,0,0,11185,1214,571,116,0,0,125,0,0,2026,0,13211
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,5069,1314,40,199,0,87,5,0,0,6714,57,2,38,0,0,0,0,0,97,0,6811
"ARX9-U.S. ARMY SIMULATION, TRAINING AND INSTRUMENTATION COMMAND",26,2,0,6,0,0,1,0,0,35,0,0,1,0,0,0,0,0,1,0,36
ARXA-U.S. ARMY CHEMICAL AND BIOLOGICAL DEFENSE COMMAND,30,1,0,3,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,34
ARXB-U.S. ARMY CHEMICAL MATERIALS AGENCY,1624,615,4,10,0,37,1,0,0,2291,202,49,1,0,0,0,0,0,252,0,2543
ARXK-MATERIEL ACQUISITION ACTIVITIES,56,15,0,1,0,20,0,0,0,92,0,0,1,0,0,1,0,0,2,0,94
ARXL-MATERIEL ACQUISITION PROJECT MANAGERS,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,382,33,0,3,0,4,1,0,0,423,33,1,1,0,0,0,0,0,35,0,458
ARXQ-U.S. ARMY OPERATIONS SUPPORT COMMAND,3597,843,36,123,0,92,1,0,0,4692,627,29,15,0,0,2,0,0,673,0,5365
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",10493,1388,37,908,0,172,38,0,1,13037,92,10,150,0,0,3,0,0,255,0,13292
ARXX-MATERIEL READINESS ACTIVITIES,370,32,0,1,0,1,0,0,0,404,0,0,1,0,0,1,0,0,2,0,406
AU00-FEDERAL LABOR RELATIONS AUTHORITY,68,2,66,0,0,1,10,0,0,147,0,0,0,0,9,2,0,0,11,0,158
AW00-ARCTIC RESEARCH COMMISSION,2,0,0,0,0,0,1,0,0,3,0,4,0,0,0,3,0,0,7,0,10
BD00-MERIT SYSTEMS PROTECTION BOARD,82,8,75,0,0,37,12,2,0,216,3,0,0,2,2,0,0,0,7,0,223
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,19,4,10,0,0,43,7,0,0,83,0,0,0,0,4,0,0,0,4,0,87
BG00-PENSION BENEFIT GUARANTY CORPORATION,544,131,82,0,0,1,0,0,0,758,5,8,32,3,0,0,0,0,48,0,806
BH00-COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
BO00-OFFICE OF MANAGEMENT AND BUDGET,272,73,22,0,0,1,57,10,0,435,3,3,10,18,6,2,0,0,42,0,477
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,20,0,3,0,0,0,2,0,0,25,0,0,1,0,13,0,0,0,14,0,39
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,1,0,0,0,10,0,0,0,15,0,0,0,0,10,0,0,0,10,0,25
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,7,0,0,11,0,12
CC00-COMMISSION ON CIVIL RIGHTS,33,2,6,0,0,0,2,1,0,44,0,0,0,3,4,2,0,0,9,0,53
CE00-COUNCIL OF ECONOMIC ADVISERS,4,1,0,0,0,2,1,0,0,8,0,0,0,3,1,12,0,0,16,0,24
CF00-COMMISSION OF FINE ARTS,6,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,8
CM33-TECHNOLOGY ADMINISTRATION,16,0,0,0,0,0,1,1,0,18,0,0,0,0,1,0,0,0,1,0,19
CM51-OFFICE OF THE SECRETARY,507,85,142,4,0,2,26,11,0,777,7,10,20,35,4,4,0,0,80,0,857
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,156,10,10,0,0,2,6,1,0,185,7,4,3,3,0,9,0,0,26,0,211
CM53-BUREAU OF ECONOMIC ANALYSIS,353,116,0,1,0,1,10,0,0,481,3,1,9,0,0,3,0,0,16,0,497
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,10238,1185,287,58,0,76,103,7,0,11954,139,145,134,11,3,37,0,0,469,0,12423
