Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,26,3,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30
AF1S-SPACE COMMAND,3787,219,19,0,0,174,1,0,0,4200,184,6,37,0,0,6,0,0,233,2,4435
AF1W-AF ENGINEERING AND SERVICES CTR,114,3,0,0,0,2,0,0,0,119,7,0,1,0,0,0,0,0,8,0,127
AF27-AF AGENCY FOR MODELING AND SIMULATION,10,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
AF28-AF COMMUNICATION AND INFORMATION CENTER,329,6,2,0,0,1,1,0,0,339,20,0,3,0,0,0,0,0,23,0,362
AF29-AF NAT SECURITY EMERGENCY PREPAREDNESS,4,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
AF2A-AIR FORCE COST CENTER,33,2,0,1,0,0,0,0,0,36,2,0,0,0,0,0,0,0,2,0,38
AF2B-AIR FORCE DOCTRINE CENTER,8,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,9
AF2C-AF CIVILIAN PERSONNEL MANAGEMENT CENTER,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2D-AIR FORCE PERSONNNEL OPERATIONS AGENCY,18,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19
AF2E-AIR FORCE LEGAL SERVICES CENTER,63,0,29,0,0,7,0,0,0,99,18,1,6,1,0,3,0,0,29,0,128
AF2F-AIR FORCE MEDICAL SERVICES CENTER,28,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,29
AF2G-AF SERVICE INFORMATION AND NEWS CENTER,65,4,0,0,0,5,0,0,0,74,3,0,0,0,0,1,0,0,4,0,78
AF2H-AIR FORCE COMBAT OPERATIONS STAFF,9,0,1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,11
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,421,10,7,0,0,2,1,0,0,441,16,0,18,0,0,0,0,0,34,0,475
AF2K-USAF HISTORICAL RESEARCH CTR,37,0,0,0,0,0,0,0,0,37,16,0,0,0,0,9,0,0,25,0,62
AF2M-AIR FORCE REVIEW BOARDS OFFICE,28,0,1,0,0,0,1,0,0,30,3,0,2,0,0,0,0,0,5,0,35
AF2N-AF CTR FOR STUDIES AND ANALYSES,21,0,0,0,0,1,1,0,0,23,2,0,0,0,0,0,0,0,2,0,25
AF2Q-AIR WEATHER SERVICE,135,17,0,0,0,7,0,0,0,159,6,0,0,0,0,0,0,0,6,0,165
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,8,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,11
AF2S-HQ NORAD,21,0,0,0,0,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,29
AF2T-AIR FORCE SUPPLY CENTER,57,1,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,58
"AF2U-AIR FORCE MORALE, WELFARE & REC CENTER",173,2,5,0,0,1,0,0,0,181,9,0,1,0,0,0,0,0,10,0,191
AF2V-AIR FORCE DISPOSAL AGENCY,260,3,9,0,0,1,1,0,0,274,12,0,1,0,0,0,0,0,13,0,287
AF2W-AIR FORCE DISTRICT OF WASHINGTON,826,43,13,10,0,29,0,0,0,921,131,2,36,0,0,45,0,0,214,0,1135
AF2X-AIR FORCE REAL ESTATE AGENCY,12,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,290,6,2,13,0,4,0,0,0,315,6,1,8,0,0,0,0,0,15,0,330
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,65,8,0,0,0,0,0,0,0,73,3,2,1,0,0,0,0,0,6,0,79
AF34-AIR NAT GUARD UNITS (MOBIL) (TITLE 5),917,70,0,0,0,62,0,0,0,1049,74,0,0,0,0,0,0,0,74,1,1124
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",77,37,1,0,0,57,1,0,0,173,8,5,0,0,0,7,0,0,20,0,193
"AF3D-AIR FORCE ELEMENTS, U.S. SPEC OPER CMD",257,8,0,0,0,70,1,0,0,336,15,0,0,0,0,0,0,0,15,0,351
"AF3G-AIR FORCE ELEMENTS, EUROPE",5,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,2,0,7
AF3L-CENTER FOR AIR FORCE HISTORY,24,0,0,1,0,0,0,0,0,25,1,0,6,0,0,0,0,0,7,0,32
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC CMD",243,34,2,0,0,95,2,0,0,376,13,0,0,0,0,0,0,0,13,0,389
"AF3S-HDQTRS, U.S. SPACE COMMAND AND NORAD",64,3,0,0,0,53,1,0,0,121,0,0,0,0,0,0,0,0,0,0,121
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTN CMD",247,7,2,0,0,39,2,0,0,297,3,0,0,0,0,0,0,0,3,0,300
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",396,12,111,1,0,109,3,1,0,633,11,0,4,1,1,2,0,0,19,0,652
AF3W-AIR FORCE CTR FOR ENVIRONMNTL EXCELLENCE,343,8,5,0,0,0,1,0,0,357,13,0,4,0,0,0,0,0,17,0,374
"AF3Z-JT SERVICES SURV, EVAS, RESIS & ESC AGY",2,0,1,0,0,57,0,0,0,60,0,0,0,0,0,16,0,0,16,0,76
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),329,43,0,0,0,21143,0,0,0,21515,6,0,0,0,0,1592,0,0,1598,2,23115
"AFZG-U.S. SPEC OPERATIONS CMD (ANG, TITLE 32)",1,0,0,0,0,231,0,0,0,232,0,0,0,0,0,22,0,0,22,0,254
AFZS-U.S. SPEC. OPERATIONS COMMAND (AIR FORCE,467,23,12,0,0,27,0,0,0,529,25,3,1,0,0,0,0,0,29,0,558
AG**-UNSPECIFIED,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,15,0,0,0,0,0,1,18,0,34,0,1,0,19,10,1,1,0,32,0,66
AG02-AGRICULTURAL MARKETING SERVICE,2292,377,450,22,0,9,10,1,0,3161,15,2971,16,5,0,2,0,0,3009,0,6170
AG03-AGRICULTURAL RESEARCH SERVICE,5609,845,10,44,0,23,40,0,0,6571,312,190,862,1,0,14,0,0,1379,0,7950
AG07-RURAL HOUSING SERVICE,5655,596,21,15,0,35,3,1,0,6326,155,16,81,54,0,0,0,0,306,0,6632
AG08-RISK MANAGEMENT AGENCY,500,15,1,8,0,1,2,1,0,528,2,0,3,6,0,6,0,0,17,0,545
AG10-FOREIGN AGRICULTURAL SERVICE,395,41,1,14,10,163,4,3,0,631,4,0,116,5,0,16,0,0,141,0,772
AG11-FOREST SERVICE,25986,1951,84,119,0,235,50,0,1,28426,9872,136,1274,1,0,72,1,0,11356,0,39782
AG13-OFFICE OF COMMUNICATIONS,94,3,1,2,0,0,0,2,0,102,2,0,5,11,0,0,0,0,18,0,120
AG14-OFFICE OF THE GENERAL COUNSEL,109,2,200,2,0,3,19,1,0,336,0,5,4,0,1,1,0,0,11,0,347
AG15-RURAL UTILITIES SERVICE,325,18,0,1,0,0,2,1,0,347,0,0,3,7,1,0,0,0,11,0,358
AG16-NATURAL RESOURCES CONSERVATION SERVICE,10373,770,12,97,0,17,24,1,0,11294,500,1363,167,6,0,44,0,0,2080,0,13374
AG18-ECONOMIC RESEARCH SERVICE,447,11,4,1,0,1,8,0,0,472,18,0,14,0,0,1,0,0,33,0,505
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,977,101,3,18,0,2,8,0,0,1109,9,3,1,0,0,1,0,0,14,0,1123
"AG22-COOP STATE RESEARCH, EDUC, & EXTEN SERV",287,31,2,2,0,1,12,0,0,335,5,34,11,0,0,6,0,0,56,0,391
AG23-OFFICE  OF THE INSPECTOR GENERAL,626,85,1,3,0,4,7,0,0,726,0,4,1,0,1,0,0,0,6,0,732
AG30-FOOD AND NUTRITION SERVICE,1478,67,3,7,0,11,14,3,0,1583,12,0,44,9,0,3,0,0,68,0,1651
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,100,5,1,8,0,0,2,3,0,119,2,1,3,12,0,1,0,0,19,0,138
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERV,4430,679,18,24,0,87,15,0,1,5254,239,1106,141,3,0,41,0,0,1530,1,6785
"AG36-GRAIN INSPEC, PACKERS & STOCKYARDS ADMIN",663,95,0,0,0,2,4,1,0,765,2,52,3,2,0,0,0,0,59,0,824
AG37-FOOD SAFETY AND INSPECTION SERVICE,7928,1189,44,1,0,27,20,0,0,9209,102,1163,35,3,0,7,0,0,1310,0,10519
AG38-OFFICE OF THE CHIEF ECONOMIST,35,1,0,0,0,0,4,0,0,40,0,0,1,0,0,0,0,0,1,0,41
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,60,1,0,0,0,1,4,0,0,66,0,0,0,0,0,0,0,0,0,0,66
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1518,134,3,0,0,12,7,0,0,1674,8,16,35,1,1,1,0,0,62,0,1736
AG92-OFFICE OF THE ADMINISTRATIVE LAW JUDGE,15,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17
AG98-OFFICE OF OPERATIONS,280,15,28,3,0,11,3,0,0,340,13,2,18,0,0,0,0,0,33,0,373
AGAW-ALTERNATIVE AGR RES AND COMMERCIALIZ CTR,5,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
AGCA-BOARD OF CONTRACT APPEALS,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
AGDB-OFC OF SMALL AND DISADV BUS UTILIZATION,8,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,9
AGDM-MANAGEMENT SUPPORT STAFF,70,0,0,0,0,1,0,0,0,71,0,0,1,0,0,0,0,0,1,0,72
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,15,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,1,0,16
AGFA-FARM SERVICE AGENCY,5250,306,8,5,0,10,6,9,0,5594,18,244,23,44,0,22,3,0,354,0,5948
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,234,8,0,0,0,8,4,1,0,255,1,0,2,0,0,0,1,0,4,0,259
AGNA-NATIONAL APPEALS DIVISION,123,4,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,127
"AGPA-POLICY, ANALYSIS, AND COORDINATION CENTR",160,3,0,0,0,0,6,1,0,170,14,6,48,2,0,6,0,0,76,0,246
AH01-NATIONAL ENDOWMENT FOR THE ARTS,105,11,0,0,0,0,2,2,0,120,2,17,4,7,16,0,0,0,46,0,166
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,97,1,1,52,0,1,5,3,0,160,1,1,2,2,20,1,0,0,27,0,187
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,23,0,0,2,0,3,0,0,0,28,0,0,1,0,15,2,0,0,18,0,46
AI00-U.S. INSTITUTE OF PEACE,0,0,0,0,0,17,0,0,0,17,0,0,0,0,2,52,0,0,54,0,71
AMAG-AGENCY FOR INTERNATIONAL DEVELOPMENT,1016,27,27,4,0,1112,30,7,0,2223,6,3,7,3,10,116,0,0,145,0,2368
AMPC-OVERSEAS PRIVATE INVESTMENT CORPORATION,79,61,18,0,0,14,0,0,0,172,0,0,1,0,9,5,0,0,15,0,187
AN00-AFRICAN DEVELOPMENT FOUNDATION,21,1,0,0,0,2,0,0,0,24,1,0,0,1,0,0,0,0,2,0,26
AP00-APPALACHIAN REGIONAL COMMISSION,7,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,0,0,3,0,10
ARAE-ACQUISITION EXECUTIVE SUPPORT AGENCY,1925,20,3,9,0,21,10,0,0,1988,35,1,21,0,0,0,1,0,58,0,2046
ARAS-US ARMY INTELLIGENCE AND SECURITY CMD,26,0,15,0,0,1601,0,0,0,1642,0,7,0,0,0,35,0,0,42,0,1684
ARAU-U.S. ARMY AUDIT AGENCY,537,58,1,0,0,8,2,0,0,606,0,1,0,0,0,0,0,0,1,0,607
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,335,29,3,0,0,26,0,0,0,393,4,3,2,0,0,1,0,0,10,0,403
ARCE-US ARMY CORPS OF ENG (EXC CIV PRG FIN),30480,1143,356,388,0,340,42,1,0,32750,1118,89,1193,0,1,42,0,0,2443,0,35193
ARCS-IMMEDIATE OFC OF CHIEF OF STAFF OF ARMY,592,3,4,1,0,108,8,0,0,716,6,0,4,0,0,2,0,0,12,0,728
ARCZ-U.S. ARMY INFORMATION SYSTEMS COMMAND,22,2,0,0,0,1,0,0,0,25,11,9,0,0,0,1,0,0,21,0,46
ARE1-IMM OFC CMD-IN-CH US ARMY EUR & SEV ARMY,1714,384,38,0,0,542,4,0,0,2682,517,1297,41,0,0,6,0,0,1861,0,4543
ARE2-21ST THEATER ARMY AREA COMMAND,192,23,9,0,0,53,0,0,0,277,48,47,0,0,0,0,0,0,95,0,372
ARE3-U.S. ARMY SOUTHERN EUROPEAN TASK FORCE,107,26,5,0,0,33,0,0,0,171,15,59,0,0,0,0,0,0,74,0,245
ARE5-U.S. ARMY V CORPS,147,17,11,0,0,57,0,0,0,232,44,57,0,0,0,1,0,0,102,0,334
AREB-1ST PERSONNEL COMMAND,91,40,0,0,0,147,0,0,0,278,82,90,0,0,0,1,0,0,173,0,451
"ARED-US MIL COMMUNITY ACTIVITY, HEIDELBERG",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AREN-SEVENTH ARMY TRAINING COMMAND,215,79,4,0,0,102,0,0,0,400,43,195,0,0,0,0,0,0,238,0,638
ARFC-U.S. ARMY FORCES COMMAND,14759,813,104,3,0,884,3,0,0,16566,942,72,26,0,0,77,0,0,1117,0,17683
ARGB-OFC OF CHIEF OF NAT GUARD BUREAU,313,9,5,1,0,5,1,0,0,334,23,0,0,0,0,0,0,0,23,0,357
ARHR-U.S. ARMY RESERVE COMMAND,7871,596,16,1,0,785,0,0,0,9269,305,1,5,0,0,0,0,0,311,0,9580
ARHS-U.S. ARMY HEALTH SERVICES COMMAND,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
ARJ1-U.S. ARMY ELEMENT SHAPE,12,7,2,0,0,23,0,0,0,44,4,27,0,0,0,1,0,0,32,0,76
ARJA-JOINT ACTIVITIES,518,59,14,0,0,294,0,0,0,885,90,83,5,0,0,122,0,0,300,0,1185
ARMA-U.S. MILITARY ACADEMY,1595,159,20,0,0,36,0,0,0,1810,51,106,4,0,0,7,0,0,168,0,1978
ARMC-U.S. ARMY MEDICAL COMMAND,20243,2638,119,2,0,909,10,0,0,23921,1099,594,49,0,0,186,0,0,1928,0,25849
ARMP-U.S. TOTAL ARMY PERSONNEL COMMAND,1743,51,2,0,0,120,3,0,0,1919,41,0,13,0,0,1,0,0,55,0,1974
ARMT-MILITARY TRAFFIC MANAGEMENT COMMAND,1994,58,17,7,0,59,2,0,0,2137,113,9,23,0,0,1,0,0,146,0,2283
ARMW-US ARMY MIL DISTRICT OF WASHINGTON,2421,133,26,1,0,89,0,0,0,2670,72,2,9,0,0,3,0,0,86,0,2756
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),2001,37,3,0,0,19934,0,0,0,21975,8,0,0,0,0,1672,0,0,1680,1,23656
"ARP1-U.S. ARMY, PACIFIC",3064,317,40,0,0,140,0,0,0,3561,153,32,3,0,0,0,0,0,188,0,3749
ARP8-EIGHTH U.S. ARMY,823,74,8,0,0,97,0,0,0,1002,53,84,1,0,0,11,0,0,149,0,1151
ARPC-MILITARY ENTRANCE PROCESSING COMMAND,1063,109,5,0,0,71,0,0,0,1248,26,1,0,0,0,1,0,0,28,0,1276
ARRC-U.S. ARMY RECRUITING COMMAND,1102,65,5,1,0,46,0,0,0,1219,35,0,1,0,0,0,0,0,36,0,1255
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,488,4,7,0,0,3,38,6,0,546,3,0,6,9,9,67,1,0,95,0,641
ARSB-FLD OPERATING OFC OF OFC OF SEC OF ARMY,2265,427,20,27,0,129,0,0,0,2868,38,10,62,1,0,5,1,0,117,0,2985
ARSC-US ARMY SPACE AND STRATEGIC DEFENSE CMD,940,14,5,8,0,56,8,0,0,1031,54,7,1,0,0,1,0,0,63,0,1094
ARSE-FLD OP AG OF ARMY STAFF RESOURCED OA-22,1034,256,34,32,0,50,3,0,0,1409,35,3,7,0,0,6,0,0,51,0,1460
ARSF-FLD OPERATING AGENCIES OF THE ARMY STAFF,1698,29,13,5,0,91,5,0,0,1841,129,6,2,0,0,70,0,0,207,0,2048
"ARSJ-JT SERV & ACT SUP BY OFC, SEC OF ARMY",1128,16,34,1,0,60,2,1,0,1242,5,3,9,0,0,2,0,0,19,0,1261
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),811,59,11,0,0,129,0,0,0,1010,50,0,1,0,0,2,0,0,53,0,1063
"ARSS-STAFF SUP AGENCIES OF CHF OF STAFF, ARMY",58,1,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,59
ARSU-U.S. ARMY SOUTHERN COMMAND,244,20,107,0,0,373,1,0,7,752,30,0,0,0,0,197,0,0,227,0,979
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,16591,843,692,7,0,742,9,0,0,18884,923,200,77,0,0,34,0,0,1234,0,20118
"ARX2-HEADQUARTERS, AMC",780,1,25,0,0,5,12,0,0,823,1,0,0,0,0,1,0,0,2,0,825
"ARX3-HQ, STAFF SUPPORT ACTIVITIES, AMC",108,5,0,0,0,0,0,0,0,113,0,0,2,0,0,0,0,0,2,0,115
"ARX4-TRAINING ACTIVITIES, AMC",21,12,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,33
"ARX5-U.S. ARMY MATERIEL COMMAND, ALL OTHERS",331,1,0,7,0,4,2,0,0,345,0,0,1,0,0,0,0,0,1,0,346
ARX6-U.S. ARMY MISSILE COMMAND,7248,116,35,0,0,125,15,0,0,7539,67,5,3,0,0,11,0,0,86,0,7625
ARX7-U.S. ARMY TANK-AUTOMOTIVE & ARMAMENT CMD,7685,58,42,18,0,62,15,0,0,7880,16,4,1,0,0,1,0,0,22,0,7902
ARX8-US ARMY COMMUNICATIONS ELECTRONICS CMD,7050,152,45,1,0,109,11,0,0,7368,97,1,2,0,0,0,0,0,100,0,7468
"ARX9-U.S. ARMY SIMUL, TRAING AND INSTRUM CMD",438,4,1,2,0,40,1,0,0,486,15,0,3,0,0,0,0,0,18,0,504
ARXA-US ARMY CHEMICAL AND BIOLOGICAL DEF CMD,2515,29,6,0,0,45,4,0,0,2599,19,0,1,0,0,0,0,0,20,0,2619
ARXB-U.S. ARMY AVIATION AND TROOP COMMAND,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
ARXC-U.S. ARMY SOLDIERS SYSTEM COMMAND (SSC),851,29,4,0,0,8,1,0,0,893,10,0,18,0,0,0,0,0,28,0,921
ARXD-U.S. ARMY RESEARCH LABORATORY COMMAND,2039,46,10,7,0,32,10,0,0,2144,9,2,2,0,0,0,0,0,13,0,2157
ARXK-MATERIEL ACQUISITION ACTIVITIES,191,2,5,0,0,16,4,0,0,218,3,0,0,0,0,0,0,0,3,0,221
ARXL-MATERIEL ACQUISITION PROJECT MANAGERS,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
ARXM-U.S. ARMY TEST AND EVALUATION COMMAND,5231,167,18,5,0,77,4,0,0,5502,99,3,3,0,0,5,0,0,110,0,5612
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,401,70,3,0,0,5,1,0,0,480,9,0,0,0,0,0,0,0,9,0,489
ARXQ-U.S. ARMY INDUSTRIAL OPERATIONS COMMAND,18536,388,94,4,0,128,2,0,0,19152,575,8,17,0,0,16,0,0,616,0,19768
ARXX-MATERIEL READINESS ACTIVITIES,818,8,3,0,0,13,1,0,0,843,26,7,0,0,0,0,0,0,33,0,876
AU00-FEDERAL LABOR RELATIONS AUTHORITY,87,9,82,0,0,5,15,0,0,198,0,1,5,2,11,6,0,0,25,0,223
AW00-ARCTIC RESEARCH COMMISSION,2,0,0,0,0,0,1,0,0,3,0,0,0,0,3,4,0,0,7,0,10
BD00-MERIT SYSTEMS PROTECTION BOARD,85,6,51,0,0,62,9,4,0,217,3,10,1,0,3,10,0,0,27,0,244
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,26,2,11,0,0,49,6,0,0,94,0,0,0,0,6,0,0,0,6,0,100
BG00-PENSION BENEFIT GUARANTY CORPORATION,528,92,80,0,0,1,0,0,0,701,4,3,36,6,0,0,0,0,49,0,750
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUND,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
BO00-OFFICE OF MANAGEMENT AND BUDGET,297,72,33,1,0,2,54,10,0,469,0,2,11,17,3,4,1,0,38,0,507
BT00-ARCHITECTL & TRANS BARRIER COMPLIANCE BD,24,2,4,0,0,0,0,0,0,30,0,0,1,0,3,10,0,0,14,0,44
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,0,0,0,0,9,0,0,0,13,0,0,0,0,4,10,0,0,14,0,27
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATN,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,0,0,11,0,12
CC00-COMMISSION ON CIVIL RIGHTS,50,6,8,0,0,0,2,2,0,68,0,1,1,7,2,7,0,0,18,0,86
CE00-COUNCIL OF ECONOMIC ADVISERS,6,1,0,0,0,14,0,0,0,21,0,0,0,5,2,1,0,0,8,0,29
CF00-COMMISSION OF FINE ARTS,6,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,7
CG00-NATIONAL EDUCATION GOALS PANEL,2,2,0,0,0,2,0,0,0,6,0,0,0,0,0,3,0,0,3,0,9
CM33-TECHNOLOGY ADMINISTRATION,23,5,0,0,0,0,2,3,0,33,3,0,9,1,0,1,0,0,14,0,47
CM51-OFFICE OF THE SECRETARY,504,25,140,7,0,4,23,20,0,723,12,6,12,33,5,1,2,0,71,0,794
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,216,13,14,0,0,2,6,1,0,252,4,0,0,2,1,0,0,0,7,0,259
CM53-BUREAU OF ECONOMIC ANALYSIS,369,42,0,0,0,1,10,0,0,422,2,0,4,0,0,0,0,0,6,0,428
CM54-NAT OCEANIC AND ATMOSPHERIC ADMIN,10477,674,265,46,0,118,96,8,0,11684,207,111,95,4,2,41,0,0,460,0,12144
CM55-INTERNATIONAL TRADE ADMINISTRATION,1074,218,29,28,0,162,16,11,4,1542,29,1,11,8,5,91,0,0,145,0,1687
CM56-PATENT AND TRADEMARK OFFICE,4126,1122,349,1,0,26,36,0,0,5660,53,2,39,2,2,6,2,0,106,0,5766
CM57-NATL INSTITUTE OF STANDARDS AND TECH,2564,334,7,11,0,9,55,0,0,2980,95,119,207,0,1,17,0,0,439,0,3419
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,82,6,0,0,0,1,0,3,0,92,2,0,2,1,0,0,0,1,6,0,98
