Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",647,39,41,4,0,28,55,8,1,823,5,5,4,8,4,2,0,0,28,0,851
AF0R-PACIFIC AIR FORCES,2534,257,15,5,0,65,0,0,0,2876,58,219,1,0,0,4,0,0,282,0,3158
"AF0U-AIR FORCE INTELLIGENCE, SURVEILLANCE, & RECONNAISSANCE AGENCY",0,0,0,11,0,2105,0,0,0,2116,0,1,0,0,0,56,0,0,57,0,2173
AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND,541,121,11,3,0,84,1,0,0,761,68,44,10,0,0,4,0,0,126,0,887
AF11-AIR FORCE MANPOWER AGENCY,167,68,0,0,0,12,0,0,0,247,1,0,0,0,0,0,0,0,1,0,248
"AF1A-AIR FORCE C2 & INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE",37,11,0,0,0,11,1,0,0,60,3,0,0,0,0,0,0,0,3,0,63
AF1C-AIR COMBAT COMMAND,7902,1326,28,23,0,507,1,0,0,9787,263,275,57,0,0,2,0,0,597,0,10384
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
AF1L-AIR MOBILITY COMMAND,5968,1032,15,9,0,231,1,0,0,7256,298,386,78,0,0,2,0,0,764,0,8020
AF1M-AIR FORCE MATERIEL COMMAND,46919,6081,385,1245,0,1195,56,0,1,55882,426,125,198,0,0,16,0,0,765,0,56647
AF1P-AIR FORCE REAL PROPERTY AGENCY,107,4,7,0,0,1,1,0,0,120,0,0,0,0,0,0,0,0,0,0,120
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,25,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,1,0,26
AF1S-SPACE COMMAND,5066,588,44,51,0,693,0,0,0,6442,116,42,51,0,0,9,0,0,218,0,6660
AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,85,8,2,0,0,1,0,0,0,96,17,1,1,0,0,0,0,0,19,0,115
AF1Y-AIR FORCE CIVILIAN CAREER TRAINING,320,142,34,674,0,45,0,0,0,1215,2,0,0,0,0,0,0,0,2,0,1217
AF21-AIR FORCE NUCLEAR WEAPONS AGENCY,14,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
AF24-HQ USAF DIRECT SUPPORT ELEMENT,254,29,0,2,0,16,2,0,0,303,0,0,1,0,0,39,0,0,40,0,343
AF25-AF-WIDE SUPPORT ELEMENT,190,4,16,7,0,76,0,0,0,293,15,13,2,0,0,8,2,0,40,0,333
AF27-AIR FORCE AGENCY FOR MODELING AND SIMULATION,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
AF29-AIR FORCE NATIONAL SECURITY EMERGENCY PREPAREDNESS,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
AF2A-AIR FORCE COST CENTER,52,3,0,2,0,0,0,0,0,57,2,0,0,0,0,0,0,0,2,0,59
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,69,9,1,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,79
AF2E-AIR FORCE LEGAL SERVICES CENTER,68,7,44,1,0,7,0,0,0,127,0,11,3,0,0,0,0,0,14,0,141
AF2F-AIR FORCE MEDICAL SERVICES CENTER,80,1,2,0,0,0,0,0,0,83,2,0,1,0,0,0,0,0,3,0,86
AF2G-AIR FORCE SERVICE INFORMATION AND NEWS CENTER,67,0,0,0,0,2,0,0,0,69,1,0,0,0,0,0,0,0,1,0,70
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,401,24,5,0,0,5,1,0,0,436,11,0,4,0,0,0,0,0,15,0,451
AF2K-U.S. AIR FORCE HISTORICAL RESEARCH CENTER,31,4,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,36
AF2M-AIR FORCE REVIEW BOARDS OFFICE,35,1,3,2,0,0,1,0,0,42,0,0,1,0,0,0,0,0,1,0,43
AF2Q-AIR WEATHER SERVICE,159,2,0,0,0,9,0,0,0,170,0,0,0,0,0,0,0,0,0,0,170
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,13,3,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,17
AF2S-HQ NORAD,25,0,0,0,0,14,0,0,0,39,0,0,0,0,0,0,0,0,0,0,39
AF2T-AIR FORCE SUPPLY CENTER,43,3,1,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,1,0,48
"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",164,6,6,0,0,2,0,0,0,178,0,0,0,0,0,0,0,0,0,0,178
AF2W-11TH WING,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,79,1,0,0,0,0,0,0,0,80,0,0,4,0,0,0,0,0,4,0,84
AF34-AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5),602,88,0,2,0,16,0,0,0,708,20,0,4,0,0,0,0,0,24,0,732
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",95,0,1,0,0,142,2,0,0,240,8,14,0,0,0,12,0,0,34,0,274
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",474,2,2,2,0,147,5,0,0,632,32,0,0,0,0,4,0,0,36,0,668
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND",24,1,0,0,0,75,0,0,0,100,16,0,0,0,0,13,0,0,29,0,129
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",456,7,1,7,0,257,4,0,0,732,4,0,13,0,0,3,0,0,20,0,752
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",312,31,7,2,0,53,6,0,0,411,5,0,4,0,0,0,0,0,9,0,420
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",300,18,5,3,0,339,1,0,0,666,5,8,5,0,0,10,0,0,28,0,694
AF3W-AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE,350,1,5,0,0,2,1,0,0,359,15,7,0,0,0,0,0,0,22,0,381
AF3Y-AIR FORCE FREQUENCY MANAGEMENT AGENCY,18,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21
"AF4D-AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND",347,12,3,1,0,99,4,0,0,466,5,1,0,0,0,3,0,0,9,0,475
AF4W-AIR FORCE DISTRICT OF WASHINGTON,1087,161,5,16,0,24,0,0,0,1293,22,0,30,0,0,0,0,0,52,0,1345
AF5J-AIR FORCE FINANCIAL SERVICES,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
AF5K-AIR FORCE PETROLEUM AGENCY,18,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),195,112,0,0,0,20049,0,0,0,20356,6,82,0,0,0,2478,0,0,2566,0,22922
"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",1,1,0,0,0,212,0,0,0,214,0,2,0,0,0,46,0,0,48,0,262
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,13,2,0,0,0,0,1,19,0,35,0,1,6,27,12,0,0,1,47,0,82
AG02-AGRICULTURAL MARKETING SERVICE,1914,264,5,38,0,11,10,0,0,2242,3,2429,9,1,0,0,0,0,2442,0,4684
AG03-AGRICULTURAL RESEARCH SERVICE,6015,1011,7,81,0,22,40,0,0,7176,391,328,1145,0,0,16,0,0,1880,0,9056
AG07-RURAL HOUSING SERVICE,5024,511,12,38,0,15,8,1,3,5612,23,0,43,51,0,2,1,0,120,0,5732
AG08-RISK MANAGEMENT AGENCY,426,18,0,22,0,5,2,2,1,476,0,0,4,3,0,6,0,0,13,0,489
AG10-FOREIGN AGRICULTURAL SERVICE,417,27,0,24,1,136,3,3,0,611,0,9,191,3,0,41,0,0,244,0,855
AG11-FOREST SERVICE,24982,3218,68,619,0,408,57,0,0,29352,7220,86,2318,1,0,206,2,0,9833,0,39185
AG13-OFFICE OF COMMUNICATIONS,71,10,0,0,0,0,0,1,0,82,0,1,4,10,0,0,0,0,15,0,97
AG14-OFFICE OF THE GENERAL COUNSEL,85,8,204,0,0,1,20,0,0,318,0,1,3,1,1,0,0,0,6,0,324
AG15-RURAL UTILITIES SERVICE,274,37,0,0,0,6,3,1,1,322,0,0,33,4,1,0,0,0,38,0,360
AG16-NATURAL RESOURCES CONSERVATION SERVICE,10017,997,4,226,0,35,23,4,2,11308,286,343,119,4,0,22,0,0,774,0,12082
AG18-ECONOMIC RESEARCH SERVICE,323,25,0,1,0,1,6,0,0,356,1,0,8,0,0,1,0,0,10,0,366
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,934,118,0,15,0,2,10,0,0,1079,0,0,4,0,0,0,0,0,4,0,1083
"AG22-COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE",275,51,1,0,0,1,10,0,0,338,0,34,4,0,0,4,0,0,42,0,380
AG23-OFFICE OF THE INSPECTOR GENERAL,497,41,8,28,0,3,8,0,0,585,0,0,1,0,1,1,0,0,3,0,588
AG30-FOOD AND NUTRITION SERVICE,1148,110,1,4,0,5,13,1,0,1282,1,0,5,4,0,0,0,0,10,0,1292
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,74,2,0,0,0,0,2,1,0,79,0,0,1,8,0,1,0,0,10,0,89
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,4608,1050,14,42,0,71,32,1,0,5818,528,1795,235,3,0,22,0,0,2583,0,8401
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",551,59,1,10,0,2,3,1,0,627,4,82,4,1,0,0,0,0,91,0,718
AG37-FOOD SAFETY AND INSPECTION SERVICE,7671,1459,21,32,0,3,25,0,0,9211,60,575,23,1,0,2,1,0,662,0,9873
AG38-OFFICE OF THE CHIEF ECONOMIST,45,4,1,0,0,0,5,0,0,55,0,1,3,0,0,0,0,0,4,0,59
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,44,6,0,0,0,0,6,0,0,56,0,0,1,0,0,0,0,0,1,0,57
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1126,61,21,0,0,0,9,0,0,1217,4,0,5,1,1,4,0,0,15,0,1232
AGCR-OFFICE OF CIVIL RIGHTS,119,9,0,1,0,0,1,0,0,130,0,0,9,0,0,0,0,0,9,0,139
AGDA-DEPARTMENTAL ADMINISTRATION,390,28,5,1,0,19,5,1,0,449,3,8,8,1,0,9,1,0,30,0,479
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,20,0,2,2,0,1,0,0,0,25,0,0,1,0,0,0,0,0,1,0,26
AGFA-FARM SERVICE AGENCY,4523,409,7,72,0,19,9,6,1,5046,3,230,18,55,0,2,0,0,308,0,5354
AGHS-HOMELAND SECURITY STAFF,5,6,0,0,0,0,1,0,0,12,0,0,0,1,0,0,0,0,1,0,13
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,849,56,0,7,0,5,6,0,0,923,0,0,5,1,0,0,0,0,6,0,929
AGNA-NATIONAL APPEALS DIVISION,81,20,0,0,0,0,0,0,0,101,1,0,0,0,0,0,0,0,1,0,102
AH01-NATIONAL ENDOWMENT FOR THE ARTS,95,27,0,0,0,0,3,3,0,128,2,15,0,3,19,10,0,0,49,0,177
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,80,8,2,45,0,2,7,3,0,147,1,0,1,4,24,1,0,0,31,0,178
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,35,13,2,0,0,4,0,0,0,54,1,0,0,0,22,9,0,0,32,0,86
AM00-AGENCY FOR INTERNATIONAL DEVELOPMENT,829,105,43,0,0,797,22,0,0,1796,12,17,1,0,8,594,0,0,632,0,2428
AN00-AFRICAN DEVELOPMENT FOUNDATION,13,4,4,0,0,2,0,0,0,23,1,0,0,0,0,5,0,0,6,0,29
AP00-APPALACHIAN REGIONAL COMMISSION,5,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,0,0,3,0,9
AR**-UNSPECIFIED,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
AR3A-U.S. ARMY CENTRAL,133,22,2,0,0,3,0,0,0,160,21,8,0,0,0,0,0,0,29,0,189
AR5A-U.S. ARMY NORTH,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
ARAC-U.S. ARMY CONTRACTING AGENCY,1526,152,23,64,0,30,3,0,0,1798,7,10,14,0,0,1,0,0,32,0,1830
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,3316,236,6,71,0,72,11,0,0,3712,37,14,42,0,0,12,0,0,105,0,3817
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,0,0,1,0,0,2080,0,0,0,2081,0,0,0,0,0,20,0,0,20,0,2101
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,3509,248,7,143,0,93,6,0,0,4006,51,0,28,0,0,13,0,0,92,0,4098
ARAU-U.S. ARMY AUDIT AGENCY,511,1,0,57,0,17,3,0,0,589,0,1,0,0,0,0,0,0,1,0,590
ARBA-U.S. ARMY INSTALLATION MANAGEMENT COMMAND,25302,4217,266,78,0,1496,7,0,0,31366,1459,638,75,0,0,729,0,0,2901,0,34267
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,482,0,3,7,0,17,0,0,0,509,24,1,0,0,0,2,0,0,27,0,536
ARCE-U.S. ARMY CORPS OF ENGINEERS,25930,1590,361,623,0,243,34,0,0,28781,1367,301,699,0,2,21,1,0,2391,2,31174
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,972,3,12,0,0,155,24,0,0,1166,6,0,9,0,0,6,1,0,22,0,1188
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,435,124,24,0,0,77,6,0,0,666,55,95,0,0,0,4,1,0,155,0,821
ARE2-21ST THEATER ARMY AREA COMMAND,176,68,0,0,0,4,0,0,0,248,19,71,0,0,0,0,0,0,90,0,338
ARE3-U.S. ARMY SOUTHERN EURPOEAN TASK FORCE,20,6,0,0,0,1,0,0,0,27,4,9,0,0,0,0,0,0,13,0,40
ARE5-U.S. ARMY V CORPS,103,35,9,0,0,7,0,0,0,154,15,45,0,0,0,0,0,0,60,0,214
AREB-1ST PERSONNEL COMMAND,191,37,0,0,0,18,0,0,0,246,15,61,0,0,0,0,0,0,76,0,322
AREN-SEVENTH ARMY TRAINING COMMAND,213,58,0,0,0,13,0,0,0,284,19,19,0,0,0,0,0,0,38,0,322
ARFC-U.S. ARMY FORCES COMMAND,1864,276,30,2,0,172,3,0,0,2347,270,168,0,0,0,253,0,0,691,0,3038
ARFL-U.S. ARMY SOUTH COMMAND,164,0,3,0,0,6,0,0,0,173,16,4,0,0,0,1,0,0,21,0,194
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,1505,173,5,1,0,74,1,0,0,1759,18,38,1,0,0,2,0,0,59,0,1818
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,367,9,1,1,0,8,0,0,0,386,1,0,12,0,0,0,0,0,13,0,399
ARHR-U.S. ARMY RESERVE COMMAND,5337,1615,5,1,0,914,1,0,0,7873,208,1,1,0,0,41,0,0,251,0,8124
ARJ1-U.S. ARMY ELEMENT SHAPE,18,11,0,0,0,19,0,0,0,48,0,13,0,0,0,0,0,0,13,0,61
ARJA-JOINT ACTIVITIES,614,192,5,0,0,548,7,0,0,1366,69,42,1,0,0,50,0,0,162,0,1528
ARMA-U.S. MILITARY ACADEMY,409,66,11,0,0,10,0,0,0,496,23,163,0,0,0,15,0,0,201,0,697
ARMC-U.S. ARMY MEDICAL COMMAND,20470,6532,62,13,0,844,6,0,0,27927,1468,543,72,0,0,169,0,0,2252,2,30181
ARMP-U.S. ARMY HUMAN RESOURCES COMMAND,1776,175,5,2,0,36,1,0,0,1995,11,1,5,0,0,0,0,0,17,0,2012
ARMT-MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,1050,130,9,4,0,30,0,0,0,1223,14,4,13,0,0,1,0,0,32,0,1255
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,277,86,4,0,0,16,1,0,0,384,8,1,0,0,0,0,0,0,9,0,393
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1336,182,3,0,0,21705,0,0,0,23226,23,672,0,0,0,4089,0,0,4784,2,28012
"ARP1-U.S. ARMY, PACIFIC",527,37,5,0,0,87,0,0,0,656,63,7,0,0,0,5,0,0,75,0,731
ARP8-EIGHTH U.S. ARMY,338,82,1,0,0,19,0,0,0,440,10,26,0,0,0,5,0,0,41,0,481
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,645,0,20,3,0,11,40,11,0,730,6,5,7,15,7,80,4,0,124,0,854
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,880,175,12,1288,0,117,1,0,0,2473,11,3,3,0,0,1,0,0,18,1,2492
ARSC-U.S. ARMY SPACE AND STRATEGIC DEFENSE COMMAND,702,44,10,22,0,47,7,0,0,832,29,2,5,0,0,3,0,0,39,0,871
ARSE-FIELD OPERATING AGENCIES OF THE ARMY STAFF RESOURCED THROUGH OA-22,3152,101,53,50,0,55,3,0,0,3414,30,33,28,0,0,7,0,0,98,1,3513
ARSF-FIELD OPERATING AGENCIES OF THE ARMY STAFF,31,8,25,0,0,5,1,0,0,70,1,1,0,0,0,1,0,0,3,0,73
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",819,39,27,0,0,38,0,0,0,923,9,104,7,0,0,32,0,0,152,0,1075
ARSO-U.S. ARMY SOUTH,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,1,0,0,1,0,15
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),740,224,5,6,0,171,0,0,0,1146,140,6,20,0,0,23,0,0,189,0,1335
ARTA-U.S. ARMY ACCESSIONS COMMAND,1964,212,9,5,0,127,0,0,0,2317,66,1,1,0,0,1,0,0,69,0,2386
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,6313,2155,516,25,0,623,10,0,0,9642,378,1251,75,0,0,281,0,0,1985,1,11628
ARTM-U.S. MILITARY ENTRANCE PROCESSING COMMAND,1155,617,2,2,0,161,0,0,0,1937,24,2,6,0,0,0,0,0,32,0,1969
ARTW-U.S. ARMY WAR COLLEGE,173,49,0,1,0,15,0,0,0,238,2,57,2,0,0,8,0,0,69,0,307
"ARX2-HEADQUARTERS, AMC",508,33,15,1,0,3,13,0,0,573,5,0,3,0,0,0,0,0,8,0,581
"ARX3-HEADQUARTERS, STAFF SUPPORT ACTIVITIES, AMC",26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
"ARX4-TRAINING ACTIVITIES, AMC",142,92,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,234
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,6719,1277,40,183,0,171,7,0,0,8397,101,3,20,0,0,1,0,0,125,0,8522
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),8992,1680,60,403,0,380,4,0,0,11519,1761,595,130,0,0,22,0,0,2508,0,14027
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,5390,1099,48,451,0,166,3,0,0,7157,130,1,59,0,0,0,0,0,190,0,7347
ARXB-U.S. ARMY CHEMICAL MATERIALS AGENCY,1784,445,5,16,0,66,0,0,0,2316,123,29,1,0,0,0,0,0,153,0,2469
ARXC-U.S. ARMY SUSTAINMENT COMMAND,870,81,21,2,0,17,3,0,0,994,19,46,0,0,0,52,1,0,118,0,1112
ARXK-MATERIEL ACQUISITION ACTIVITIES,71,0,0,0,0,22,0,0,0,93,0,0,0,0,0,1,0,0,1,0,94
ARXL-MATERIEL ACQUISITION PROJECT MANAGERS,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,379,16,0,3,0,5,1,0,0,404,23,0,4,0,0,0,0,0,27,0,431
ARXQ-U.S. ARMY JOINT MUNITIONS COMMAND,3199,691,24,37,0,86,1,0,0,4038,417,7,16,0,0,0,0,0,440,1,4479
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",10972,1069,35,821,0,225,32,0,2,13156,201,8,208,0,0,7,0,0,424,1,13581
ARXT-U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,10,3,0,0,0,1,0,0,0,14,0,1,0,0,0,0,0,0,1,0,15
ARXX-MATERIEL READINESS ACTIVITIES,354,17,0,0,0,1,0,0,0,372,1,0,1,0,0,1,0,0,3,0,375
AU00-FEDERAL LABOR RELATIONS AUTHORITY,57,1,54,0,0,1,8,0,0,121,0,0,0,1,12,1,0,0,14,0,135
AW00-ARCTIC RESEARCH COMMISSION,2,2,0,0,0,0,1,0,0,5,0,2,0,0,0,4,0,0,6,0,11
BD00-MERIT SYSTEMS PROTECTION BOARD,80,10,80,0,0,31,10,3,0,214,0,0,0,3,3,0,0,0,6,0,220
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,18,4,9,0,0,44,10,0,0,85,0,0,0,0,5,0,0,0,5,0,90
BG00-PENSION BENEFIT GUARANTY CORPORATION,528,183,90,4,1,2,0,0,0,808,2,4,31,1,0,1,0,0,39,0,847
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
BO00-OFFICE OF MANAGEMENT AND BUDGET,262,76,33,1,0,0,51,12,0,435,1,2,10,22,6,0,0,0,41,0,476
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,21,0,4,0,0,0,2,0,0,27,0,0,0,0,13,0,0,0,13,0,40
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,0,0,0,0,8,0,0,0,12,0,0,0,0,11,2,0,0,13,0,25
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,9,0,0,13,0,14
CC00-COMMISSION ON CIVIL RIGHTS,23,4,7,0,0,0,1,1,0,36,0,0,1,5,5,3,0,0,14,0,50
CE00-COUNCIL OF ECONOMIC ADVISERS,4,0,0,0,0,0,1,0,0,5,0,0,0,3,1,15,0,0,19,0,24
CF00-COMMISSION OF FINE ARTS,6,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,8
CM33-TECHNOLOGY ADMINISTRATION,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
CM51-OFFICE OF THE SECRETARY,480,76,140,13,0,2,29,11,0,751,2,6,12,42,5,0,0,0,67,0,818
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,119,9,11,1,0,1,7,3,0,151,5,0,4,4,1,1,0,0,15,0,166
CM53-BUREAU OF ECONOMIC ANALYSIS,376,83,1,10,0,1,8,0,0,479,1,1,2,0,0,2,0,0,6,0,485
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,10279,1243,433,77,0,59,107,7,0,12205,135,23,99,6,1,31,1,0,296,0,12501
CM55-INTERNATIONAL TRADE ADMINISTRATION,1077,105,16,6,0,167,22,12,0,1405,6,12,6,35,4,78,1,0,142,0,1547
CM56-PATENT AND TRADEMARK OFFICE,5262,1246,580,1569,0,133,49,1,0,8840,0,1,33,5,1,22,0,0,62,0,8902
CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2150,372,0,6,0,1,29,0,0,2558,102,143,121,0,0,8,0,0,374,0,2932
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,65,4,0,0,0,0,1,2,0,72,2,0,0,0,0,0,0,0,2,0,74
CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,186,33,13,2,0,0,7,2,0,243,0,9,21,2,1,0,0,0,33,0,276
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,122,1,0,0,0,0,2,0,0,125,0,0,0,0,0,0,0,0,0,0,125
