Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
"AF1A-AIR FORCE C2 & INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE",30,7,0,0,0,5,1,0,0,43,6,0,4,0,0,0,0,0,10,0,53
AF1C-AIR COMBAT COMMAND,6730,1446,28,16,0,458,0,0,0,8678,247,204,79,0,0,3,0,0,533,0,9211
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,15,3,0,0,0,0,0,0,0,18,3,0,1,0,0,0,0,0,4,0,22
AF1L-AIR MOBILITY COMMAND,6078,1198,21,15,0,202,0,0,0,7514,282,361,126,0,0,4,0,0,773,0,8287
AF1M-AIR FORCE MATERIEL COMMAND,43831,6315,395,843,0,902,49,1,0,52336,410,162,602,0,0,34,0,0,1208,1,53545
AF1P-AIR FORCE REAL PROPERTY AGENCY,106,5,5,0,0,1,0,0,0,117,0,0,0,0,0,0,0,0,0,0,117
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,30,1,0,0,0,1,0,0,0,32,6,0,0,0,0,0,0,0,6,0,38
AF1S-SPACE COMMAND,4834,823,43,22,0,157,4,0,0,5883,152,55,113,0,0,6,0,0,326,0,6209
AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,96,4,2,0,0,0,0,0,0,102,9,0,1,0,0,0,0,0,10,0,112
AF27-AIR FORCE AGENCY FOR MODELING AND SIMULATION,11,2,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,14
AF29-AIR FORCE NATIONAL SECURITY EMERGENCY PREPAREDNESS,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
AF2A-AIR FORCE COST CENTER,25,8,0,0,0,1,0,0,0,34,1,0,0,0,0,0,0,0,1,0,35
AF2B-AIR FORCE DOCTRINE CENTER,10,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,3
AF2E-AIR FORCE LEGAL SERVICES CENTER,39,5,30,1,0,1,0,0,0,76,4,9,9,0,0,0,0,0,22,0,98
AF2F-AIR FORCE MEDICAL SERVICES CENTER,60,8,1,0,0,0,0,0,0,69,2,0,3,0,0,0,0,0,5,0,74
AF2G-AIR FORCE SERVICE INFORMATION AND NEWS CENTER,49,12,0,0,0,0,0,0,0,61,2,0,2,0,0,0,0,0,4,0,65
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,349,54,7,2,0,4,1,0,0,417,8,0,27,0,0,0,0,0,35,0,452
AF2K-U.S. AIR FORCE HISTORICAL RESEARCH CENTER,35,3,0,0,0,0,0,0,0,38,8,0,2,0,0,0,0,0,10,0,48
AF2M-AIR FORCE REVIEW BOARDS OFFICE,31,4,2,0,0,0,1,0,0,38,6,0,4,0,0,0,0,0,10,0,48
AF2N-AIR FORCE CENTER FOR STUDIES AND ANALYSES,17,8,0,0,0,0,1,0,0,26,1,0,0,0,0,0,0,0,1,0,27
AF2Q-AIR WEATHER SERVICE,122,23,0,5,0,7,0,0,0,157,22,0,3,0,0,0,0,0,25,0,182
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,3,1,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,6
AF2S-HQ NORAD,14,4,0,0,0,12,0,0,0,30,1,1,0,0,0,0,0,0,2,0,32
AF2T-AIR FORCE SUPPLY CENTER,38,6,0,0,0,0,1,0,0,45,0,0,1,0,0,0,0,0,1,0,46
"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",149,11,4,0,0,0,0,0,0,164,3,0,3,0,0,0,0,0,6,0,170
AF2V-AIR FORCE DISPOSAL AGENCY,37,1,5,0,0,1,0,0,0,44,0,0,1,0,0,0,0,0,1,0,45
AF2W-AIR FORCE DISTRICT OF WASHINGTON,781,120,6,13,0,88,2,0,0,1010,93,23,89,0,0,46,0,0,251,0,1261
AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,164,14,1,0,0,1,0,0,0,180,0,0,1,0,0,0,0,0,1,0,181
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,33,5,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,2,0,40
AF34-AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5),608,96,1,2,0,29,0,0,0,736,12,3,6,0,0,0,0,0,21,0,757
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",47,11,1,0,0,137,1,0,0,197,2,17,0,0,0,3,0,0,22,0,219
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",252,58,0,2,0,116,1,0,0,429,27,1,0,0,0,0,0,0,28,0,457
"AF3G-AIR FORCE ELEMENTS, EUROPE",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND",18,5,1,0,0,63,0,0,0,87,8,0,0,0,0,16,0,0,24,0,111
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",241,102,2,6,0,295,2,0,0,648,6,0,0,0,0,2,0,0,8,0,656
"AF3S-HEADQUARTERS, U.S. SPACE COMMAND AND NORAD",134,149,5,0,0,93,1,0,0,382,7,4,1,0,0,3,0,0,15,0,397
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",223,18,5,0,0,50,3,0,0,299,7,0,3,0,0,0,0,0,10,0,309
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",236,39,6,3,0,340,2,0,0,626,12,10,9,0,0,4,0,0,35,0,661
AF3W-AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE,287,5,5,0,0,4,1,0,0,302,30,1,3,0,0,0,0,0,34,0,336
AF3Y-AIR FORCE FREQUENCY MANAGEMENT CENTER,11,4,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,16
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),217,6,0,0,0,19640,0,0,1,19864,10,38,0,0,0,2058,0,0,2106,0,21970
"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",1,0,0,0,0,221,0,0,0,222,0,0,0,0,0,65,0,0,65,0,287
AFZS-U.S. SPECIAL OPERATIONS COMMAND (AIR FORCE),708,186,9,8,0,57,0,0,0,968,76,25,19,0,0,7,0,0,127,0,1095
AG**-UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,18,0,0,0,0,0,3,13,0,34,0,0,2,28,10,2,0,0,42,0,76
AG02-AGRICULTURAL MARKETING SERVICE,2099,347,449,57,0,6,10,1,0,2969,8,2490,32,0,0,6,0,0,2536,0,5505
AG03-AGRICULTURAL RESEARCH SERVICE,5914,1318,9,78,0,23,38,0,0,7380,444,398,1230,0,0,21,0,0,2093,0,9473
AG07-RURAL HOUSING SERVICE,5398,614,16,36,0,23,6,2,3,6098,86,4,135,49,0,2,0,0,276,0,6374
AG08-RISK MANAGEMENT AGENCY,454,34,0,6,0,4,1,3,3,505,3,1,9,5,0,5,0,0,23,0,528
AG10-FOREIGN AGRICULTURAL SERVICE,431,68,1,14,1,150,4,2,1,672,0,2,181,4,0,25,0,0,212,0,884
AG11-FOREST SERVICE,25804,4718,71,812,0,540,54,0,1,32000,8419,125,2601,0,0,268,0,0,11413,1,43414
AG13-OFFICE OF COMMUNICATIONS,80,1,0,0,0,0,0,1,0,82,3,3,2,9,0,0,0,0,17,0,99
AG14-OFFICE OF THE GENERAL COUNSEL,96,4,206,0,0,2,18,0,0,326,0,1,3,0,1,0,0,0,5,0,331
AG15-RURAL UTILITIES SERVICE,267,47,0,5,0,0,3,1,3,326,0,0,4,4,1,0,0,0,9,0,335
AG16-NATURAL RESOURCES CONSERVATION SERVICE,9981,1567,11,554,0,40,18,4,3,12178,239,607,234,3,0,37,0,0,1120,0,13298
AG18-ECONOMIC RESEARCH SERVICE,364,34,0,0,0,1,6,0,0,405,4,0,14,0,0,0,0,0,18,0,423
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,934,137,1,6,0,2,10,0,0,1090,2,0,1,0,0,0,0,0,3,0,1093
"AG22-COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE",262,83,1,1,0,1,9,0,0,357,4,54,15,1,0,4,0,0,78,0,435
AG23-OFFICE OF THE INSPECTOR GENERAL,489,30,8,36,0,13,7,0,0,583,2,1,0,0,1,0,0,0,4,0,587
AG30-FOOD AND NUTRITION SERVICE,1283,115,3,8,0,14,13,3,0,1439,15,3,19,2,0,5,0,0,44,0,1483
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,96,5,1,2,0,0,1,1,1,107,0,0,1,3,0,1,0,0,5,0,112
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,3856,1212,20,43,0,93,27,0,0,5251,624,1554,250,2,0,23,0,0,2453,0,7704
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",612,90,1,8,0,1,4,1,0,717,6,38,2,0,0,0,0,0,46,0,763
AG37-FOOD SAFETY AND INSPECTION SERVICE,7865,1292,24,5,0,7,22,0,0,9215,66,864,41,0,0,6,0,0,977,0,10192
AG38-OFFICE OF THE CHIEF ECONOMIST,40,6,1,1,0,0,5,0,0,53,0,1,3,0,0,0,0,0,4,0,57
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,47,5,0,0,0,0,5,0,0,57,0,0,3,0,0,0,0,0,3,0,60
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1440,106,3,1,0,3,7,0,0,1560,2,1,15,0,0,15,0,0,33,0,1593
AGCR-OFFICE OF CIVIL RIGHTS,141,17,0,0,0,0,2,0,0,160,1,0,8,1,0,0,0,0,10,0,170
AGDA-DEPARTMENTAL ADMINISTRATION,406,36,19,2,0,7,5,1,0,476,4,14,13,1,0,4,1,0,37,0,513
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,20,3,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,1,0,24
AGFA-FARM SERVICE AGENCY,5075,590,7,64,0,20,9,6,1,5772,20,236,39,60,0,2,0,0,357,0,6129
AGHS-HOMELAND SECURITY STAFF,3,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,2,0,6
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,268,21,1,2,0,7,3,1,0,303,0,0,2,1,0,0,2,0,5,0,308
AGNA-NATIONAL APPEALS DIVISION,107,5,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,112
AGSC-NATIONAL SHEEP INDUSTRY IMPROVEMENT CENTER,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AH01-NATIONAL ENDOWMENT FOR THE ARTS,102,20,1,0,0,0,3,2,0,128,0,23,0,7,13,2,0,0,45,0,173
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,83,3,1,47,0,2,8,3,0,147,1,0,5,4,25,0,0,0,35,0,182
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,30,11,2,4,0,7,0,0,0,54,0,0,0,0,12,2,0,0,14,0,68
AI00-U.S. INSTITUTE OF PEACE,0,0,0,0,0,9,0,0,0,9,0,0,0,0,8,89,0,0,97,0,106
AM00-AGENCY FOR INTERNATIONAL DEVELOPMENT,816,100,16,2,0,767,23,1,0,1725,12,51,0,0,7,443,0,0,513,0,2238
AN00-AFRICAN DEVELOPMENT FOUNDATION,20,1,0,0,0,2,0,0,0,23,0,0,0,0,0,3,0,0,3,0,26
AP00-APPALACHIAN REGIONAL COMMISSION,4,2,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,4,0,10
AR**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ARAC-U.S. ARMY CONTRACTING AGENCY,1360,115,14,26,0,24,0,0,0,1539,13,8,4,0,0,2,0,0,27,0,1566
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,2705,183,3,41,0,19,9,0,0,2960,24,19,49,0,0,54,1,0,147,0,3107
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,2,1,2,0,0,1823,0,0,0,1828,0,1,0,0,0,19,0,0,20,0,1848
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,3141,523,10,202,0,83,5,0,0,3964,64,1,32,0,0,7,0,0,104,0,4068
ARAU-U.S. ARMY AUDIT AGENCY,480,46,0,78,0,3,1,0,0,608,0,1,3,0,0,1,0,0,5,0,613
ARBA-U.S. ARMY INSTALLATION MANAGEMENT AGENCY,24391,4939,179,45,0,1437,7,0,0,30998,1984,1895,142,0,0,68,1,0,4090,0,35088
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,343,86,1,7,0,11,0,0,0,448,15,4,0,0,0,2,0,0,21,0,469
ARCE-U.S. ARMY CORPS OF ENGINEERS (EXCEPT CIVIL PROGRAM FINANCING),27277,2774,377,796,0,227,39,0,0,31490,667,110,870,0,3,34,1,0,1685,0,33175
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,752,111,4,0,0,122,19,0,0,1008,6,2,11,0,0,1,0,0,20,0,1028
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,485,128,8,0,0,82,7,0,0,710,51,332,1,0,0,8,0,0,392,0,1102
ARE2-21ST THEATER ARMY AREA COMMAND,212,72,8,0,0,12,0,0,0,304,17,44,0,0,0,2,0,0,63,0,367
ARE3-U.S. ARMY SOUTHERN EURPOEAN TASK FORCE,19,4,4,0,0,2,0,0,0,29,5,6,0,0,0,0,0,0,11,0,40
ARE5-U.S. ARMY V CORPS,188,49,11,0,0,19,0,0,0,267,17,90,0,0,0,2,0,0,109,0,376
AREB-1ST PERSONNEL COMMAND,180,76,0,0,0,36,0,0,0,292,29,98,0,0,0,2,0,0,129,0,421
AREN-SEVENTH ARMY TRAINING COMMAND,231,91,0,0,0,24,0,0,0,346,9,41,0,0,0,0,0,0,50,0,396
ARFC-U.S. ARMY FORCES COMMAND,1515,223,20,0,0,144,2,0,0,1904,149,27,0,0,0,7,0,0,183,0,2087
ARFL-U.S. ARMY SOUTH COMMAND,103,22,2,0,0,25,0,0,0,152,11,0,0,0,0,1,0,0,12,0,164
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,1715,397,6,1,0,122,2,0,0,2243,34,75,2,0,0,2,0,0,113,0,2356
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,343,67,2,0,0,11,1,0,0,424,2,2,4,0,0,0,0,0,8,0,432
ARHR-U.S. ARMY RESERVE COMMAND,5249,1371,6,0,0,590,0,0,0,7216,179,0,2,0,0,0,0,0,181,0,7397
ARJ1-U.S. ARMY ELEMENT SHAPE,25,13,1,0,0,9,0,0,0,48,2,18,0,0,0,1,0,0,21,0,69
ARJA-JOINT ACTIVITIES,635,192,4,1,0,407,2,0,0,1241,94,81,9,0,0,231,0,0,415,0,1656
ARMA-U.S. MILITARY ACADEMY,437,50,13,0,0,3,0,0,0,503,38,125,6,0,0,13,0,0,182,0,685
ARMC-U.S. ARMY MEDICAL COMMAND,18792,5568,62,9,0,524,4,0,0,24959,794,653,77,0,1,142,0,0,1667,1,26627
ARMP-U.S. ARMY HUMAN RESOURCES COMMAND,2079,182,3,0,0,30,1,0,0,2295,21,0,13,0,0,0,0,0,34,0,2329
ARMT-MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,1191,111,10,3,0,34,2,0,0,1351,7,7,12,0,0,2,0,0,28,0,1379
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,325,73,2,0,0,13,1,0,0,414,5,2,1,0,0,0,0,0,8,0,422
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1479,94,2,0,0,18810,0,0,1,20386,68,482,0,0,0,2818,0,0,3368,1,23755
"ARP1-U.S. ARMY, PACIFIC",686,298,7,0,0,106,0,0,0,1097,38,10,1,0,0,1,0,0,50,0,1147
ARP8-EIGHTH U.S. ARMY,419,103,2,0,0,34,0,0,0,558,26,32,0,0,0,16,0,0,74,0,632
ARPC-MILITARY ENTRANCE PROCESSING COMMAND,998,220,3,3,0,41,0,0,0,1265,13,0,0,0,0,0,0,0,13,0,1278
ARRC-U.S. ARMY RECRUITING COMMAND,879,134,5,1,0,33,0,0,0,1052,47,0,0,0,0,1,0,0,48,0,1100
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,539,49,13,0,0,6,35,9,0,651,7,3,7,10,6,64,4,0,101,0,752
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,519,145,0,120,0,25,2,0,0,811,3,10,4,0,0,0,0,0,17,0,828
ARSC-U.S. ARMY SPACE AND STRATEGIC DEFENSE COMMAND,875,77,5,15,0,78,7,0,0,1057,23,1,10,0,0,4,0,0,38,0,1095
ARSE-FIELD OPERATING AGENCIES OF THE ARMY STAFF RESOURCED THROUGH OA-22,3234,970,65,545,0,165,5,0,0,4984,69,46,33,0,0,5,0,0,153,0,5137
ARSF-FIELD OPERATING AGENCIES OF THE ARMY STAFF,44,11,14,0,0,9,0,0,0,78,2,0,1,0,0,0,0,0,3,0,81
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",978,98,37,1,0,42,0,0,0,1156,9,32,5,0,0,4,0,0,50,0,1206
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),746,183,4,2,0,154,0,0,0,1089,187,5,16,0,0,15,0,0,223,0,1312
"ARSS-STAFF SUPPORT AGENCIES OF THE CHIEF OF STAFF, ARMY",18,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19
ARSU-U.S. ARMY SOUTHERN COMMAND,3,0,0,0,0,3,0,0,0,6,1,0,0,0,0,1,0,0,2,0,8
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,6370,1348,531,19,0,743,7,0,0,9018,371,652,47,0,0,169,0,0,1239,0,10257
"ARX2-HEADQUARTERS, AMC",490,60,14,1,0,6,13,0,0,584,6,1,2,0,0,0,0,0,9,1,594
"ARX3-HEADQUARTERS, STAFF SUPPORT ACTIVITIES, AMC",19,5,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,1,0,25
"ARX4-TRAINING ACTIVITIES, AMC",58,41,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,99
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,6487,949,40,181,0,135,6,0,0,7798,59,0,55,0,0,2,0,0,116,0,7914
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),8001,1963,40,422,0,145,2,0,0,10573,847,69,104,0,0,1,0,0,1021,0,11594
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,5210,966,34,174,0,65,5,0,0,6454,51,1,30,0,0,0,0,0,82,0,6536
"ARX9-U.S. ARMY SIMULATION, TRAINING AND INSTRUMENTATION COMMAND",388,53,2,16,0,45,1,0,0,505,0,0,2,0,0,0,0,0,2,0,507
ARXA-U.S. ARMY CHEMICAL AND BIOLOGICAL DEFENSE COMMAND,47,5,0,4,0,1,0,0,0,57,2,0,2,0,0,0,0,0,4,0,61
ARXB-U.S. ARMY CHEMICAL MATERIALS AGENCY,1675,541,3,9,0,28,1,0,0,2257,164,39,1,0,0,0,0,0,204,0,2461
ARXD-U.S. ARMY RESEARCH LABORATORY COMMAND,5,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
ARXK-MATERIEL ACQUISITION ACTIVITIES,58,19,0,3,0,17,0,0,0,97,0,0,0,0,0,0,0,0,0,0,97
ARXL-MATERIEL ACQUISITION PROJECT MANAGERS,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,397,26,0,4,0,7,1,0,0,435,30,0,0,0,0,0,0,0,30,0,465
ARXQ-U.S. ARMY OPERATIONS SUPPORT COMMAND,3619,668,28,60,0,42,1,0,0,4418,749,17,10,0,0,1,0,0,777,0,5195
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",10182,1277,33,704,0,152,37,0,0,12385,55,9,113,0,0,1,0,0,178,0,12563
"ARXT-U.S. ARMY TEST, MEASUREMENT, AND DIAGNOSTIC EQUIPMENT ACTIVITY",100,57,0,0,0,2,0,0,0,159,0,0,0,0,0,0,0,0,0,0,159
ARXX-MATERIEL READINESS ACTIVITIES,382,23,0,0,0,1,0,0,0,406,0,0,1,0,0,1,0,0,2,0,408
AU00-FEDERAL LABOR RELATIONS AUTHORITY,73,6,82,0,0,1,11,0,0,173,0,0,0,0,10,1,0,0,11,0,184
AW00-ARCTIC RESEARCH COMMISSION,2,0,0,0,0,0,1,0,0,3,0,4,0,0,0,1,0,0,5,0,8
BD00-MERIT SYSTEMS PROTECTION BOARD,78,8,69,0,0,45,10,1,0,211,2,0,0,2,2,0,0,0,6,0,217
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,23,1,9,0,0,48,10,0,0,91,1,0,0,0,3,1,0,0,5,0,96
BG00-PENSION BENEFIT GUARANTY CORPORATION,549,125,80,0,0,1,0,0,0,755,5,5,34,3,0,0,0,0,47,0,802
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
BO00-OFFICE OF MANAGEMENT AND BUDGET,292,74,26,3,0,2,58,13,0,468,3,4,10,15,3,2,1,0,38,0,506
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,22,0,3,0,0,0,2,0,0,27,0,0,1,0,10,2,0,0,13,0,40
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,1,0,0,0,10,0,0,0,15,1,0,0,0,4,3,0,0,8,0,23
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,7,0,0,11,0,12
CC00-COMMISSION ON CIVIL RIGHTS,32,5,8,0,0,0,1,1,0,47,1,0,0,9,4,4,0,0,18,0,65
CE00-COUNCIL OF ECONOMIC ADVISERS,5,1,0,0,0,7,1,0,0,14,0,0,0,3,3,12,0,0,18,0,32
CF00-COMMISSION OF FINE ARTS,5,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
CM33-TECHNOLOGY ADMINISTRATION,26,0,0,0,0,0,1,2,0,29,0,0,0,0,1,0,0,0,1,0,30
CM51-OFFICE OF THE SECRETARY,523,66,139,6,0,3,27,12,0,776,11,12,12,35,3,0,1,0,74,0,850
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,155,16,12,2,0,1,8,2,0,196,9,4,3,5,1,8,0,0,30,0,226
CM53-BUREAU OF ECONOMIC ANALYSIS,344,124,0,0,0,1,12,0,0,481,4,1,12,0,0,1,0,0,18,0,499
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,10029,1323,251,81,0,83,105,8,0,11880,146,179,128,9,2,35,0,0,499,0,12379
CM55-INTERNATIONAL TRADE ADMINISTRATION,1101,243,28,37,0,198,23,9,0,1639,26,10,38,40,5,60,0,0,179,0,1818
CM56-PATENT AND TRADEMARK OFFICE,5022,1200,416,0,0,23,41,0,0,6702,8,2,21,0,1,21,0,0,53,0,6755
CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2274,283,0,6,0,1,31,0,0,2595,82,124,126,0,1,12,0,0,345,0,2940
