Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
"AF1A-AIR FORCE C2 & INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE",32,7,0,0,0,0,1,0,0,40,2,0,1,0,0,0,0,0,3,0,43
AF1C-AIR COMBAT COMMAND,6987,2193,24,47,0,313,2,0,0,9566,400,92,131,0,0,27,0,0,650,0,10216
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,11,5,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,1,0,17
AF1L-AIR MOBILITY COMMAND,6520,1830,19,34,0,59,2,0,0,8464,300,526,66,0,0,3,0,0,895,0,9359
AF1M-AIR FORCE MATERIEL COMMAND,46544,10755,410,2644,0,1281,56,0,0,61690,875,73,817,0,0,8,0,0,1773,0,63463
AF1P-AIR FORCE REAL PROPERTY AGENCY,71,13,12,0,0,0,1,0,0,97,0,0,0,0,0,0,0,0,0,0,97
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,42,8,2,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,52
AF1S-SPACE COMMAND,4652,1191,62,119,0,1077,4,0,0,7105,214,47,51,0,0,32,0,0,344,0,7449
AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,95,32,2,0,0,1,0,0,0,130,11,0,0,0,0,1,0,0,12,0,142
AF1Y-AIR FORCE CIVILIAN CAREER TRAINING,398,264,48,1296,0,82,0,0,0,2088,8,0,0,0,0,2,0,0,10,0,2098
AF20-AIR FORCE AGENCY FOR MODELING/SIMULATION,9,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
AF21-AIR FORCE NUCLEAR WEAPONS AGENCY,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AF24-HQ USAF DIRECT SUPPORT ELEMENT,297,105,1,1,0,20,2,0,0,426,2,1,0,1,0,98,0,0,102,0,528
AF25-AF-WIDE SUPPORT ELEMENT,175,77,23,1,0,129,0,0,0,405,10,9,1,0,0,5,0,0,25,0,430
AF2A-AIR FORCE COST CENTER,75,38,1,5,0,0,0,0,0,119,0,0,1,0,0,0,0,0,1,0,120
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,36,30,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,66
AF2E-AIR FORCE LEGAL SERVICES CENTER,107,33,96,0,0,9,0,0,0,245,2,3,2,0,0,0,0,0,7,0,252
AF2F-AIR FORCE MEDICAL SERVICES CENTER,56,6,1,0,0,0,0,0,0,63,1,0,1,0,0,0,0,0,2,0,65
AF2G-AIR FORCE SERVICE INFORMATION AND NEWS CENTER,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,360,166,6,0,0,7,1,0,0,540,31,0,12,0,0,0,0,0,43,0,583
AF2K-U.S. AIR FORCE HISTORICAL RESEARCH CENTER,41,12,0,1,0,2,0,0,0,56,1,0,0,0,0,0,0,0,1,0,57
AF2L-AIR FORCE TECHNICAL APPLICATIONS CENTER,0,0,0,0,0,313,0,0,0,313,0,0,0,0,0,11,0,0,11,0,324
AF2M-AIR FORCE REVIEW BOARDS OFFICE,40,15,3,1,0,0,1,0,0,60,1,0,2,0,0,0,0,0,3,0,63
AF2N-AIR FORCE CENTER FOR STUDIES AND ANALYSES,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF2Q-AIR WEATHER SERVICE,141,116,0,7,0,1,0,0,0,265,10,0,0,0,0,0,0,0,10,0,275
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,19,5,1,0,0,0,2,0,0,27,1,0,0,0,0,0,0,0,1,0,28
AF2S-HQ NORAD,24,44,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,68
AF2T-AIR FORCE SUPPLY CENTER,40,24,0,2,0,1,0,0,0,67,0,0,8,0,0,0,0,0,8,0,75
"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",152,28,0,0,0,0,1,0,0,181,4,0,0,0,0,0,0,0,4,0,185
AF2W-11TH WING,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,96,20,0,0,0,0,0,0,0,116,0,0,4,0,0,0,0,0,4,0,120
AF34-AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5),501,137,0,4,0,10,0,0,0,652,23,1,6,0,0,0,0,0,30,0,682
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",127,119,3,0,0,15,3,0,0,267,33,1,0,0,0,3,0,0,37,0,304
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",541,237,6,2,0,46,8,0,0,840,32,1,0,0,0,8,0,0,41,0,881
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND",25,13,0,0,0,93,0,0,0,131,17,0,0,0,0,1,0,0,18,0,149
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",581,433,18,20,0,168,4,0,0,1224,31,0,22,0,0,19,0,0,72,0,1296
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",360,97,9,5,0,3,3,0,0,477,8,0,3,0,0,1,0,0,12,0,489
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",300,69,4,5,0,96,3,0,0,477,6,23,3,0,0,12,0,0,44,0,521
AF3W-AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE,451,49,10,1,0,2,1,0,0,514,5,6,0,0,0,0,0,0,11,0,525
AF3Y-AIR FORCE FREQUENCY MANAGEMENT AGENCY,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"AF4D-AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND",330,192,3,0,0,30,4,0,0,559,34,0,0,0,0,3,0,0,37,0,596
AF4W-AIR FORCE DISTRICT OF WASHINGTON,1050,282,9,9,0,21,0,0,0,1371,36,19,17,0,0,0,0,0,72,0,1443
AF5J-AIR FORCE FINANCIAL SERVICES,16,75,1,0,0,5,0,0,0,97,1,0,0,0,0,0,0,0,1,0,98
AF5K-AIR FORCE PETROLEUM AGENCY,58,8,0,1,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,67
AFGS-AIR FORCE GLOBAL STRIKE COMMAND,1416,473,6,6,0,27,1,0,0,1929,92,12,15,0,0,2,0,0,121,1,2051
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),249,55,0,0,1,18912,0,0,0,19217,3,37,5,0,0,2528,0,0,2573,0,21790
"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",1,0,0,0,0,166,0,0,0,167,0,2,0,0,0,90,0,0,92,0,259
AG**-UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,20,3,0,0,0,1,4,23,0,51,6,12,10,27,10,3,0,0,68,0,119
AG02-AGRICULTURAL MARKETING SERVICE,1837,292,3,49,0,9,10,1,0,2201,5,2036,9,0,0,1,0,0,2051,0,4252
AG03-AGRICULTURAL RESEARCH SERVICE,6042,698,7,64,0,23,37,0,0,6871,423,611,1188,0,0,19,0,0,2241,0,9112
AG07-RURAL HOUSING SERVICE,4709,530,8,50,0,20,8,1,4,5330,117,129,144,52,0,2,0,0,444,0,5774
AG08-RISK MANAGEMENT AGENCY,404,59,0,33,0,7,4,1,0,508,0,0,15,3,0,6,0,0,24,0,532
AG10-FOREIGN AGRICULTURAL SERVICE,405,84,2,10,0,143,3,2,0,649,2,12,288,3,0,28,0,0,333,0,982
AG11-FOREST SERVICE,24568,5053,113,769,0,364,56,0,0,30923,8831,88,2435,0,0,74,0,0,11428,0,42351
AG13-OFFICE OF COMMUNICATIONS,66,7,0,3,0,0,0,1,0,77,0,5,1,10,0,0,0,0,16,0,93
AG14-OFFICE OF THE GENERAL COUNSEL,80,5,205,0,0,1,18,3,0,312,0,2,3,0,0,0,0,0,5,0,317
AG15-RURAL UTILITIES SERVICE,258,22,0,4,0,6,3,1,1,295,24,1,7,3,1,0,0,0,36,0,331
AG16-NATURAL RESOURCES CONSERVATION SERVICE,9633,1117,7,475,0,36,21,2,5,11296,289,382,211,6,0,30,0,0,918,0,12214
AG18-ECONOMIC RESEARCH SERVICE,295,56,0,1,0,4,8,0,0,364,1,0,28,0,0,0,0,0,29,0,393
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,923,68,0,57,0,4,9,0,0,1061,2,0,9,0,0,0,0,0,11,0,1072
AG22-NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,270,46,2,3,0,2,8,0,0,331,1,45,7,1,0,5,0,0,59,0,390
AG23-OFFICE OF THE INSPECTOR GENERAL,508,24,10,64,0,4,7,0,0,617,2,0,6,0,1,0,1,0,10,0,627
AG30-FOOD AND NUTRITION SERVICE,1099,204,7,49,0,0,15,4,0,1378,2,1,24,2,0,13,0,0,42,0,1420
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,72,3,0,1,0,0,3,2,0,81,0,0,2,2,0,0,0,0,4,0,85
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,5054,930,17,57,0,71,38,0,0,6167,611,2029,178,0,0,14,0,0,2832,0,8999
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",503,173,5,8,0,2,2,1,0,694,11,93,3,0,0,0,0,0,107,0,801
AG37-FOOD SAFETY AND INSPECTION SERVICE,7984,1279,16,82,0,5,19,0,0,9385,53,548,18,1,0,1,0,0,621,0,10006
AG38-OFFICE OF THE CHIEF ECONOMIST,45,1,0,0,0,0,4,0,0,50,0,1,2,0,0,0,0,0,3,0,53
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,35,4,0,0,0,0,4,0,0,43,0,0,3,0,0,0,0,0,3,0,46
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,1003,152,22,2,0,24,6,0,0,1209,8,1,5,1,0,3,0,0,18,0,1227
AGCR-CIVIL RIGHTS,105,21,0,2,0,0,2,1,0,131,0,0,25,0,1,0,0,0,26,0,157
AGDA-DEPARTMENTAL ADMINISTRATION,406,69,6,11,0,14,9,1,0,516,3,11,38,1,0,10,0,0,63,0,579
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,13,1,0,6,0,2,0,0,0,22,0,0,4,1,0,1,0,0,6,0,28
AGFA-FARM SERVICE AGENCY,4227,502,2,165,0,21,8,4,0,4929,23,219,28,55,0,0,1,0,326,0,5255
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,839,99,1,25,0,10,8,0,0,982,0,0,1,0,0,3,0,0,4,0,986
AGNA-NATIONAL APPEALS DIVISION,73,16,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,89
AH01-NATIONAL ENDOWMENT FOR THE ARTS,116,18,0,0,0,1,4,4,0,143,0,18,0,3,14,1,0,0,36,0,179
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,74,13,2,51,0,1,11,0,0,152,3,0,4,4,25,2,0,0,38,0,190
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,37,15,1,2,0,5,3,0,0,63,1,0,0,0,19,3,0,0,23,0,86
AM00-AGENCY FOR INTERNATIONAL DEVELOPMENT,910,240,64,9,0,888,28,3,0,2142,95,16,10,0,4,1109,0,0,1234,0,3376
AN00-AFRICAN DEVELOPMENT FOUNDATION,15,3,4,0,0,1,0,0,0,23,1,1,0,0,0,2,0,0,4,0,27
AP00-APPALACHIAN REGIONAL COMMISSION,7,0,0,0,0,3,0,0,0,10,0,0,0,0,1,0,0,0,1,0,11
AR**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AR3A-U.S. ARMY CENTRAL,146,66,3,0,0,9,0,0,0,224,36,94,0,0,0,6,0,0,136,0,360
AR5A-U.S. ARMY NORTH,202,53,3,0,0,15,0,0,0,273,62,0,0,0,0,1,0,0,63,0,336
ARAA-U. S. ARMY ACCESSION COMMAND,1603,584,9,21,0,425,0,0,0,2642,70,0,3,0,0,0,0,0,73,0,2715
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,3572,1079,8,143,0,95,15,0,0,4912,74,98,68,0,0,3,0,0,243,2,5157
ARAP-U. S. MILITARY ENTRANCE PROCESSING COMMAND,1368,557,1,4,0,118,0,0,0,2048,28,1,3,0,0,0,0,0,32,0,2080
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,0,0,0,0,0,2373,0,0,0,2373,0,0,1,0,0,62,0,0,63,0,2436
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,3259,681,8,272,0,99,5,0,0,4324,109,0,29,0,0,15,0,0,153,0,4477
ARBA-U.S. ARMY INSTALLATION MANAGEMENT COMMAND,24360,7813,337,177,0,2227,9,0,0,34923,1557,532,174,0,0,689,0,0,2952,2,37877
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,454,141,2,19,0,28,0,0,0,644,53,50,1,0,0,13,0,0,117,0,761
ARCE-U.S. ARMY CORPS OF ENGINEERS,25748,4845,439,2437,0,486,43,0,0,33998,2509,489,925,0,1,31,0,0,3955,2,37955
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,962,391,15,5,0,235,28,0,0,1636,13,1,14,0,0,20,0,0,48,0,1684
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,679,249,30,0,0,151,7,0,0,1116,23,100,0,0,0,4,0,0,127,0,1243
ARE2-21ST THEATER ARMY AREA COMMAND,177,58,0,1,0,10,0,0,0,246,20,67,0,0,0,0,0,0,87,0,333
ARE5-U.S. ARMY V CORPS,11,4,0,0,0,2,0,0,0,17,2,20,0,0,0,1,0,0,23,0,40
AREN-SEVENTH ARMY TRAINING COMMAND,213,51,0,0,0,30,0,0,0,294,8,18,0,0,0,0,0,0,26,0,320
ARFC-U.S. ARMY FORCES COMMAND,1634,889,29,1,0,244,4,0,0,2801,614,47,9,0,0,288,0,0,958,0,3759
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,2961,889,14,22,0,312,1,0,0,4199,187,28,12,0,0,4,0,0,231,0,4430
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,334,243,1,0,0,6,0,0,0,584,13,0,20,0,0,0,0,0,33,0,617
ARHR-U.S. ARMY RESERVE COMMAND,5457,1953,11,57,0,1212,1,0,0,8691,158,0,1,0,0,1,0,0,160,1,8852
ARJ1-U.S. ARMY ELEMENT SHAPE,96,36,0,0,0,28,0,0,0,160,1,14,0,0,0,1,0,0,16,0,176
ARJA-JOINT ACTIVITIES,940,513,18,0,0,463,10,0,0,1944,85,48,4,0,0,86,1,0,224,0,2168
ARMA-U.S. MILITARY ACADEMY,403,56,39,2,0,17,0,0,0,517,37,198,2,0,0,10,0,0,247,0,764
ARMC-U.S. ARMY MEDICAL COMMAND,23249,15170,101,64,0,1080,5,0,0,39669,2193,510,91,0,0,195,0,0,2989,2,42660
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,273,80,5,1,0,16,0,0,0,375,5,0,0,0,0,28,0,0,33,0,408
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),1318,265,0,0,0,21776,0,0,0,23359,43,620,5,0,0,3335,0,0,4003,3,27365
"ARP1-U.S. ARMY, PACIFIC",532,196,6,2,0,106,0,0,0,842,32,5,0,0,0,18,0,0,55,0,897
ARP8-EIGHTH U.S. ARMY,374,183,1,0,0,19,0,0,0,577,7,92,0,0,0,2,0,0,101,0,678
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,777,136,27,0,0,10,50,5,0,1005,9,0,4,9,7,102,0,0,131,0,1136
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,786,336,12,1384,0,26,6,0,0,2550,15,10,5,0,0,1,0,0,31,0,2581
ARSC-U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND,698,121,14,40,0,66,7,0,0,946,21,0,8,0,0,4,0,0,33,0,979
ARSE-HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES,5208,1358,71,255,0,258,5,0,0,7155,133,27,68,0,0,16,0,0,244,0,7399
ARSF-MISCELLANEOUS FIELD OPERATING AGENCIES,31,6,2,0,0,0,0,0,0,39,3,0,1,0,0,1,0,0,5,0,44
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",793,133,25,8,0,38,0,0,0,997,8,118,38,0,1,192,0,0,357,0,1354
ARSO-U.S. ARMY SOUTH,166,77,4,0,0,34,0,0,0,281,16,0,0,0,0,1,0,0,17,0,298
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),944,381,2,3,0,184,0,0,0,1514,145,13,45,0,0,44,0,0,247,1,1762
ARTA-U.S. ARMY ACCESSIONS COMMAND,213,61,2,3,0,39,0,0,0,318,33,0,5,0,0,1,0,0,39,0,357
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,6837,2208,791,155,0,1082,15,0,0,11088,1007,1186,125,0,0,659,2,0,2979,0,14067
ARTM-U.S. MILITARY ENTRANCE PROCESSING COMMAND,9,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
ARTW-U.S. ARMY WAR COLLEGE,197,95,1,8,0,8,0,0,0,309,4,70,0,0,0,1,0,0,75,0,384
"ARX2-HEADQUARTERS, AMC",538,116,17,0,0,43,13,0,0,727,13,3,1,0,0,3,0,0,20,0,747
"ARX4-TRAINING ACTIVITIES, AMC",115,54,0,0,0,8,0,0,0,177,0,0,0,0,0,0,0,0,0,0,177
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,6707,1999,48,332,0,388,5,0,0,9479,103,57,41,0,0,9,0,0,210,0,9689
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),8567,2752,63,499,0,580,1,0,0,12462,820,1559,96,0,0,334,0,0,2809,1,15272
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,5659,1814,60,536,0,270,4,0,0,8343,239,10,74,0,0,0,0,0,323,0,8666
ARXB-U.S. ARMY CHEMICAL MATERIALS AGENCY,1040,266,4,0,0,49,1,0,0,1360,63,0,0,0,0,0,0,0,63,0,1423
ARXC-U.S. ARMY SUSTAINMENT COMMAND,794,234,28,6,0,53,2,0,0,1117,78,174,20,0,0,14,1,0,287,0,1404
ARXD-U. S. ARMY CONTRACTING COMMAND,3753,791,41,602,0,110,4,0,0,5301,78,12,29,0,0,0,0,0,119,1,5421
ARXK-MATERIEL ACQUISITION ACTIVITIES,118,24,0,4,0,2,1,0,0,149,1,0,2,0,0,0,0,0,3,0,152
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,380,73,1,5,0,5,1,0,0,465,7,3,5,0,0,0,0,0,15,0,480
ARXQ-U.S. ARMY JOINT MUNITIONS COMMAND,4220,886,17,72,0,185,1,0,0,5381,192,955,28,0,0,4,0,0,1179,0,6560
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",11344,2294,37,1038,0,217,30,0,0,14960,233,9,324,1,0,4,0,0,571,0,15531
ARXT-U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,960,259,5,3,0,32,1,0,0,1260,23,1,6,0,0,0,0,0,30,0,1290
ARXX-MATERIEL READINESS ACTIVITIES,304,45,0,8,0,0,0,0,0,357,2,2,0,0,0,0,0,0,4,0,361
AU00-FEDERAL LABOR RELATIONS AUTHORITY,49,3,66,0,0,0,9,0,0,127,1,0,1,0,13,0,0,0,15,0,142
AW00-ARCTIC RESEARCH COMMISSION,2,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,0,5,0,8
BD00-MERIT SYSTEMS PROTECTION BOARD,79,14,80,0,0,23,12,4,0,212,0,0,0,2,3,2,0,0,7,0,219
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,21,1,7,0,0,60,10,0,0,99,0,0,0,0,5,0,0,0,5,0,104
BG00-PENSION BENEFIT GUARANTY CORPORATION,663,98,105,28,0,1,0,0,0,895,3,3,42,0,1,4,0,0,53,0,948
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
BO00-OFFICE OF MANAGEMENT AND BUDGET,290,102,18,1,0,0,56,15,0,482,0,17,10,16,5,3,2,0,53,0,535
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,22,0,4,0,0,0,1,0,0,27,0,0,0,0,12,1,0,0,13,0,40
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,0,0,0,0,5,1,0,0,10,0,0,0,0,11,3,0,0,14,0,24
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,6,0,0,7,0,9
CC00-COMMISSION ON CIVIL RIGHTS,24,2,3,0,0,0,1,1,0,31,2,0,1,8,4,4,0,0,19,0,50
CE00-COUNCIL OF ECONOMIC ADVISERS,4,0,0,0,0,0,1,0,0,5,0,0,0,1,2,19,0,0,22,0,27
CF00-COMMISSION OF FINE ARTS,7,2,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,0,11
CM51-OFFICE OF THE SECRETARY,518,74,144,13,0,8,29,12,0,798,12,11,13,40,4,4,1,0,85,0,883
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,117,27,16,1,0,1,9,1,0,172,34,5,13,6,1,1,0,0,60,0,232
CM53-BUREAU OF ECONOMIC ANALYSIS,392,87,0,16,0,1,10,0,0,506,0,0,15,0,0,0,0,0,15,0,521
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,10431,1389,501,136,0,60,106,9,0,12632,170,28,161,7,3,39,0,0,408,0,13040
CM55-INTERNATIONAL TRADE ADMINISTRATION,1025,183,10,8,0,178,24,9,0,1437,11,3,10,20,3,78,0,0,125,1,1563
CM56-PATENT AND TRADEMARK OFFICE,7139,1102,595,522,0,45,50,0,0,9453,13,1,0,3,1,27,0,0,45,0,9498
CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2283,424,1,12,0,1,31,0,0,2752,109,162,134,0,1,6,0,0,412,0,3164
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,58,14,0,0,0,0,1,2,0,75,8,0,3,2,0,4,0,0,17,0,92
CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,203,15,26,1,0,1,7,1,0,254,2,34,16,6,1,4,1,0,64,0,318
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,109,8,0,0,0,0,1,0,0,118,0,0,0,0,0,0,0,0,0,0,118
CM63-BUREAU OF THE CENSUS,4886,1313,6088,27,0,31,37,1,0,12383,1221,5425,125,3,1,3,11,0,6789,0,19172
